ID	Front	Back	Extra	Code	Source	Tags
classloader-extra-001	Explain the distinct phases of the classloading process.	Loading, Linking (Verification, Preparation, Resolution), and Initialization.	Why it matters: Understanding these phases helps debug static initialization ordering and linking errors. Gotcha: Static fields are preparation-initialized to defaults (0/null) before initialization runs.		no32_classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/jvms-5.html	java::core::classloader
classloader-extra-002	Explain the parent delegation model and how it works step-by-step.	A ClassLoader delegates dynamic class loading to its parent classloader before searching itself.	Why it matters: Ensures core APIs cannot be shadowed or overridden by untrusted user libraries. Hierarchy: Bootstrap ClassLoader -> Platform ClassLoader -> Application ClassLoader -> Custom ClassLoaders.		no32_classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/ClassLoader.html	java::core::classloader
classloader-extra-003	Explain why JVM classloaders partition class type namespaces.	Class identity is a combination of fully-qualified name and defining ClassLoader instance.	Why it matters: Isolates webapps or plugins. Gotcha: You will get `ClassCastException` if you cast between instances loaded by different ClassLoaders, even if they have the exact same package and class names.		no32_classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/jvms-5.html	java::core::classloader java::interview
classloader-extra-004	Explain why and how Service Provider Interfaces (SPI) break parent delegation.	Core APIs (Bootstrap loader) need to locate driver implementations in the application class loader.	Solution: Uses the Thread Context ClassLoader (TCCL) to gain downward visibility. By calling `Thread.currentThread().getContextClassLoader()`, core classes bypass the top-down parent delegation.		no32_classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/ClassLoader.html	java::core::classloader java::interview
classloader-extra-005	Explain how dynamic classloading can cause Metaspace memory leaks.	References to loaded class instances prevent their ClassLoader and loaded class metadata from being garbage collected.	Common gotcha: Leaving static references, ThreadLocal variables, or JDBC driver registrations pointing to application classes in a container prevents unloading the entire custom classloader, leaking native Metaspace memory.		no32_classloader/theory/01-class-loading-process-concepts.md | https://tomcat.apache.org/tomcat-11.0-doc/class-loader-howto.html	java::core::classloader java::interview
classloader-extra-006	Explain the difference between `Class.forName` and `ClassLoader.loadClass` regarding class initialization.	`Class.forName` initializes the class by default, while `ClassLoader.loadClass` only loads and links it.	Why it matters: Running static blocks can execute heavy setup operations. If you only want to inspect class metadata without running code, use `loadClass` or the three-argument overload `Class.forName(name, false, loader)`.		no32_classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/ClassLoader.html	java::core::classloader java::interview
classloader-extra-007	Explain the differences between the Bootstrap ClassLoader and the Application ClassLoader.	Bootstrap loads base core modules (like String, Object) and is native. Application loads user classpath code.	Why it matters: The Bootstrap loader is represented by `null` in Java API calls. Application ClassLoader is a Java subclass of `ClassLoader` accessible via `ClassLoader.getSystemClassLoader()`.		no32_classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/ClassLoader.html	java::core::classloader
classloader-extra-008	Explain how the Linking phase's Verification step contributes to JVM security.	Validates class structure, stack maps, type rules, and instruction patterns to ensure safety.	Why it matters: Prevents malicious bytecode (e.g. modified class files trying to access private fields directly or stack-smash the virtual machine) from executing, throwing `VerifyError`.		no32_classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/jvms-5.html	java::core::classloader
classloader-extra-009	Explain the differences between `ClassNotFoundException` and `NoClassDefFoundError`.	`ClassNotFoundException` is a checked exception. `NoClassDefFoundError` is an unrecoverable linkage error.	Difference: `ClassNotFoundException` occurs during dynamic reflection lookup (e.g. `Class.forName()`). `NoClassDefFoundError` occurs when a class was present during compilation but cannot be loaded at runtime during linking.		no32_classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/ClassLoader.html	java::core::classloader java::interview
classloader-extra-010	Explain the JVM Metaspace sizing parameters and how it handles class metadata garbage collection.	Metaspace is native memory allocated by OS. It is garbage collected only when its defining ClassLoader is collected.	Configuration: Use `-XX:MaxMetaspaceSize` to prevent Metaspace from consuming all system RAM. Classloader GC is atomic: either all loaded classes are garbage collected together, or none are.		no32_classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/jvms-5.html	java::core::classloader
