ID	Text	Extra	Code	Source	Tags
io-cloze-001	"Creating a `new File(""path"")` does not perform any {{c1::disk I/O}}; it only creates an abstract path representation in memory."	It is a common mistake to assume the constructor creates a physical file.		26-io/theory/01-file-concepts.md	java::core::io
io-cloze-002	File.createNewFile() returns {{c1::true}} if the file was successfully created, and {{c2::false}} if the file already exists.	It throws an IOException if parent directories do not exist.		26-io/theory/01-file-concepts.md	java::core::io
io-cloze-003	File.delete() will fail and return false if target is a directory that is {{c1::not empty}}.	To delete a directory containing files, you must recursively delete its children first.		26-io/theory/01-file-concepts.md	java::core::io
io-cloze-004	File.exists() checks for path presence, while File.isFile() and {{c1::File.isDirectory()}} check the node type.	Always check exists() first to avoid errors when reading properties.		26-io/theory/01-file-concepts.md	java::core::io
io-cloze-005	File.length() returns the file size in {{c1::bytes}}, and returns {{c2::0L}} if the file does not exist or is a directory.	This is an unbuffered metadata query.		26-io/theory/01-file-concepts.md	java::core::io
io-cloze-006	File.mkdir() fails if parent directories do not exist, whereas {{c1::File.mkdirs()}} creates all nonexistent parent directories recursively.	mkdirs() is much safer when writing nested project folders.		26-io/theory/01-file-concepts.md	java::core::io
io-cloze-007	InputStream is the abstract base class for reading {{c1::bytes}}, and its read() method returns {{c2::-1}} at the end of the stream.	read() blocks until a byte is available, EOF is reached, or an exception is thrown.		26-io/theory/01-file-concepts.md	java::core::io
io-cloze-008	OutputStream is the abstract base class for writing bytes, and must be closed to prevent {{c1::resource leaks}}.	Unclosed streams keep file handles open in the operating system.		26-io/theory/01-file-concepts.md	java::core::io
io-cloze-009	Wrapping resources in a {{c1::try-with-resources}} statement automatically closes them when exiting the block.	The class must implement AutoCloseable to be used in try-with-resources.		26-io/theory/01-file-concepts.md	java::core::io
io-cloze-010	FileOutputStream can write in append mode if the second constructor argument is set to {{c1::true}}.	For example, new FileOutputStream(file, true) appends bytes instead of truncating the file.		26-io/theory/01-file-concepts.md	java::core::io
io-cloze-011	BufferedInputStream stores bytes in an internal memory buffer of size {{c1::8KB}} by default to optimize OS system calls.	This minimizes disk access and improves I/O performance significantly.		26-io/theory/02-bufferedinputstream-concepts.md	java::core::io
io-cloze-012	To write all buffered data from a BufferedOutputStream immediately to the output file, call the {{c1::flush()}} method.	Closing the stream also flushes data, but manual flushing is useful to ensure data is committed without closing.		26-io/theory/02-bufferedinputstream-concepts.md	java::core::io
io-cloze-013	Reader and Writer character streams handle raw 16-bit Unicode characters and manage {{c1::character encoding}} translation automatically.	They translate bytes to chars using charset encoders and decoders.		26-io/theory/02-bufferedinputstream-concepts.md	java::core::io
io-cloze-014	Using character streams to read or write binary files (like images) results in data {{c1::corruption}} due to character encoding mapping.	Encoding translates arbitrary binary byte values to replacement characters.		26-io/theory/02-bufferedinputstream-concepts.md	java::core::io
io-cloze-015	Prior to Java 11, FileReader and FileWriter were bound to the default system {{c1::charset}}, rendering output platform-dependent.	Java 11 introduced constructors accepting a Charset parameter.		26-io/theory/02-bufferedinputstream-concepts.md	java::core::io
io-cloze-016	BufferedReader reads text line-by-line using the {{c1::readLine()}} method, which returns {{c2::null}} when the end of stream is reached.	The returned string does not contain line termination characters.		26-io/theory/02-bufferedinputstream-concepts.md	java::core::io
io-cloze-017	BufferedWriter provides the {{c1::newLine()}} method to write a platform-independent line separator.	This ensures files read correctly on Windows (\r\n) and Unix (\n).		26-io/theory/02-bufferedinputstream-concepts.md	java::core::io
io-cloze-018	To serialize an object in Java, its class must implement the {{c1::Serializable}} marker interface.	Failing to do so throws a NotSerializableException.		26-io/theory/03-serialization-concepts.md	java::core::io
io-cloze-019	Attempting to serialize an object whose class does not implement Serializable throws {{c1::NotSerializableException}} at runtime.	All objects in the serialization graph must implement Serializable.		26-io/theory/03-serialization-concepts.md	java::core::io
io-cloze-020	During serialization, {{c1::static}} fields are not serialized because they represent class state, not instance state.	Static fields are resolved from class memory directly upon loading.		26-io/theory/03-serialization-concepts.md	java::core::io
io-cloze-021	Class fields marked with the {{c1::transient}} keyword are ignored during serialization and restored as {{c2::default}} values.	For example, reference fields restore as null, primitive ints as 0.		26-io/theory/03-serialization-concepts.md	java::core::io
io-cloze-022	Deserialization of an object does not run its own class constructor; instead, it runs the no-arg constructor of the first {{c1::non-serializable}} superclass.	This is a common interview trap regarding object instantiation cycles.		26-io/theory/03-serialization-concepts.md	java::core::io
io-cloze-023	A unique identifier named {{c1::serialVersionUID}} is verified during deserialization to ensure sender/receiver class compatibility.	If class definitions mismatch, deserialization fails.		26-io/theory/03-serialization-concepts.md	java::core::io
io-cloze-024	If a class changes after serialization and lacks an explicit serialVersionUID, deserialization throws {{c1::InvalidClassException}}.	Always declare serialVersionUID explicitly to avoid compiler changes throwing this error.		26-io/theory/03-serialization-concepts.md	java::core::io
io-cloze-025	Custom serialization can be achieved by declaring private {{c1::writeObject}} and {{c2::readObject}} methods inside the serializable class.	These methods allow encryption, decryption, or custom field state manipulation.		26-io/theory/03-serialization-concepts.md	java::core::io
io-cloze-026	Closing a Scanner wrapped around System.in will also close the underlying {{c1::System.in}} stream, making it impossible to read console input again.	Always avoid closing Scanner around System.in if you need standard input again in the application.		26-io/theory/03-serialization-concepts.md	java::core::io
io-cloze-027	System.in is an instance of InputStream, whereas System.out is an instance of {{c1::PrintStream}}.	PrintStream handles output formatting and does not throw IOException.		26-io/theory/03-serialization-concepts.md	java::core::io
io-cloze-028	System.err is typically {{c1::unbuffered}}, meaning output is immediately flushed to the console for error visibility.	In contrast, System.out is buffered by default.		26-io/theory/03-serialization-concepts.md	java::core::io
io-cloze-029	Deserializing a subclass fails if its non-serializable parent class does not possess a visible {{c1::no-argument constructor}}.	This throws an InvalidClassException at runtime.		26-io/theory/03-serialization-concepts.md	java::core::io
