ID	Front	Back	Code	Source	Tags
stream_api-basic-001	What is a Java Stream?	A declarative, lazy pipeline of processing operations for elements from a source, rather than a data structure.		no23_stream_api/theory/01-what-is-stream-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/package-summary.html	java::core::stream-api
stream_api-basic-002	How does a Stream differ from a Collection in terms of memory storage?	Collections store all elements in memory; Streams do not store elements and compute them on demand.		no23_stream_api/theory/01-what-is-stream-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/package-summary.html	java::core::stream-api
stream_api-basic-003	What happens when you attempt to invoke a second terminal operation on a Stream instance?	It throws an IllegalStateException because a Stream is consumed/closed after its terminal operation.		no23_stream_api/theory/01-what-is-stream-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/package-summary.html	java::core::stream-api
stream_api-basic-004	Why does `Stream.of(new int[]{1, 2})` create a stream of size 1 instead of size 2?	It treats the primitive array as a single object reference, creating a Stream<int[]> instead of an IntStream.		no23_stream_api/theory/01-what-is-stream-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/package-summary.html	java::core::stream-api
stream_api-basic-005	What is the main design difference between `map` and `flatMap` in the Stream API?	map is a 1-to-1 element mapping; flatMap is a 1-to-many mapping that flattens nested streams into a single stream.		no23_stream_api/theory/02-longstream-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/Stream.html#flatMap(java.util.function.Function)	java::core::stream-api
stream_api-basic-006	Why is it dangerous to call `sorted()` on an infinite stream source?	sorted() is stateful and blocks to load all elements into memory, causing a hang or OutOfMemoryError.		no23_stream_api/theory/02-longstream-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/Stream.html#sorted()	java::core::stream-api
stream_api-basic-007	What is the primary purpose of the `peek()` operation in Java Streams?	To support debugging by observing elements as they flow through the pipeline without affecting their state.		no23_stream_api/theory/03-peek-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/Stream.html#peek(java.util.function.Consumer)	java::core::stream-api
stream_api-basic-008	What is the risk of using `peek()` to mutate external state or elements?	The JVM can optimize away pipeline traversal (e.g., on count()), meaning the mutation logic may never run.		no23_stream_api/theory/03-peek-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/Stream.html#peek(java.util.function.Consumer)	java::core::stream-api
stream_api-basic-009	How do primitive streams like `IntStream` avoid garbage collection pressure?	They store and process native 32-bit values directly, avoiding the allocation of wrapper objects (Autoboxing).		no23_stream_api/theory/01-what-is-stream-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/IntStream.html	java::core::stream-api
stream_api-basic-010	What is the difference between intermediate and terminal operations?	Intermediate operations return a new Stream and are lazy; terminal operations trigger traversal and consume the stream.		no23_stream_api/theory/05-lazy-evaluation-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/package-summary.html	java::core::stream-api
stream_api-basic-011	How does a parallel stream split its workload across CPU cores?	It uses a Spliterator to recursively partition data, then executes tasks using the ForkJoinPool.commonPool().		no23_stream_api/theory/05-lazy-evaluation-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/package-summary.html	java::core::stream-api
stream_api-basic-012	Why are parallel streams often inefficient when used with a `LinkedList` source?	LinkedList requires O(N) sequential traversal to split, losing the O(1) partition benefit of arrays or ArrayLists.		no23_stream_api/theory/05-lazy-evaluation-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/package-summary.html	java::core::stream-api
stream_api-basic-013	What key difference exists between `Collectors.partitioningBy` and `groupingBy` key structures?	partitioningBy splits elements into exactly two Boolean keys; groupingBy splits elements into arbitrary dynamic keys.		no23_stream_api/theory/06-partitioningby-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/Collectors.html#partitioningBy(java.util.function.Predicate)	java::core::stream-api
stream_api-basic-014	What map values are guaranteed when partitioningBy operates on a stream with no matching elements?	Both true and false keys will be present, mapping to empty lists (not null or missing entries).		no23_stream_api/theory/06-partitioningby-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/Collectors.html#partitioningBy(java.util.function.Predicate)	java::core::stream-api
stream_api-basic-015	What exception does `Collectors.toMap` throw if duplicate keys are encountered without a merge function?	IllegalStateException.		no23_stream_api/theory/05-lazy-evaluation-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/Collectors.html#toMap(java.util.function.Function,java.util.function.Function)	java::core::stream-api
stream_api-basic-016	What is the performance benefit of `Stream.toList()` (Java 16+) over `Collectors.toList()`?	Stream.toList() returns a lightweight, unmodifiable list and avoids intermediate collector overhead.		no23_stream_api/theory/03-peek-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/Stream.html#toList()	java::core::stream-api
