ID	Text	Extra	Source	Tags
string-cloze-001	String literals are automatically cached in the {{c1::String Pool::special heap region}}.	This avoids allocating duplicate string objects for the same character sequence.	08-string/terms/01-string-terms.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string
string-cloze-002	To copy or force a String reference into the String Pool, you call the {{c1::intern()}} method.	Calling this method on a dynamically created string returns its pool representation.	08-string/terms/01-string-terms.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string
string-cloze-003	Unlike `trim()`, the modern {{c1::strip()}} method is Unicode-aware when removing whitespace.	`strip()` is available starting from Java 11.	08-string/theory/02-string-methods.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string
string-cloze-004	A Text Block is opened and closed by triple double-quotes {{c1::"""}}.	The opening triple quotes must be followed immediately by a newline.	08-string/theory/02-string-methods.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string
string-cloze-005	`StringBuilder` is not {{c1::thread-safe::thread-safe or synchronized}} but performs faster than `StringBuffer`.	Both inherit from `AbstractStringBuilder` but `StringBuilder` is not synchronized.	08-string/theory/03-stringbuilder-stringbuffer.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string
string-cloze-006	Starting from Java 9, the JVM uses {{c1::Compact Strings}} to optimize memory usage by encoding strings as `byte[]` arrays.	Characters that fit in Latin-1 take 1 byte; others take 2 bytes.	08-string/theory/01-string-basics.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string
string-cloze-007	To verify if a String is empty or contains only whitespace characters, use the method {{c1::isBlank()}}.	`isBlank()` was added in Java 11.	08-string/theory/02-string-methods.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string
string-cloze-008	The default initial capacity of a `StringBuilder` is {{c1::16}} characters.	This capacity is automatically expanded when more characters are appended.	08-string/theory/03-stringbuilder-stringbuffer.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string
string-cloze-009	When a mutable character sequence grows, the new capacity is computed as {{c1::(oldCapacity * 2) + 2}}.	This prevents allocating memory too frequently.	08-string/theory/03-stringbuilder-stringbuffer.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string
string-cloze-010	To perform literal string replacement without regular expressions, use the method {{c1::replace()}}.	`replaceAll()` parses regular expressions, which makes it slower and prone to syntax errors for literal strings.	08-string/theory/02-string-methods.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string
string-cloze-011	Because Strings are immutable, their hashcode is calculated once and cached in a private field named {{c1::hash}}.	This makes key-based lookups in collections extremely fast.	08-string/theory/01-string-basics.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string
string-cloze-012	To strip leading and trailing ASCII whitespace <= U+0020, use the method {{c1::trim()}}.	Use `strip()` for modern, Unicode-aware whitespace cleanup.	08-string/theory/02-string-methods.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string
string-cloze-013	In Text Blocks, the escape sequence {{c1::\s}} is used to preserve trailing whitespace.	Normally, trailing whitespace on lines inside Text Blocks is discarded by the compiler.	08-string/theory/02-string-methods.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string
string-cloze-014	To perform string formatting inside print streams, we use the method {{c1::System.out.printf()}} or `String.format()`.	Uses standard conversions like `%s` and `%d`.	08-string/theory/02-string-methods.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string
string-cloze-015	In multi-threaded environments, `StringBuffer` is safe because its mutator methods are {{c1::synchronized}}.	However, this synchronization adds lock overhead.	08-string/theory/03-stringbuilder-stringbuffer.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string
string-aug-cloze-001	{{c1::Why is String Immutable?}}: 1. Security & Class Loading:	Use this cloze for exact recall, then read the source note for examples. Source: /home/fhu_thjen/projects/learning-java/08-string/theory/01-string-basics.md	/home/fhu_thjen/projects/learning-java/08-string/theory/01-string-basics.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string
string-aug-cloze-002	"{{c1::Literal Creation vs. new Keyword}}: 1. String Literal (String s = ""Hello"";):"	Use this cloze for exact recall, then read the source note for examples. Source: /home/fhu_thjen/projects/learning-java/08-string/theory/01-string-basics.md	/home/fhu_thjen/projects/learning-java/08-string/theory/01-string-basics.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string
