ID	Front	Back	Extra	Code	Source	Tags
collections_framework-extra-001	Explain `What is the Collection Framework?` deeply enough for review.	A unified architecture in Java for representing and manipulating collections, containing interfaces, implementations, and algorithms.	"Meaning & Detailed Concept:
A unified architecture in Java for representing and manipulating collections, containing interfaces, implementations, and algorithms.

Why this is important in development:
It reduces programming effort, increases performance, and fosters software reuse by providing standard data structures.

Implementation details and rules:
The Collections Framework consists of three parts: interfaces, implementations, and algorithms. Note that Map does NOT extend Collection.

Common mistake/gotcha to watch out for:
Assuming all collections extend the Collection interface, whereas Map is a completely separate hierarchy."		19-collections-framework/theory/01-what-is-the-collection-framework-concepts.md | https://docs.oracle.com/javase/tutorial/collections/	java::core::collections-framework
collections_framework-extra-002	What confusion should you avoid with `What is the Collection Framework?`?	Do not confuse it with other implementations; make sure you understand its exact contract.	"Avoid this common trap / bug:
Assuming all collections extend the Collection interface, whereas Map is a completely separate hierarchy.

Why this concept matters for correctness and performance:
It reduces programming effort, increases performance, and fosters software reuse by providing standard data structures.

Detailed context and examples:
The Collections Framework consists of three parts: interfaces, implementations, and algorithms. Note that Map does NOT extend Collection."		19-collections-framework/theory/01-what-is-the-collection-framework-concepts.md | https://docs.oracle.com/javase/tutorial/collections/	java::core::collections-framework
collections_framework-extra-003	Explain `Iterable` deeply enough for review.	The root traversal interface of the Collection hierarchy; classes implementing it can be traversed using enhanced for loops.	"Meaning & Detailed Concept:
The root traversal interface of the Collection hierarchy; classes implementing it can be traversed using enhanced for loops.

Why this is important in development:
It provides a standard way to obtain an Iterator for sequential traversal.

Implementation details and rules:
Requires implementing iterator(). Example:
for(String s : list) { ... }
Gotcha: Modifying the collection during traversal throws ConcurrentModificationException.

Common mistake/gotcha to watch out for:
Modifying the collection directly inside an enhanced for loop, causing a ConcurrentModificationException."		19-collections-framework/theory/01-what-is-the-collection-framework-concepts.md | https://docs.oracle.com/javase/tutorial/collections/	java::core::collections-framework
collections_framework-extra-004	What confusion should you avoid with `Iterable`?	Do not confuse it with other implementations; make sure you understand its exact contract.	"Avoid this common trap / bug:
Modifying the collection directly inside an enhanced for loop, causing a ConcurrentModificationException.

Why this concept matters for correctness and performance:
It provides a standard way to obtain an Iterator for sequential traversal.

Detailed context and examples:
Requires implementing iterator(). Example:
for(String s : list) { ... }
Gotcha: Modifying the collection during traversal throws ConcurrentModificationException."		19-collections-framework/theory/01-what-is-the-collection-framework-concepts.md | https://docs.oracle.com/javase/tutorial/collections/	java::core::collections-framework
collections_framework-extra-005	Explain `Collection` deeply enough for review.	The root interface of the collection hierarchy (List, Set, Queue) representing a group of objects.	"Meaning & Detailed Concept:
The root interface of the collection hierarchy (List, Set, Queue) representing a group of objects.

Why this is important in development:
Defines common operations like size(), isEmpty(), contains(), add(), and remove() shared by all collections.

Implementation details and rules:
Root of List, Set, Queue hierarchies. Common methods: size(), add(), remove(). Note that Map does not extend Collection.

Common mistake/gotcha to watch out for:
Assuming Map extends Collection (it does not) or that Collection guarantees a specific order."		19-collections-framework/theory/01-what-is-the-collection-framework-concepts.md | https://docs.oracle.com/javase/tutorial/collections/	java::core::collections-framework
collections_framework-extra-006	What confusion should you avoid with `Collection`?	Do not confuse it with other implementations; make sure you understand its exact contract.	"Avoid this common trap / bug:
Assuming Map extends Collection (it does not) or that Collection guarantees a specific order.

Why this concept matters for correctness and performance:
Defines common operations like size(), isEmpty(), contains(), add(), and remove() shared by all collections.

Detailed context and examples:
Root of List, Set, Queue hierarchies. Common methods: size(), add(), remove(). Note that Map does not extend Collection."		19-collections-framework/theory/01-what-is-the-collection-framework-concepts.md | https://docs.oracle.com/javase/tutorial/collections/	java::core::collections-framework
collections_framework-extra-007	Explain `List` deeply enough for review.	An ordered collection (sequence) that allows duplicates and positional access by index.	"Meaning & Detailed Concept:
An ordered collection (sequence) that allows duplicates and positional access by index.

Why this is important in development:
Essential when element order must be preserved and duplicate values are permitted.

Implementation details and rules:
Ordered collection, duplicate-friendly. Backed by array (ArrayList) or nodes (LinkedList). Positional access via get(index).

Common mistake/gotcha to watch out for:
Using index-based deletion in a forward loop, which shifts elements and causes items to be skipped."		19-collections-framework/theory/01-what-is-the-collection-framework-concepts.md | https://docs.oracle.com/javase/tutorial/collections/	java::core::collections-framework
collections_framework-extra-008	What confusion should you avoid with `List`?	Do not confuse it with other implementations; make sure you understand its exact contract.	"Avoid this common trap / bug:
Using index-based deletion in a forward loop, which shifts elements and causes items to be skipped.

Why this concept matters for correctness and performance:
Essential when element order must be preserved and duplicate values are permitted.

Detailed context and examples:
Ordered collection, duplicate-friendly. Backed by array (ArrayList) or nodes (LinkedList). Positional access via get(index)."		19-collections-framework/theory/01-what-is-the-collection-framework-concepts.md | https://docs.oracle.com/javase/tutorial/collections/	java::core::collections-framework
collections_framework-extra-009	Explain `Set` deeply enough for review.	A collection that contains no duplicate elements, modeling the mathematical set abstraction.	"Meaning & Detailed Concept:
A collection that contains no duplicate elements, modeling the mathematical set abstraction.

Why this is important in development:
Ensures uniqueness of entries automatically using equality checks.

Implementation details and rules:
No duplicates. HashSet has O(1) ops (unordered); TreeSet has O(log N) ops (sorted). Rejection based on equals/hashCode or compareTo.

Common mistake/gotcha to watch out for:
Modifying key fields of an object after adding it to a HashSet, making the object unretrievable."		19-collections-framework/theory/01-what-is-the-collection-framework-concepts.md | https://docs.oracle.com/javase/tutorial/collections/	java::core::collections-framework
collections_framework-extra-010	What confusion should you avoid with `Set`?	Do not confuse it with other implementations; make sure you understand its exact contract.	"Avoid this common trap / bug:
Modifying key fields of an object after adding it to a HashSet, making the object unretrievable.

Why this concept matters for correctness and performance:
Ensures uniqueness of entries automatically using equality checks.

Detailed context and examples:
No duplicates. HashSet has O(1) ops (unordered); TreeSet has O(log N) ops (sorted). Rejection based on equals/hashCode or compareTo."		19-collections-framework/theory/01-what-is-the-collection-framework-concepts.md | https://docs.oracle.com/javase/tutorial/collections/	java::core::collections-framework
