ID	Question	Code	Answer	Explanation	Source	Tags
multithreading-code-101	What is the printed output of this code execution?	Thread t = new Thread(() -> System.out.print("A"));\nt.run();\nSystem.out.print("B");	AB	Calling .run() directly runs the task synchronously on the caller's thread (main), so "A" prints before "B" executes.	no28_multithreading/theory/01-process-vs-thread-concepts.md	java::core::multithreading
multithreading-code-102	What runtime exception is thrown if this code is executed?	Thread t = new Thread(() -> {});\nt.start();\nt.start();	java.lang.IllegalThreadStateException	A thread can only be started once. Trying to call start() on a thread that is already running or terminated throws IllegalThreadStateException.	no28_multithreading/theory/01-process-vs-thread-concepts.md	java::core::multithreading
multithreading-code-103	What does this code print to the console?	Thread t = new Thread(() -> {\n    try { Thread.sleep(5000); }\n    catch (InterruptedException e) { System.out.print("Interrupt"); }\n});\nt.start();\nt.interrupt();	Interrupt	Calling interrupt() on a sleeping thread wakes it up immediately, causing sleep() to throw InterruptedException, which is caught and prints "Interrupt".	no28_multithreading/theory/03-join-concepts.md	java::core::multithreading
multithreading-code-104	What exception does this code throw?	Thread t = new Thread(() -> {});\nt.start();\nt.setDaemon(true);	java.lang.IllegalThreadStateException	You cannot set a thread as daemon after it has been started. setDaemon() must be called when the thread is in the NEW state.	no28_multithreading/theory/03-join-concepts.md	java::core::multithreading
multithreading-code-105	Is the class MutablePerson thread-safe? If not, why?	public final class MutablePerson {\n    private final List<String> list;\n    public MutablePerson(List<String> list) {\n        this.list = list;\n    }\n    public List<String> getList() { return list; }\n}	No, because of mutability leakage.	The class stores the reference to the original mutable list and exposes it. Callers can modify the list after construction, violating immutability.	no28_multithreading/theory/04-thread-safety-concepts.md	java::core::multithreading
multithreading-code-106	How can you fix the mutability leakage in this class to make it thread-safe?	public final class ImmutableListWrapper {\n    private final List<String> list;\n    public ImmutableListWrapper(List<String> list) {\n        this.list = list; // Fix this\n    }\n    public List<String> getList() { return list; } // Fix this\n}	this.list = new ArrayList<>(list); // Defensive copy\nreturn Collections.unmodifiableList(list); // Prevent modifications	Perform defensive copying on construction to isolate the list, and return an unmodifiable wrapper.	no28_multithreading/theory/04-thread-safety-concepts.md	java::core::multithreading
multithreading-code-107	What is the printed output of this concurrent counter program?	class UnsafeCounter {\n    private int val = 0;\n    public void inc() { val++; }\n    public int get() { return val; }\n}	Erratic, unpredictable value (could be less than expected).	val++ is a compound operation (read-modify-write) that is non-atomic. Multiple threads will overwrite each other's increments.	no28_multithreading/theory/04-thread-safety-concepts.md	java::core::multithreading
multithreading-code-108	How do you make the counter thread-safe using Java's lock-free CAS mechanism?	class SafeCounter {\n    private int val = 0; // Fix this\n    public void inc() { val++; } // Fix this\n}	Use AtomicInteger:\nprivate final AtomicInteger val = new AtomicInteger(0);\npublic void inc() { val.incrementAndGet(); }	AtomicInteger uses low-level Compare-And-Swap (CAS) instructions to perform atomic increments safely without lock overhead.	no28_multithreading/theory/04-thread-safety-concepts.md	java::core::multithreading
multithreading-code-109	Does this class guarantee thread-safe increment updates?	public class Counter {\n    private volatile int count = 0;\n    public void increment() { count++; }\n}	No.	The volatile keyword only guarantees visibility and ordering, not atomicity. The count++ instruction remains non-atomic.	no28_multithreading/theory/04-thread-safety-concepts.md	java::core::multithreading
multithreading-code-110	Does the JVM guarantee that the output of this code will be printed on a separate thread?	Thread t = new Thread(() -> System.out.println("Run"));\nt.run();	No.	Invoking run() directly is a synchronous call running on the caller's thread, not a new thread.	no28_multithreading/theory/02-runnable-concepts.md	java::core::multithreading
multithreading-code-111	What is the state of t immediately after calling t.start() in the main thread?	Thread t = new Thread(() -> {\n    try { Thread.sleep(1000); } catch (Exception e) {}\n});\nt.start();	RUNNABLE (or potentially TIMED_WAITING if the sleep is entered immediately).	Immediately after start(), the thread enters the RUNNABLE state waiting for OS scheduling.	no28_multithreading/theory/02-runnable-concepts.md	java::core::multithreading
multithreading-code-112	What happens if executor.shutdown() is not called in this code?	ExecutorService executor = Executors.newFixedThreadPool(2);\nexecutor.submit(() -> System.out.println("Hello"));	The JVM continues running and does not terminate.	The threads in the fixed pool are non-daemon (user) threads. The JVM will not exit as long as user threads remain alive.	no28_multithreading/theory/01-process-vs-thread-concepts.md	java::core::multithreading
