ID	Front	Back	Code	Source	Tags
datatype-basic-001	What are Java's 8 primitive types?	`byte`, `short`, `int`, `long`, `float`, `double`, `char`, `boolean`. 4 integer types (byte/short/int/long), 2 floating-point (float/double), 1 character (char), 1 boolean.		03-data-types/README.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-003	What is a primitive type?	A primitive type stores a simple value directly and is not an object.		03-data-types/README.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-004	What is a reference type?	A reference type stores a reference to an object rather than storing the object directly.		03-data-types/README.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-005	Is `String` a primitive type?	No. `String` is a reference type.		03-data-types/README.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype java::interview
datatype-basic-006	Are arrays primitive types in Java?	No. Arrays are reference types and array instances are objects.		03-data-types/README.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-007	What is a literal?	"A literal is a value written directly in source code, such as `10`, `""Java""`, or `true`."		03-data-types/README.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-008	What is the default type of an integer literal?	The default type of an integer literal is `int`.		03-data-types/README.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-009	What is the default type of a decimal literal?	The default type of a decimal literal is `double`.		03-data-types/README.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-010	What suffix is commonly used for a long literal?	`L` is used for a long literal.		03-data-types/README.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-011	What suffix is commonly used for a float literal?	`F` is used for a float literal.		03-data-types/README.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-012	What is widening casting?	Widening casting converts a smaller compatible type to a larger type and is usually automatic.		03-data-types/README.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-013	What is narrowing casting?	Narrowing casting converts a larger type to a smaller type and requires an explicit cast.		03-data-types/README.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-014	What is a wrapper class?	A wrapper class is an object version of a primitive type, such as `Integer` for `int`.		03-data-types/README.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-015	What is autoboxing?	Autoboxing is automatic conversion from a primitive value to its wrapper object.		03-data-types/README.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-016	What is unboxing?	Unboxing is automatic conversion from a wrapper object to its primitive value.		03-data-types/README.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-017	What does `null` mean?	`null` means a reference variable does not currently refer to any object.		03-data-types/README.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-018	What does `==` compare for primitives?	For primitives, `==` compares values.		03-data-types/README.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-019	What does `==` compare for objects?	For objects, `==` compares references, not content.		03-data-types/README.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-020	What should usually be used to compare String content?	Use `.equals()` to compare String content.		03-data-types/README.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype java::interview
datatype-basic-021	What category do `byte`, `short`, `int`, and `long` belong to?	They are integer primitive types.		03-data-types/theory/01-primitive-types.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-022	What category do `float` and `double` belong to?	They are floating-point primitive types.		03-data-types/theory/01-primitive-types.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-023	What is the default integer type in Java?	`int` is the default integer type.		03-data-types/theory/01-primitive-types.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-024	What is the default decimal type in Java?	`double` is the default decimal type.		03-data-types/theory/01-primitive-types.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-025	Why should a long literal often use uppercase `L`?	Uppercase `L` clearly marks a long literal and is not confused with the digit `1`.		03-data-types/theory/01-primitive-types.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-026	Why does a float literal usually need `F`?	Because decimal literals are `double` by default, so `F` marks the literal as `float`.		03-data-types/theory/01-primitive-types.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-027	Why are floating-point types risky for exact money calculations?	They can have rounding errors because they are not exact decimal types.		03-data-types/theory/01-primitive-types.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype java::interview
datatype-basic-028	What type should often be used for exact money calculations in Java?	`BigDecimal` is often used for exact decimal money calculations.		03-data-types/theory/01-primitive-types.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-029	What quotes are used for a `char` literal?	A `char` literal uses single quotes.		03-data-types/theory/01-primitive-types.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-030	What quotes are used for a `String` literal?	A `String` literal uses double quotes.		03-data-types/theory/01-primitive-types.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-031	Can Java assign `1` to a boolean variable?	No. Java booleans can only be `true` or `false`.		03-data-types/theory/01-primitive-types.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-032	Do local variables have automatic default values?	No. Local variables must be assigned before use.		03-data-types/theory/01-primitive-types.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-033	Do fields have default values in Java?	Yes. Fields get default values if not explicitly initialized.		03-data-types/theory/01-primitive-types.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-034	What is the default value of a boolean field?	The default value of a boolean field is `false`.		03-data-types/theory/01-primitive-types.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-035	What is the default value of reference type fields?	The default value of reference type fields is `null`.		03-data-types/theory/01-primitive-types.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-036	Can two reference variables point to the same object?	Yes. Multiple reference variables can point to the same object.		03-data-types/theory/02-reference-types.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-037	Are arrays objects in Java?	Yes. Arrays are reference types and array instances are objects.		03-data-types/theory/02-reference-types.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-038	What does `numbers.length` access for an array?	It accesses the length property of the array object.		03-data-types/theory/02-reference-types.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-039	What is object identity?	Object identity is whether two references point to the exact same object.		03-data-types/theory/02-reference-types.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-040	What does `null` mean for a reference variable?	It means the variable does not currently refer to any object.		03-data-types/theory/02-reference-types.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-041	What exception can happen when calling a method on `null`?	`NullPointerException` can happen.		03-data-types/theory/02-reference-types.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
