ID	Text	Extra	Code	Source	Tags
object_class-cloze-001	In Object class, {{c1::toString()}} is a concept you should define, apply, and connect to common mistakes.	Overriding it provides a concise but informative representation of the object state, which is crucial for logging and debugging. Make sure not to print sensitive data like passwords.		14-object-class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-cloze-002	In Object class, {{c1::equals()}} is a concept you should define, apply, and connect to common mistakes.	To compare objects based on field values, override equals(Object obj). If you override equals(), you must also override hashCode() to maintain their joint contract.		14-object-class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-cloze-003	In Object class, {{c1::hashCode()}} is a concept you should define, apply, and connect to common mistakes.	Equal objects must return the same hash code. Unequal objects do not require distinct hash codes, but distinct hashes reduce bucket collisions, improving lookup performance to O(1).		14-object-class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-cloze-004	In Object class, {{c1::getClass()}} is a concept you should define, apply, and connect to common mistakes.	Unlike `instanceof` (which checks hierarchy), `getClass() == Other.class` verifies exact class matching. Useful in `equals()` to reject subclasses.		14-object-class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-cloze-005	In Object class, {{c1::clone()}} is a concept you should define, apply, and connect to common mistakes.	Object.clone() performs a shallow copy by default, copying primitive values and object references (not the referenced objects). Deep copies require manual nested cloning.		14-object-class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-cloze-006	In Object class, {{c1::finalize() deprecated}} is a concept you should define, apply, and connect to common mistakes.	It is deprecated due to non-deterministic execution, performance overhead, and finalizer attack security risks. Use AutoCloseable with try-with-resources instead.		14-object-class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-cloze-007	In Object class, {{c1::wait()}} is a concept you should define, apply, and connect to common mistakes.	Must be called from a synchronized context on the same object, otherwise throws IllegalMonitorStateException. Always call in a loop checking the condition.		14-object-class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-cloze-008	In Object class, {{c1::notify()}} is a concept you should define, apply, and connect to common mistakes.	Must be called from a synchronized context. The awakened thread cannot run until the current thread releases the lock and it successfully re-acquires it.		14-object-class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-cloze-009	In Object class, {{c1::notifyAll()}} is a concept you should define, apply, and connect to common mistakes.	Preferred over notify() because it avoids deadlocks from waking up threads that cannot progress. All woken threads compete for the object monitor once released.		14-object-class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-cloze-010	In Object class, {{c1::Why overriding equals() means you should also override hashCode()}} is a concept you should define, apply, and connect to common mistakes.	If equals() is overridden but hashCode() is not, two equal keys will hash to different buckets, making it impossible to retrieve values via map.get(equalKey).		14-object-class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-cloze-011	In Object class, {{c1::Contract of equals()}} is a concept you should define, apply, and connect to common mistakes.	- Reflexive: x.equals(x)\n- Symmetric: x.equals(y) <=> y.equals(x)\n- Transitive: x.equals(y) && y.equals(z) => x.equals(z)\n- Consistent: output matches if state is unchanged\n- Null-hostile: x.equals(null) is false.		14-object-class/theory/02-contract-of-equals-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-cloze-012	In Object class, {{c1::Contract of hashCode()}} is a concept you should define, apply, and connect to common mistakes.	Consistent: returns the same int in an execution if fields are unchanged. Equal: a.equals(b) => a.hashCode() == b.hashCode(). Unequal: distinct hashes are recommended for performance.		14-object-class/theory/02-contract-of-equals-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-cloze-013	In Object class, {{c1::Comparing objects by reference and by value}} is a concept you should define, apply, and connect to common mistakes.	"For example, String s1 = new String(""a""); String s2 = new String(""a""); has s1 != s2 (reference equality fails) but s1.equals(s2) is true (value equality holds)."		14-object-class/theory/02-contract-of-equals-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
