ID	Front	Back	Extra	Code	Source	Tags
stream_api-basic_extra-001	Why does `Stream.of(1, 2, 3).peek(System.out::println).count()` print nothing in modern Java?	Modern JVMs optimize the terminal `count()` by querying the stream size directly from the source metadata, skipping pipeline traversal.	This optimization (Java 9+) avoids executing intermediate steps like `peek()` or `map()` when they don't alter the stream size. Never rely on `peek()` for state changes or logic execution.	Stream.of(1, 2, 3).peek(System.out::println).count();	23-stream-api/theory/03-peek-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/Stream.html#peek(java.util.function.Consumer)	java::core::stream-api java::interview
stream_api-basic_extra-002	How does the internal pipeline representation defer execution in Java Streams?	Intermediate operations construct a linked list of `AbstractPipeline` and `Sink` objects instead of traversing elements.	When a terminal operation is called, the source elements are pulled through the pipeline. Sinks wrap the downstream sink in a callback-like structure to process elements in a single pass.	// AbstractPipeline and Sink construct the chain\nStream.of(1, 2).filter(x -> x > 0).map(x -> x * 2);	23-stream-api/theory/05-lazy-evaluation-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/package-summary.html	java::core::stream-api java::interview
stream_api-basic_extra-003	Why does flatMap differ from map in terms of return types?	map takes a mapper mapping T to R; flatMap takes a mapper mapping T to Stream<R> and flattens it.	map returns a Stream of elements, while flatMap extracts the values from returned streams and combines them into one unified downstream stream, preventing nested collections.	// map vs flatMap\nStream<Stream<String>> s1 = stream.map(x -> Stream.of(x));\nStream<String> s2 = stream.flatMap(x -> Stream.of(x));	23-stream-api/theory/02-longstream-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/Stream.html#flatMap(java.util.function.Function)	java::core::stream-api java::interview
stream_api-basic_extra-004	Why is thread-safety a major risk when modifying external collections inside parallel streams?	Parallel streams execute pipeline elements concurrently on multiple worker threads in the common pool.	Modifying a non-thread-safe container like ArrayList from within stream operations (e.g. via forEach or peek) causes race conditions, data loss, or concurrent modification exceptions.	List<Integer> list = new ArrayList<>();\nList.of(1, 2).parallelStream().forEach(list::add); // DANGEROUS	23-stream-api/theory/05-lazy-evaluation-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/package-summary.html	java::core::stream-api java::interview
stream_api-basic_extra-005	Why do primitive streams like `IntStream` outperform reference streams like `Stream<Integer>`?	Primitive streams operate directly on native primitive values, preventing memory allocations and box/unbox operations.	Boxed types introduce cache misses via pointer chasing and high GC pressure. Primitive streams store values contiguously in memory and expose optimized sum, average, and summary statistics.	IntStream.rangeClosed(1, 100).sum(); // Bypasses Autoboxing	23-stream-api/theory/01-what-is-stream-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/IntStream.html	java::core::stream-api java::interview
stream_api-basic_extra-006	Why does partitioningBy always return a map with two keys, even if the stream is empty?	partitioningBy is structured for binary partitioning and pre-populates the map with Boolean.TRUE and Boolean.FALSE keys.	If the stream is empty or no elements match the predicate, the key is still mapped to an empty list rather than being omitted. This prevents NullPointerException during lookup.	Map<Boolean, List<String>> res = Stream.<String>empty()\n  .collect(Collectors.partitioningBy(s -> s.length() > 5)); // Has both keys	23-stream-api/theory/06-partitioningby-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/Collectors.html#partitioningBy(java.util.function.Predicate)	java::core::stream-api java::interview
stream_api-basic_extra-007	What is the risk of using parallel streams for blocking I/O operations?	They run on the global ForkJoinPool.commonPool() and blocking threads will starve the entire JVM's parallel tasks.	The common pool is shared across the classloader. CPU-intensive operations or blockages in one parallel stream starve threads needed for other application components.	// DANGEROUS: blocks the common ForkJoinPool thread pool\nlist.parallelStream().map(url -> fetchFromNetwork(url)).toList();	23-stream-api/theory/05-lazy-evaluation-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/concurrent/ForkJoinPool.html	java::core::stream-api java::interview
stream_api-basic_extra-008	Why does `Collectors.groupingBy` allow dynamic key sets while `Collectors.partitioningBy` does not?	groupingBy classifies elements using a Function mapping to arbitrary types, whereas partitioningBy uses a Boolean Predicate.	groupingBy builds keys dynamically as elements are evaluated, mapping to arbitrary K keys in a HashMap. partitioningBy is optimized specifically for a fixed binary split.	// partitioningBy is fixed to Boolean; groupingBy uses arbitrary keys\nwords.stream().collect(Collectors.groupingBy(String::length));	23-stream-api/theory/06-partitioningby-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/Collectors.html#groupingBy(java.util.function.Function)	java::core::stream-api java::interview
stream_api-basic_extra-009	How does the short-circuiting behavior of `anyMatch` optimize performance?	It terminates pipeline evaluation as soon as a single element matches the predicate, skipping subsequent elements.	Because stream elements are processed one-by-one, anyMatch can stop the source iteration immediately, which is crucial for handling large or infinite stream inputs.	boolean found = Stream.iterate(1, i -> i + 1).anyMatch(i -> i % 10 == 0); // Stops at 10	23-stream-api/theory/05-lazy-evaluation-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/Stream.html#anyMatch(java.util.function.Predicate)	java::core::stream-api java::interview
stream_api-basic_extra-010	What happens if `Collectors.toMap` encounters duplicate keys without a merge function?	It throws an IllegalStateException because the collector does not know how to resolve the collision.	To prevent this runtime exception, always provide a merge function that specifies whether to keep the existing value, use the replacement, or combine them.	// Throws exception if keys collide:\nStream.of("apple", "peach").collect(Collectors.toMap(String::length, s -> s));	23-stream-api/theory/05-lazy-evaluation-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/Collectors.html#toMap(java.util.function.Function,java.util.function.Function)	java::core::stream-api java::interview
stream_api-basic_extra-011	Why does `sorted()` cause pipeline processing to block intermediate evaluation?	sorted() is a stateful operation that requires inspecting all upstream elements before they can be ordered.	While operations like filter and map process elements on-the-fly, sorted() must accumulate every element into an internal buffer, violating normal memory-efficient lazy processing.	// All elements are read into memory at sorted() before mapping begins\nstream.sorted().map(x -> x * 2).toList();	23-stream-api/theory/02-longstream-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/Stream.html#sorted()	java::core::stream-api java::interview
stream_api-basic_extra-012	Why does `Arrays.stream(intArr)` return an `IntStream` while `Stream.of(intArr)` returns a `Stream<int[]>`?	Stream.of() uses a generic varargs parameter T... which maps a primitive array as a single object reference.	Arrays.stream() is overloaded for primitive arrays (int[], long[], double[]), returning their matching specialized streams, whereas Stream.of() falls back to the generic reference array type.	int[] intArr = {1, 2};\nIntStream s1 = Arrays.stream(intArr);\nStream<int[]> s2 = Stream.of(intArr);	23-stream-api/theory/01-what-is-stream-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Arrays.html#stream(int%5B%5D)	java::core::stream-api java::interview
