ID	Front	Back	Extra	Source	Tags
enum-extra-001	Explain `What is an enum?` deeply enough for review.	An enum defines a fixed set of named constants as a type-safe class-like construct.	Meaning: An enum defines a fixed set of named constants as a type-safe class-like construct. Why it matters: Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label. Example: When reading code, ask: what does `What is an enum?` change, allow, reject, or clarify?	16-enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum
enum-extra-002	Explain `Declare enum` deeply enough for review.	An enum defines a fixed set of named constants as a type-safe class-like construct.	Meaning: An enum defines a fixed set of named constants as a type-safe class-like construct. Why it matters: Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label. Example: When reading code, ask: what does `Declare enum` change, allow, reject, or clarify?	16-enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum
enum-extra-003	Explain `Enum constructor` deeply enough for review.	An enum defines a fixed set of named constants as a type-safe class-like construct.	Meaning: An enum defines a fixed set of named constants as a type-safe class-like construct. Why it matters: Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label. Example: When reading code, ask: what does `Enum constructor` change, allow, reject, or clarify?	16-enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum
enum-extra-004	Explain `Enum field` deeply enough for review.	An enum defines a fixed set of named constants as a type-safe class-like construct.	Meaning: An enum defines a fixed set of named constants as a type-safe class-like construct. Why it matters: Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label. Example: When reading code, ask: what does `Enum field` change, allow, reject, or clarify?	16-enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum
enum-extra-005	Explain `Enum method` deeply enough for review.	An enum defines a fixed set of named constants as a type-safe class-like construct.	Meaning: An enum defines a fixed set of named constants as a type-safe class-like construct. Why it matters: Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label. Example: When reading code, ask: what does `Enum method` change, allow, reject, or clarify?	16-enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum
enum-extra-006	Explain `values()` deeply enough for review.	values() is a specific concept in Enum; learn its Java rule, valid use cases, and failure mode rather than only its name.	Meaning:values() is a specific concept in Enum; learn its Java rule, valid use cases, and failure mode rather than only its name. Why it matters: Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label. Example: When reading code, ask: what does `values()` change, allow, reject, or clarify?	16-enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum
enum-extra-007	Explain `valueOf()` deeply enough for review.	valueOf() is a specific concept in Enum; learn its Java rule, valid use cases, and failure mode rather than only its name.	Meaning:valueOf() is a specific concept in Enum; learn its Java rule, valid use cases, and failure mode rather than only its name. Why it matters: Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label. Example: When reading code, ask: what does `valueOf()` change, allow, reject, or clarify?	16-enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum
enum-extra-008	Explain `ordinal()` deeply enough for review.	ordinal() is a specific concept in Enum; learn its Java rule, valid use cases, and failure mode rather than only its name.	Meaning:ordinal() is a specific concept in Enum; learn its Java rule, valid use cases, and failure mode rather than only its name. Why it matters: Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label. Example: When reading code, ask: what does `ordinal()` change, allow, reject, or clarify?	16-enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum
enum-extra-009	Explain `name()` deeply enough for review.	name() is a specific concept in Enum; learn its Java rule, valid use cases, and failure mode rather than only its name.	Meaning:name() is a specific concept in Enum; learn its Java rule, valid use cases, and failure mode rather than only its name. Why it matters: Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label. Example: When reading code, ask: what does `name()` change, allow, reject, or clarify?	16-enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum
enum-extra-010	Explain `Enum in switch` deeply enough for review.	An enum defines a fixed set of named constants as a type-safe class-like construct.	Meaning: An enum defines a fixed set of named constants as a type-safe class-like construct. Why it matters: Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label. Example: When reading code, ask: what does `Enum in switch` change, allow, reject, or clarify?	16-enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum
