Topic	SelfCheckQuestion	Verdict	Score	CriteriaBreakdown	TheoreticalGap	FileNeeded	SuggestedSection
03-data-types	Why is String not a primitive type?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	02-reference-types.md	## Why String Is Not a Primitive
03-data-types	Why can int be stored directly but String is accessed through a reference?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	02-reference-types.md	## Stack And Heap Memory Model
03-data-types	What is the difference between int and Integer?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	04-wrappers-null-equality.md	## int vs Integer: Full Comparison
03-data-types	Why can narrowing conversion lose data?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	03-literals-casting-numeric-behavior.md	## Why Narrowing Can Lose Data
03-data-types	Why should String content usually be compared with .equals()?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	04-wrappers-null-equality.md	## Why Use .equals() For String Content
03-data-types	Why can unboxing a null wrapper cause an exception?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	04-wrappers-null-equality.md	## Why Unboxing null Throws NullPointerException
05-operators	Why do logical AND (&&) and OR (||) operators short-circuit, and how does this prevent runtime exceptions like NullPointerException?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	02-comparison-logical-operators.md	## Why Logical Operators Short-Circuit and How They Differ From Bitwise Operators
05-operators	What is the difference in execution behavior between logical operators (&&, ||) and bitwise/logical operators (&, |) when applied to boolean expressions?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	02-comparison-logical-operators.md	## Why Logical Operators Short-Circuit and How They Differ From Bitwise Operators
05-operators	How do the bitwise shift operators (<<, >>, >>>) manipulate binary representations, and what is the difference between signed and unsigned right shifts?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	03-bitwise-increment-ternary-instanceof.md	### How Bitwise Shift Operators Manipulate Bits
05-operators	Why do compound assignment operators (like +=, *=) perform implicit type casting, and what potential overflow risks can this mask?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-arithmetic-assignment-operators.md	## Why Compound Assignment Performs Implicit Casting
05-operators	What is the execution mechanism and side effect differences between prefix (++i) and postfix (i++) increment/decrement operators?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	03-bitwise-increment-ternary-instanceof.md	## How Prefix and Postfix Increments Work Under the Hood
05-operators	How does instanceof perform pattern matching in modern Java, and why is it preferred over traditional checking and casting?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	03-bitwise-increment-ternary-instanceof.md	## Why Pattern Matching for instanceof is Safer and Cleaner
05-operators	Why does operator precedence and associativity matter in complex compound expressions, and how do parentheses affect readability and correctness?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	04-precedence-short-circuit.md	## Why Precedence and Associativity Dictate Expression Correctness
01-overview	What problem does the JVM solve?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-what-is-java.md	## Why Java Runs on a Virtual Machine: Platform Abstraction
01-overview	What is the difference between source code and bytecode?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	03-compile-runtime-flow.md	## Source Code vs. Bytecode: Under the Hood
01-overview	Why does Java need a compiler and a virtual machine?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	03-compile-runtime-flow.md	## Why Java Combines Compilation and Virtual Execution
01-overview	Why is the JDK required for development but the JRE is enough for running many applications?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	02-jvm-jre-jdk.md	## Why Development Needs the JDK But Production Needs Only JRE
01-overview	What does Garbage Collection collect?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	03-compile-runtime-flow.md	## What Garbage Collection Reclaims and How it Detects Garbage
01-overview	Why do many backend projects use Java 17 or Java 21?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	04-editions-and-versions.md	## Why Backend Projects Standardize on LTS Versions Like Java 17 and 21
04-variables-constants	Why must a local variable be definitely assigned before use, while instance and static fields receive default values?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	03-default-scope-lifetime.md	## Why Local Variables Must Be Initialized But Fields Get Default Values
04-variables-constants	What is the difference in lifetime, memory location, and storage mechanisms between local variables, instance variables, and static variables?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-variable-categories.md	## Local vs Instance vs Static: Memory Model and Lifetimes
04-variables-constants	Why does final prevent re-assignment, and how does it enable compiler optimizations like inlining and constant folding?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	02-final-and-constants.md	## How final Enables Compiler Optimizations
04-variables-constants	Why are constants in Java typically declared as static final?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	02-final-and-constants.md	## Why Constants Are Declared static final
04-variables-constants	Why is local variable type inference (var) restricted to local variables and not allowed for fields or method parameter/return types?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	04-var-type-inference.md	## Why var Type Inference Only Works Locally
04-variables-constants	How does scope limit variable visibility, and how does scope differ from variable lifetime?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	03-default-scope-lifetime.md	## Understanding Scope vs Lifetime
00-setup	What is the difference between JDK and JRE?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-setup-basics.md	## JDK vs JRE
00-setup	Why must the filename match the public class name in Java?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-setup-basics.md	## Why Filename Must Match Public Class Name
00-setup	When should you use an IDE vs using the terminal?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-setup-basics.md	## Terminal vs IDE Compilation and Execution
02-basic-syntax	Why must a Java program start execution from a class?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-program-anatomy.md	## Why All Code Resides in Classes
02-basic-syntax	Why must the main method signature be exactly public static void main(String[] args)?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	02-main-method.md	## Why the main Method Signature is Rigid
02-basic-syntax	How are comments processed during compilation and Javadoc generation?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	03-comments-packages-imports.md	## How Comments are Processed by the Compiler
02-basic-syntax	Why do we need packages and imports in Java, and why does naming packages reversely (reverse DNS) prevent name collisions?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	03-comments-packages-imports.md	## Why Reverse DNS and Package Structure Prevent Collisions
02-basic-syntax	Why is local variable scope restricted to its declaring block, and how does this restriction help memory management and safety (preventing shadowing errors)?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	04-naming-keywords-blocks-scope.md	## Why Variable Scopes are Restricted to Blocks
02-basic-syntax	Why does Java enforce case sensitivity at both compile-time and runtime?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-program-anatomy.md	## Why Java is Case-Sensitive
24-optional	Why is Optional designed as a wrapper rather than a replacement for null in fields or parameters?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	02-map-concepts.md	## Why Optional Should Not Be Used for Fields or Parameters
24-optional	What is the performance overhead of using Optional in loops or fields?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	02-map-concepts.md	## Why Optional Should Not Be Used for Fields or Parameters
24-optional	What is the difference between orElse() and orElseGet() in terms of eager vs lazy evaluation?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-what-is-optional-t-concepts.md	## Why orElse() and orElseGet() Differ in Evaluation Mechanics
