ID	Front	Back	Extra	Code	Source	Tags
memory_management-basic-extra-001	Where is a primitive instance variable allocated when its enclosing object is instantiated?	On the Heap.	Instance variables of objects (even primitive ones like int or boolean) are allocated directly inside the object's memory payload on the Heap. They are only cleaned up when the parent object is garbage collected.		13-memory-management/theory/01-stack-concepts.md	java::core::memory-management
memory_management-basic-extra-002	Why does mutating an object passed to a method affect the caller's object?	Because both references point to the same object on the Heap.	Java passes the reference pointer by value. This means the method gets a copied address. Using this copied address to change a field (e.g., cust.setName("Bob")) modifies the single object shared in heap memory.		13-memory-management/theory/01-stack-concepts.md	java::core::memory-management
memory_management-basic-extra-003	Why does a static cache HashMap often cause memory leaks in Java?	Static variables act as active GC Roots, keeping all entries strongly reachable.	Static fields remain alive as long as their class loader is loaded (typically the lifetime of the JVM). Any object placed in a static map will never be garbage collected unless explicitly removed.		13-memory-management/theory/02-weak-reference-concepts.md	java::core::memory-management java::interview
memory_management-basic-extra-004	Under what specific condition will a WeakReference's referent be garbage collected?	When there are no strong or soft references pointing to the referent.	If only weak references point to an object, the Garbage Collector clears it during its next collection run. If a strong reference still exists elsewhere, the weak reference will not be cleared.		13-memory-management/theory/02-weak-reference-concepts.md	java::core::memory-management
memory_management-basic-extra-005	What is the danger of creating a WeakReference pointing to a String literal?	It will never be garbage collected.	String literals are stored in the JVM String Constant Pool, which holds strong references to them. Since the pool maintains a strong reference, the referent is never weakly reachable, rendering the WeakReference ineffective.		13-memory-management/theory/02-weak-reference-concepts.md	java::core::memory-management
memory_management-basic-extra-006	Why is a ReferenceQueue used alongside a PhantomReference?	To notify the application when the referent has been finalized and collected.	PhantomReference's get() method always returns null. The only way to know the object was collected is by checking the ReferenceQueue. This allows developers to trigger post-mortem cleanup, such as freeing off-heap native memory.		13-memory-management/theory/02-weak-reference-concepts.md	java::core::memory-management
memory_management-basic-extra-007	Why does an island of isolation (circular references) fail to prevent GC in tracing GC systems?	Because reachability is checked starting from GC Roots.	Tracing garbage collectors begin scanning at active thread stack variables, static fields, etc. If the circular cluster of objects A and B is disconnected from these roots, it cannot be traversed, making them eligible for collection.		13-memory-management/theory/02-weak-reference-concepts.md	java::core::memory-management
memory_management-basic-extra-008	What is the cause of a java.lang.OutOfMemoryError: GC Overhead Limit Exceeded?	The JVM is spending too much time performing garbage collection for too little memory recovered.	By default, this is thrown if the JVM spends more than 98% of its total time doing GC and recovers less than 2% of the heap. This prevents the application from locking up in constant GC loops.		13-memory-management/theory/03-outofmemoryerror-concepts.md	java::core::memory-management
memory_management-basic-extra-009	Why can raising the heap size (-Xmx) fail to fix a StackOverflowError?	StackOverflowError is caused by thread stack exhaustion, not heap exhaustion.	Stack size is separate from heap size. To increase stack size, you must use the -Xss JVM flag, though usually a StackOverflowError indicates an infinite recursion bug that must be fixed in the code.		13-memory-management/theory/03-outofmemoryerror-concepts.md	java::core::memory-management
memory_management-basic-extra-010	What happens when you call System.gc() in Java?	It provides a hint to the JVM to run the Garbage Collector, which the JVM can ignore.	The JVM may bypass this request entirely, especially if configured with the flag -XX:+DisableExplicitGC. Even if it runs, it can trigger highly expensive Stop-The-World pauses.		13-memory-management/theory/02-weak-reference-concepts.md	java::core::memory-management
memory_management-basic-extra-011	Why does a memory leak still consume heap space if the leaked objects are no longer referenced in stack frames?	Because they are still reachable via a chain of strong references from static fields or active collections.	As long as a path of strong references exists from any GC Root (like a static list or a long-running thread context), the Garbage Collector cannot reclaim the objects, even if the application logic never uses them again.		13-memory-management/theory/02-weak-reference-concepts.md	java::core::memory-management java::term
memory_management-basic-extra-012	Why does trying to log a StackOverflowError inside a catch block often result in another crash?	Because the thread stack is already fully exhausted.	Logging methods push new frames onto the stack. Since the stack has no remaining space, executing any method call (including System.out.println or logger.error) inside the catch block immediately throws another StackOverflowError.		13-memory-management/theory/03-outofmemoryerror-concepts.md	java::core::memory-management java::interview
