ID	Text	Extra	Code	Source	Tags
build_compile_run-cloze-001	The `javac` command compiles `.java` source files into {{c1::`.class`::extension}} bytecode files.	The resulting bytecode is platform-independent and executed by the JVM.		38-build-compile-run/theory/01-javac-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/specs/man/javac.html	java::core::build-compile-run
build_compile_run-cloze-002	Running `java` with the `-cp` flag specifies the {{c1::Classpath}} lookup path.	Using -cp or -classpath overrides the default search path of the current directory (.).		38-build-compile-run/theory/01-javac-concepts.md	java::core::build-compile-run
build_compile_run-cloze-003	In a JAR, the metadata manifest file must be placed at the exact path {{c1::`META-INF/MANIFEST.MF`}}.	This file dictates settings such as entry-points and class paths.		38-build-compile-run/theory/01-javac-concepts.md	java::core::build-compile-run
build_compile_run-cloze-004	An executable JAR requires the {{c1::`Main-Class`::attribute}} attribute to be defined in its manifest.	This allows running the JAR using the `java -jar` command without specifying the main class.		38-build-compile-run/theory/01-javac-concepts.md	java::core::build-compile-run
build_compile_run-cloze-005	On Linux or macOS, multiple paths in a classpath are separated by a {{c1::colon (`:`)}} character.	Using the Windows semicolon separator on Unix will break classpath resolution.		38-build-compile-run/theory/01-javac-concepts.md	java::core::build-compile-run
build_compile_run-cloze-006	On Windows, multiple paths in a classpath are separated by a {{c1::semicolon (`;`)}} character.	Using the Unix colon separator on Windows will break classpath resolution.		38-build-compile-run/theory/01-javac-concepts.md	java::core::build-compile-run
build_compile_run-cloze-007	If a class is found during compilation but missing during execution, the JVM throws {{c1::`NoClassDefFoundError`}}.	This is a LinkageError representing a discrepancy between compile-time and runtime classpaths.		38-build-compile-run/theory/01-javac-concepts.md | https://docs.oracle.com/javase/tutorial/essential/environment/paths.html	java::core::build-compile-run
build_compile_run-cloze-008	If a class is dynamically looked up by name at runtime but cannot be resolved, the JVM throws {{c1::`ClassNotFoundException`}}.	This is a checked exception thrown by methods like Class.forName() or ClassLoader.loadClass().		38-build-compile-run/theory/01-javac-concepts.md | https://docs.oracle.com/javase/tutorial/essential/environment/paths.html	java::core::build-compile-run
build_compile_run-cloze-009	The Maven declarative build system uses a configuration file named {{c1::`pom.xml`}}.	POM stands for Project Object Model.		38-build-compile-run/theory/01-javac-concepts.md	java::core::build-compile-run
build_compile_run-cloze-010	JUnit Jupiter unit tests are marked using the {{c1::`@Test`::annotation}} annotation.	Imported from the package `org.junit.jupiter.api`.		38-build-compile-run/theory/02-standard-project-structure-concepts.md	java::core::build-compile-run
build_compile_run-cloze-011	JUnit's assertion method for equality is defined as `assertEquals({{c1::expected}}, {{c2::actual}})`.	Reversing these arguments will produce confusing assertion failure logs.		38-build-compile-run/theory/02-standard-project-structure-concepts.md	java::core::build-compile-run
build_compile_run-cloze-012	Dependencies of your project's direct dependencies are resolved and fetched automatically as {{c1::transitive}} dependencies.	Maven and Gradle recursively fetch these dependencies from Maven Central.		38-build-compile-run/theory/01-javac-concepts.md	java::core::build-compile-run
