ID	Front	Back	Extra	Code	Source	Tags
overview-basic-extra-001	How would you explain Java as an ecosystem rather than only a language?	Java includes the language, compiler, JVM, standard library, build tools, frameworks, and community ecosystem.	"This matters because real Java development usually involves tools like Maven/Gradle and frameworks like Spring, not only `.java` syntax.<br><br><img src=""overview-compile-runtime-flow.svg"">"		no01_overview/theory/01-what-is-java.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview
overview-basic-extra-002	Why does Java's object-oriented model matter early in learning?	Most Java code is written inside classes, and programs are structured around objects that combine data and behavior.	Rule: every Java program lives inside at least one class. Consequence: you cannot write a standalone function outside a class like in Python. Gotcha: beginners sometimes try `void main()` at file level — Java requires it inside a class, e.g., `public class Hello { public static void main(String[] args) { ... } }`.		no01_overview/theory/01-what-is-java.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview java::core::oop
overview-basic-extra-003	"What is wrong with saying ""Java code runs everywhere""?"	It skips the JVM layer: Java source is compiled into bytecode, and bytecode runs on compatible JVMs.	Better wording: Java bytecode can run on many platforms that provide a compatible JVM. Gotcha: if you copy a `.class` file to a machine with no JVM installed, it will NOT run. Each OS needs its own JVM build (e.g., a Windows JVM and a Linux JVM are separate binaries).		no01_overview/theory/01-what-is-java.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview java::interview
overview-basic-extra-004	Why is the JVM not platform independent even though Java is called platform independent?	A JVM implementation is built for a specific OS and CPU architecture.	The bytecode is portable; each platform needs its own JVM. Example: OpenJDK ships separate installers for Windows x64, macOS arm64, Linux x64, etc. You cannot swap them. The JVM is the platform-specific bridge that converts portable bytecode into native machine instructions.		no01_overview/theory/01-what-is-java.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview java::interview
overview-basic-extra-005	How does Java reduce some dangerous memory errors compared with C/C++?	Java avoids normal pointer arithmetic and uses automatic memory management.	This does not remove all bugs, but it reduces direct invalid memory access patterns common in lower-level languages.		no01_overview/theory/01-what-is-java.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview
overview-basic-extra-006	Why does Garbage Collection not mean memory is irrelevant?	Garbage Collection only reclaims unreachable objects; code can still keep unnecessary references alive.	Example of a memory leak in Java: `static List<byte[]> cache = new ArrayList<>();` — every `cache.add(new byte[1_000_000])` adds 1 MB and GC cannot collect it while `cache` holds the reference. GC only collects objects with ZERO live references.		no01_overview/theory/01-what-is-java.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview java::interview
overview-basic-extra-007	Why is Java suitable for long-running server applications?	Java has a stable runtime, strong ecosystem, automatic memory management, multithreading support, and runtime optimization through the JVM.	Stable runtime means the JVM is mature, predictable, well-tested, and supported for production use. This matters because backend services may run for weeks or months, so memory management, JIT behavior, monitoring, compatibility, and crash resistance need to be reliable. JIT warm-up can also improve performance after frequently used code paths are optimized.		no01_overview/theory/01-what-is-java.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview
overview-basic-extra-008	Why can multithreading be both useful and dangerous?	It enables concurrent work but can introduce race conditions, deadlocks, and difficult debugging problems.	Concrete gotcha: two threads incrementing a shared `int counter` without synchronization can produce a final count LESS than expected because both threads read the same value, increment it, and write back — overwriting each other's result. This is a classic race condition.		no01_overview/theory/01-what-is-java.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview java::core::thread
overview-basic-extra-009	"How would you answer ""Is Java related to JavaScript?"" in an interview?"	They are different languages with different runtime models and ecosystems.	Key facts to state: (1) Java compiles to bytecode run by JVM; JavaScript is interpreted/JIT-compiled by engines like V8. (2) Java is statically typed; JavaScript is dynamically typed. (3) The similar name was a 1990s marketing decision by Netscape and Sun Microsystems, not a technical relationship.		no01_overview/theory/01-what-is-java.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview java::interview
overview-basic-extra-010	What is the practical difference between JDK and JRE?	The JDK is for building Java programs; the JRE is for running Java programs.	Quick diagnostic: if `javac HelloWorld.java` gives 'command not found' but `java -version` works, you have a JRE but no JDK on PATH. Fix: install a full JDK (e.g., OpenJDK 17) and ensure `javac` is on your PATH. Since Java 11, Oracle no longer ships a standalone JRE — the JDK includes everything.		no01_overview/theory/02-jvm-jre-jdk.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview java::interview
overview-basic-extra-011	How are JVM, JRE, and JDK related?	The JDK includes development tools and runtime components; the JRE provides runtime libraries and the JVM; the JVM executes bytecode.	Nesting rule: JDK ⊃ JRE ⊃ JVM. The JVM alone only executes bytecode. JRE adds the standard library (rt.jar / modules). JDK adds `javac`, `javadoc`, `jshell`, `jar`, `jlink`, and other dev tools. Common mistake: saying 'I need JRE to compile' — compilation requires JDK.		no01_overview/theory/02-jvm-jre-jdk.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview java::interview
overview-basic-extra-012	Why is installing only a runtime not enough for Java development?	A runtime can run Java applications, but development also needs tools such as `javac` to compile source code.	Concrete consequence: downloading only a JRE means `javac` is absent. Running `javac HelloWorld.java` will fail with 'command not found'. You must install a JDK such as OpenJDK 17 or 21 to get the full toolchain including the compiler, debugger, and profiler.		no01_overview/theory/02-jvm-jre-jdk.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview
overview-basic-extra-013	What is the difference between `java` and `javac`?	`javac` compiles source code into bytecode; `java` runs compiled classes on the JVM.	Memory hook: `javac` = Java Compiler (produces `.class`). `java` = Java Launcher (runs `.class`). Common mistake: running `java HelloWorld.java` as the final step — the correct step is `java HelloWorld` (class name, no extension). Also wrong: `javac HelloWorld` without the `.java` extension.		no01_overview/theory/02-jvm-jre-jdk.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview java::interview
