ID	Front	Back	Source	Tags
operator-basic-001	What is an operator in Java?	An operator is a symbol or keyword that performs an operation on one or more operands and produces a result.	05-operators/theory/01-arithmetic-assignment-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators
operator-basic-002	What is an operand?	An operand is a value or expression that an operator acts on.	05-operators/terms/01-operator-terms.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators java::term
operator-basic-003	What result does `7 / 3` produce in Java when both operands are `int`?	`2`	05-operators/theory/01-arithmetic-assignment-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators
operator-basic-004	Why does `10 / 4` assigned to a `double` produce `2.0` instead of `2.5`?	Because `10 / 4` is evaluated as integer division before the result is assigned to `double`.	05-operators/theory/01-arithmetic-assignment-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators
operator-basic-005	What does the `%` operator do?	It returns the remainder after division.	05-operators/theory/01-arithmetic-assignment-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators
operator-basic-006	What is `17 % 5`?	`2`	05-operators/theory/01-arithmetic-assignment-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators
operator-basic-007	What is a common use of `n % 2 == 0`?	Checking whether `n` is even.	05-operators/theory/01-arithmetic-assignment-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators
operator-basic-008	When does `+` perform string concatenation?	When at least one operand is a `String`.	05-operators/theory/01-arithmetic-assignment-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators
operator-basic-009	What does `=` mean in Java?	Assignment: it stores the right-hand value into the variable on the left.	05-operators/theory/01-arithmetic-assignment-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators
operator-basic-010	What operator checks equality?	`==`	05-operators/theory/02-comparison-logical-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators
