ID	Question	Code	Answer	Explanation	Source	Tags
inner_nested_class-code-001	What kind of class is this?	class Outer {\n    static class Helper { }\n}	A static nested class	A static nested class is nested in another class but does not require an outer instance.	15-inner-nested-class/README.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class java::code
inner_nested_class-code-002	What should you explain when you see `Nested class`in code or an interview prompt?	// Concept: Nested class\n// Review task: identify the rule, API, or mistake connected to this concept.\n// Topic: Inner Class and Nested Class	Nested class is a specific concept in Inner Class and Nested Class; learn its Java rule, valid use cases, and failure mode rather than only its name.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	15-inner-nested-class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class java::code
inner_nested_class-code-003	What should you explain when you see `Static nested class` in code or an interview prompt?	// Concept: Static nested class\n// Review task: identify the rule, API, or mistake connected to this concept.\n// Topic: Inner Class and Nested Class	Static means the member belongs to the class rather than to one particular object.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	15-inner-nested-class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class java::code
inner_nested_class-code-004	What should you explain when you see `Inner class`in code or an interview prompt?	// Concept: Inner class\n// Review task: identify the rule, API, or mistake connected to this concept.\n// Topic: Inner Class and Nested Class	Inner class is a specific concept in Inner Class and Nested Class; learn its Java rule, valid use cases, and failure mode rather than only its name.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	15-inner-nested-class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class java::code
inner_nested_class-code-005	What should you explain when you see `Local inner class`in code or an interview prompt?	// Concept: Local inner class\n// Review task: identify the rule, API, or mistake connected to this concept.\n// Topic: Inner Class and Nested Class	Local inner class is a specific concept in Inner Class and Nested Class; learn its Java rule, valid use cases, and failure mode rather than only its name.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	15-inner-nested-class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class java::code
inner_nested_class-code-006	What should you explain when you see `Anonymous inner class`in code or an interview prompt?	// Concept: Anonymous inner class\n// Review task: identify the rule, API, or mistake connected to this concept.\n// Topic: Inner Class and Nested Class	Anonymous inner class is a specific concept in Inner Class and Nested Class; learn its Java rule, valid use cases, and failure mode rather than only its name.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	15-inner-nested-class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class java::code
inner_nested_class-code-007	What should you explain when you see `Access variables outside the class`in code or an interview prompt?	// Concept: Access variables outside the class\n// Review task: identify the rule, API, or mistake connected to this concept.\n// Topic: Inner Class and Nested Class	Access variables outside the class is a specific concept in Inner Class and Nested Class; learn its Java rule, valid use cases, and failure mode rather than only its name.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	15-inner-nested-class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class java::code
inner_nested_class-code-008	What should you explain when you see `Use case of inner class`in code or an interview prompt?	// Concept: Use case of inner class\n// Review task: identify the rule, API, or mistake connected to this concept.\n// Topic: Inner Class and Nested Class	Use case of inner class is a specific concept in Inner Class and Nested Class; learn its Java rule, valid use cases, and failure mode rather than only its name.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	15-inner-nested-class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class java::code
inner_nested_class-code-009	What should you explain when you see `Anonymous class in event handler, thread, comparator` in code or an interview prompt?	// Concept: Anonymous class in event handler, thread, comparator\n// Review task: identify the rule, API, or mistake connected to this concept.\n// Topic: Inner Class and Nested Class	Comparator defines external custom ordering for objects.	It matters because concurrent code can look correct in single-thread tests but fail under timing pressure. A common confusion is assuming visibility, ordering, and atomicity are the same guarantee.	15-inner-nested-class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class java::code
inner-nested-class-aug-code-001	When reviewing `Nested class`, what should you prove with a tiny Java example?	// Concept: Nested class\n// Task: explain the Java rule, the common mistake, and one concrete use case.\nclass Nested_classReview {\n    // Fill this with a tiny example while reviewing.\n}	Tiny example or mental model:	A useful review example should show the rule, one allowed use, and one mistake or limitation. Source: /home/fhu_thjen/projects/learning-java/15-inner-nested-class/theory/01-nested-class-concepts.md	/home/fhu_thjen/projects/learning-java/15-inner-nested-class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner_nested_class java::code
inner-nested-class-aug-code-002	When reviewing `Static nested class`, what should you prove with a tiny Java example?	// Concept: Static nested class\n// Task: explain the Java rule, the common mistake, and one concrete use case.\nclass Static_nested_classReview {\n    // Fill this with a tiny example while reviewing.\n}	Static means the member belongs to the class rather than to one particular object.	A useful review example should show the rule, one allowed use, and one mistake or limitation. Source: /home/fhu_thjen/projects/learning-java/15-inner-nested-class/theory/01-nested-class-concepts.md	/home/fhu_thjen/projects/learning-java/15-inner-nested-class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner_nested_class java::code
inner-nested-class-aug-code-003	When reviewing `Inner class`, what should you prove with a tiny Java example?	// Concept: Inner class\n// Task: explain the Java rule, the common mistake, and one concrete use case.\nclass Inner_classReview {\n    // Fill this with a tiny example while reviewing.\n}	Tiny example or mental model:	A useful review example should show the rule, one allowed use, and one mistake or limitation. Source: /home/fhu_thjen/projects/learning-java/15-inner-nested-class/theory/01-nested-class-concepts.md	/home/fhu_thjen/projects/learning-java/15-inner-nested-class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner_nested_class java::code
inner-nested-class-aug-code-004	When reviewing `Local inner class`, what should you prove with a tiny Java example?	// Concept: Local inner class\n// Task: explain the Java rule, the common mistake, and one concrete use case.\nclass Local_inner_classReview {\n    // Fill this with a tiny example while reviewing.\n}	Tiny example or mental model:	A useful review example should show the rule, one allowed use, and one mistake or limitation. Source: /home/fhu_thjen/projects/learning-java/15-inner-nested-class/theory/01-nested-class-concepts.md	/home/fhu_thjen/projects/learning-java/15-inner-nested-class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner_nested_class java::code
inner-nested-class-aug-code-005	When reviewing `Anonymous inner class`, what should you prove with a tiny Java example?	// Concept: Anonymous inner class\n// Task: explain the Java rule, the common mistake, and one concrete use case.\nclass Anonymous_inner_classReview {\n    // Fill this with a tiny example while reviewing.\n}	Tiny example or mental model:	A useful review example should show the rule, one allowed use, and one mistake or limitation. Source: /home/fhu_thjen/projects/learning-java/15-inner-nested-class/theory/01-nested-class-concepts.md	/home/fhu_thjen/projects/learning-java/15-inner-nested-class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner_nested_class java::code
inner-nested-class-aug-code-006	When reviewing `Access variables outside the class`, what should you prove with a tiny Java example?	// Concept: Access variables outside the class\n// Task: explain the Java rule, the common mistake, and one concrete use case.\nclass Access_variables_outsideReview {\n    // Fill this with a tiny example while reviewing.\n}	Tiny example or mental model:	A useful review example should show the rule, one allowed use, and one mistake or limitation. Source: /home/fhu_thjen/projects/learning-java/15-inner-nested-class/theory/01-nested-class-concepts.md	/home/fhu_thjen/projects/learning-java/15-inner-nested-class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner_nested_class java::code
inner-nested-class-aug-code-007	When reviewing `Use case of inner class`, what should you prove with a tiny Java example?	// Concept: Use case of inner class\n// Task: explain the Java rule, the common mistake, and one concrete use case.\nclass Use_case_of_inner_classReview {\n    // Fill this with a tiny example while reviewing.\n}	Tiny example or mental model:	A useful review example should show the rule, one allowed use, and one mistake or limitation. Source: /home/fhu_thjen/projects/learning-java/15-inner-nested-class/theory/01-nested-class-concepts.md	/home/fhu_thjen/projects/learning-java/15-inner-nested-class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner_nested_class java::code
