ID	Question	Code	Answer	Explanation	Source	Tags
design_principles-code-001	Which design pattern/principle is shown in this class constructor?	class ReportService {\n    private final ReportRepository repository;\n    public ReportService(ReportRepository repository) {\n        this.repository = repository;\n    }\n}	Dependency Injection (DI)	The service receives its repository dependency from the outside instead of constructing it internally using `new`.	42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles java::code
design_principles-code-002	Why does this class violate the Single Responsibility Principle (SRP)?	public class Invoice {\n    public void calculateTotal() {}\n    public void saveToDatabase() {}\n    public void printInvoice() {}\n}	It mixes business logic (calculation), persistence (database saving), and rendering (printing).	Under SRP, a class should have only one reason to change. Separate these tasks into distinct helper classes.	42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles java::code
design_principles-code-003	How can this switch-based calculator be refactored to obey the Open/Closed Principle (OCP)?	public double calculate(Operation op) {\n    if (op instanceof Add) return val1 + val2;\n    if (op instanceof Sub) return val1 - val2;\n}	Define an `Operation` interface with a `double execute()` method and let operations implement it.	This allows adding new operations by creating subclasses (open for extension) without changing the calculator class code (closed for modification).	42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles java::code
design_principles-code-004	Why does this code violate Liskov Substitution Principle (LSP)?	public class Bird {\n    public void fly() {}\n}\npublic class Ostrich extends Bird {\n    @Override\n    public void fly() { throw new UnsupportedOperationException(); }\n}	Substituting `Bird` with `Ostrich` breaks client execution assumptions by throwing an unexpected exception.	Subclasses must preserve parent class behaviors. If an ostrich cannot fly, it should not inherit from a class that exposes a `fly()` method.	42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles java::code
design_principles-code-005	Why does this interface violate the Interface Segregation Principle (ISP)?	public interface MultiFunctionDevice {\n    void print();\n    void scan();\n    void fax();\n}	It forces simple printer clients to implement scan and fax methods that they do not support.	Split fat interfaces into smaller, focused interfaces (e.g. `Printer`, `Scanner`, `Fax`) so clients only implement what they use.	42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles java::code
design_principles-code-006	Why does this class design violate the Dependency Inversion Principle (DIP)?	public class Car {\n    private final V8Engine engine = new V8Engine();\n}	The high-level `Car` class depends directly on the low-level concrete `V8Engine` class instead of an interface.	Depend on abstractions: declare an `Engine` interface and inject it into the `Car` constructor.	42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles java::code
design_principles-code-007	Refactor this code to follow the DRY principle.	public void saveUser(User u) {\n    if (u == null) throw new IllegalArgumentException("Null");\n    db.save(u);\n}\npublic void deleteUser(User u) {\n    if (u == null) throw new IllegalArgumentException("Null");\n    db.delete(u);\n}	Extract the duplicate null check logic into a private helper method or use `Objects.requireNonNull()`.	Consolidating repeated logic ensures modifications only need to be updated in a single authoritative place.	42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles java::code
design_principles-code-008	Why does this check violate the KISS principle?	public boolean hasAccess(User user) {\n    return Optional.ofNullable(user)\n                   .map(User::getRole)\n                   .filter(r -> r.equals("ADMIN"))\n                   .isPresent();\n}	It overcomplicates a simple null and equality check.	Keep it simple: use `return user != null && "ADMIN".equals(user.getRole());`. Simple code is faster and easier to debug.	42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles java::code
design_principles-code-009	What software development principle warns against building this database abstraction layer?	// Abstract layer to support switching from Postgres to Oracle or MongoDB in a simple blog app\npublic interface BlogDatabaseAdapter { ... }	YAGNI ("You Aren't Gonna Need It").	Unless a concrete requirement exists to support multiple databases, building adapters prematurely wastes time and complicates code.	42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles java::code
design_principles-code-010	Why is this composition design preferred over inheritance?	public class Manager {\n    private final Employee employee = new Employee();\n}	It avoids the tight compile-time coupling of inheritance and hides the internal class details of `Employee`.	Composition maintains encapsulation and allows changing manager behavior at runtime by injecting different employee types.	42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles java::code
