ID	Question	Code	Answer	Explanation	Source	Tags
date_time_api-code-001	What does this represent?	LocalDate date = LocalDate.of(2026, 6, 12);	A date without time or time zone	LocalDate stores year-month-day only.	no25_date_time_api/README.md | https://docs.oracle.com/javase/tutorial/datetime/	java::core::date-time-api java::code
date_time_api-code-002	What is the output of this code, or does it fail to compile/throw an exception?	java.util.Date date = new java.util.Date(126, 5, 12);\nSystem.out.println(date.getMonth());	5	In legacy java.util.Date, the month index is 0-based. The constructor takes 5 (June), and getMonth() returns 5. The constructor expects year as year - 1900, so 126 represents the year 2026.	no25_date_time_api/theory/01-date-concepts.md | https://docs.oracle.com/javase/tutorial/datetime/	java::core::date-time-api java::code
date_time_api-code-003	What is the output of this code, or does it fail to compile/throw an exception?	Calendar cal = Calendar.getInstance();\ncal.set(2026, 0, 15);\nSystem.out.println(cal.get(Calendar.MONTH));	0	Legacy Calendar uses 0-indexed months. 0 represents January, so calling get(Calendar.MONTH) returns 0.	no25_date_time_api/theory/01-date-concepts.md | https://docs.oracle.com/javase/tutorial/datetime/	java::core::date-time-api java::code
date_time_api-code-004	What is the output of this code, or does it fail to compile/throw an exception?	"LocalDate date = LocalDate.of(2026, 6, 12);\nSystem.out.println(date.getMonthValue() + "" "" + date.getMonth());"	6 JUNE	Modern LocalDate month values are 1-based, so getMonthValue() returns 6. getMonth() returns the Month enum value, which is JUNE.	no25_date_time_api/theory/01-date-concepts.md | https://docs.oracle.com/javase/tutorial/datetime/	java::core::date-time-api java::code
date_time_api-code-005	What is the output of this code, or does it fail to compile/throw an exception?	"ZonedDateTime zdt1 = ZonedDateTime.of(2026, 6, 12, 10, 0, 0, 0, ZoneId.of(""America/New_York""));\nZonedDateTime zdt2 = ZonedDateTime.of(2026, 6, 12, 7, 0, 0, 0, ZoneId.of(""America/Los_Angeles""));\nSystem.out.println(zdt1.equals(zdt2) + "" "" + zdt1.isEqual(zdt2));"	false true	equals() checks if class, date, time, and timezone/offset match exactly; since their timezones are different, it returns false. isEqual() compares only the underlying instant on the timeline; since 10:00 AM NY time is the exact same instant as 7:00 AM LA time (both are 14:00 UTC), it returns true.	no25_date_time_api/theory/01-date-concepts.md | https://docs.oracle.com/javase/tutorial/datetime/	java::core::date-time-api java::code
date_time_api-code-006	What is the output of this code, or does it fail to compile/throw an exception?	LocalDate date = LocalDate.of(2026, 6, 12);\nSystem.out.println(date.plus(Period.ofMonths(2)));	2026-08-12	LocalDate.plus() accepts a TemporalAmount. Since Period implements TemporalAmount, this adds 2 months, producing 2026-08-12.	no25_date_time_api/theory/01-date-concepts.md | https://docs.oracle.com/javase/tutorial/datetime/	java::core::date-time-api java::code
date_time_api-code-007	What is the output of this code, or does it fail to compile/throw an exception?	LocalTime time = LocalTime.of(12, 30);\nSystem.out.println(time.plus(Period.ofDays(1)));	throws UnsupportedTemporalTypeException	LocalTime represents time-of-day without a date. Attempting to add a date-based Period of days to a LocalTime throws UnsupportedTemporalTypeException at runtime because days/dates are not supported.	no25_date_time_api/theory/01-date-concepts.md | https://docs.oracle.com/javase/tutorial/datetime/	java::core::date-time-api java::code
date_time_api-code-008	What is the output of this code, or does it fail to compile/throw an exception?	Instant instant = Instant.ofEpochSecond(0);\nSystem.out.println(instant);	1970-01-01T00:00:00Z	An Instant representing 0 epoch seconds points exactly to the Unix Epoch, which is formatted as 1970-01-01T00:00:00Z in UTC.	no25_date_time_api/theory/01-date-concepts.md | https://docs.oracle.com/javase/tutorial/datetime/	java::core::date-time-api java::code
date_time_api-code-009	What is the output of this code, or does it fail to compile/throw an exception?	"LocalDate d1 = LocalDate.of(2026, 6, 12);\nLocalDate d2 = LocalDate.of(2027, 8, 15);\nPeriod p = Period.between(d1, d2);\nSystem.out.println(p.getYears() + ""-"" + p.getMonths() + ""-"" + p.getDays());"	1-2-3	Period.between() calculates the difference between dates as years, months, and days. The difference between 2026-06-12 and 2027-08-15 is exactly 1 year, 2 months, and 3 days.	no25_date_time_api/theory/01-date-concepts.md | https://docs.oracle.com/javase/tutorial/datetime/	java::core::date-time-api java::code
date_time_api-code-010	What is the output of this code, or does it fail to compile/throw an exception?	LocalDate d1 = LocalDate.of(2026, 6, 12);\nLocalDate d2 = LocalDate.of(2027, 8, 15);\nPeriod p = Period.between(d1, d2);\nSystem.out.println(p.toTotalMonths());	14	toTotalMonths() returns the total number of months in the period by multiplying years by 12 and adding the months. Here, 1 year and 2 months equals 14 months.	no25_date_time_api/theory/01-date-concepts.md | https://docs.oracle.com/javase/tutorial/datetime/	java::core::date-time-api java::code
