ID	Text	Extra	Code	Source	Tags
interview_questions-cloze-001	The {{c1::JDK}} contains compilation and profiling tools, whereas the {{c2::JRE}} only contains libraries and the JVM launcher.	The JDK includes `javac` and `jdb`. The JRE is a subset of the JDK designed to run pre-compiled Java programs without development utilities.		45-interview-questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
interview_questions-cloze-002	The {{c1::JVM}} is the execution engine that translates intermediate bytecode into CPU-specific native machine instructions.	Bytecode files are stored as `.class` files. The JVM executes them using an interpreter or compiles hot paths using JIT to machine code.		45-interview-questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
interview_questions-cloze-003	Java is strictly {{c1::pass-by-value}}, meaning it passes copies of references (pointers) rather than variables themselves.	Passing a copy of the reference pointer allows the method to mutate the object's fields, but reassigning the parameter does not affect the caller's variable.		45-interview-questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
interview_questions-cloze-004	In Java, the {{c1::==}} operator checks reference or memory address equality, while the {{c2::equals()}} method checks logical value equality.	By default, `Object.equals()` performs reference identity check. Many classes (like String or Integer) override it to compare field values.		45-interview-questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
interview_questions-cloze-005	Under the hood, a `HashSet` is backed by a private transient {{c1::HashMap}} instance.	All elements added to the `HashSet` are stored as keys in this backing map, ensuring uniqueness since map keys cannot contain duplicates.		45-interview-questions/theory/02-how-does-hashset-remove-duplicates-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
interview_questions-cloze-006	When you call `hashSet.add(element)`, it internally executes `map.put(element, {{c1::PRESENT}})`.	`PRESENT` is a static dummy Object used as a constant value for all elements in the backing map.		45-interview-questions/theory/02-how-does-hashset-remove-duplicates-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
interview_questions-cloze-007	`HashSet` duplicate checking relies on overriding both the {{c1::hashCode()}} and {{c2::equals()}} methods.	If they are not overridden, Java will use default Object identity hashing, causing the set to treat duplicate object instances as unique.		45-interview-questions/theory/02-how-does-hashset-remove-duplicates-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
interview_questions-cloze-008	The {{c1::Comparable}} interface defines natural ordering inside the entity class, whereas {{c2::Comparator}} defines custom sorting rules externally.	Comparable requires implementing `compareTo(T o)`, while Comparator requires implementing `compare(T o1, T o2)`.		45-interview-questions/theory/03-how-are-comparable-and-comparator-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
interview_questions-cloze-009	A method implementing `Comparable.compareTo` must return a negative, zero, or positive integer to represent {{c1::less than::relationship}}, {{c2::equal to}}, or {{c3::greater than}}.	Returning these sign values allows sorting algorithms (like Timsort) to arrange elements in order.		45-interview-questions/theory/03-how-are-comparable-and-comparator-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
interview_questions-cloze-010	Stream {{c1::map()}} transforms a stream of elements 1-to-1, while {{c2::flatMap()}} flattens nested streams/collections into a single outer stream.	Use `map` to change types or extract properties. Use `flatMap` when each input element maps to a collection or stream.		45-interview-questions/theory/04-how-are-map-and-flatmap-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
interview_questions-cloze-011	Due to {{c1::type erasure}}, generic type information is stripped out by the compiler, leaving raw bounds in bytecode.	The JVM only executes raw bytecode and is unaware of the generic arguments, relying on implicit casts inserted during compilation.		45-interview-questions/theory/04-how-are-map-and-flatmap-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
interview_questions-cloze-012	When generic compile-time type verification is bypassed, incorrect objects in collections can cause {{c1::Heap Pollution}} and trigger ClassCastException at runtime.	This occurs when raw types are mixed with generic collections, allowing mismatched objects to be added without compile errors.		45-interview-questions/theory/04-how-are-map-and-flatmap-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
