ID	Question	Code	Answer	Explanation	Source	Tags
interview_questions-code-001	What does this code print to the console?	String s1 = "hello";\nString s2 = "hello";\nString s3 = new String("hello");\nSystem.out.println((s1 == s2) + " " + (s1 == s3));	true false	`s1` and `s2` point to the same cached instance in the String Pool. `s3` is created as a new object on the heap, so its memory address is different.	no45_interview_questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::code
interview_questions-code-002	What does this program print?	String s = "hello";\ns.concat(" world");\nSystem.out.println(s);	hello	Java strings are immutable. The `concat` method returns a brand new String object, but the original reference `s` remains unmodified.	no45_interview_questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::code
interview_questions-code-003	What is the output of this code snippet?	int num = 5;\nchange(num);\nSystem.out.println(num);\n// static void change(int n) { n = 10; }	5	Java is strictly pass-by-value. Primitives are passed by copying their actual bit values, so modifications inside the method do not affect the original variable.	no45_interview_questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::code
interview_questions-code-004	What does this program print?	StringBuilder sb = new StringBuilder("A");\nmodify(sb);\nSystem.out.println(sb);\n// static void modify(StringBuilder s) { s.append("B"); }	AB	The method receives a copy of the reference pointer pointing to the same object on the heap. Calling `append` mutates the backing character array.	no45_interview_questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::code
interview_questions-code-005	What does this program print?	StringBuilder sb = new StringBuilder("A");\nreassign(sb);\nSystem.out.println(sb);\n// static void reassign(StringBuilder s) { s = new StringBuilder("B"); }	A	Reassigning the parameter `s` only updates the local copied reference variable inside the method. The caller's original reference `sb` remains unchanged.	no45_interview_questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::code
interview_questions-code-006	What is the output when this code is run?	Set<String> set = new HashSet<>();\nSystem.out.println(set.add("A"));\nSystem.out.println(set.add("A"));	true\nfalse	The first add succeeds and returns `true`. The second addition is a duplicate, which the backing `HashMap` detects and rejects, returning `false`.	no45_interview_questions/theory/02-how-does-hashset-remove-duplicates-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::code
interview_questions-code-007	What will be printed by this code?	List<Integer> list = List.of(3, 1, 2);\nList<Integer> copy = new ArrayList<>(list);\nCollections.sort(copy);\nSystem.out.println(copy);	[1, 2, 3]	`Integer` implements `Comparable<Integer>` defining ascending natural order. `Collections.sort()` uses this natural order to sort the list elements.	no45_interview_questions/theory/03-how-are-comparable-and-comparator-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::code
interview_questions-code-008	What does this program print?	List<String> list = new ArrayList<>(List.of("A", "BB", "C"));\nlist.sort((x, y) -> Integer.compare(y.length(), x.length()));\nSystem.out.println(list.get(0));	BB	A custom `Comparator` sorting elements in descending order of string length is passed to the sort method, making the longest string appear first.	no45_interview_questions/theory/03-how-are-comparable-and-comparator-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::code
interview_questions-code-009	What does this code print?	List<List<String>> nested = List.of(List.of("A", "B"), List.of("C"));\nlong count = nested.stream().map(List::size).count();\nSystem.out.println(count);	2	`map()` maintains 1-to-1 mapping. The outer stream has two nested list elements, which are mapped to two size integers, resulting in a final count of 2.	no45_interview_questions/theory/04-how-are-map-and-flatmap-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::code
interview_questions-code-010	What does this code print?	List<List<String>> nested = List.of(List.of("A", "B"), List.of("C"));\nlong count = nested.stream().flatMap(List::stream).count();\nSystem.out.println(count);	3	`flatMap()` flattens the nested lists into a single continuous stream of individual strings ("A", "B", "C"), so the final count is 3.	no45_interview_questions/theory/04-how-are-map-and-flatmap-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::code
interview_questions-code-011	Why does the call to `strings.get(1)` fail at runtime?	List<String> strings = new ArrayList<>();\nstrings.add("Safe");\nList raw = strings;\nraw.add(Integer.valueOf(100));\nString val = strings.get(1);	ClassCastException	Adding an integer using a raw list reference bypasses compile type checking, causing heap pollution. Reading the index triggers an implicit cast to String, throwing this exception.	no45_interview_questions/theory/04-how-are-map-and-flatmap-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::code
interview_questions-code-012	What is the output of this stream pipeline?	List<String> list = List.of("a", "b");\nlist.stream().map(s -> {\n    System.out.print(s);\n    return s.toUpperCase();\n});	(No output)	Stream intermediate operations are lazy. Because no terminal operation is called on the stream pipeline, the map operation never executes and nothing is printed.	no45_interview_questions/theory/03-how-are-comparable-and-comparator-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::code
