ID	Front	Back	Code	Source	Tags
control-basic-001	What is control flow?	The order in which a program executes statements.		no06_control_flow/terms/01-control-flow-terms.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/flow.html	java::core::control-flow java::term
control-basic-002	What is a branch?	A path selected by a condition or value, such as an `if` branch or `switch` case.		no06_control_flow/terms/01-control-flow-terms.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/flow.html	java::core::control-flow java::term
control-basic-003	What type must an `if` condition have in Java?	`boolean`		no06_control_flow/theory/01-if-else-switch.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/flow.html	java::core::control-flow
control-basic-004	Does Java allow `if (1)` like some languages?	No. Java conditions must be boolean expressions.		no06_control_flow/theory/01-if-else-switch.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/flow.html	java::core::control-flow
control-basic-005	In an `if/else` statement, how many branches run?	Exactly one branch runs.		no06_control_flow/theory/01-if-else-switch.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/flow.html	java::core::control-flow
control-basic-006	How does an `else if` chain choose a branch?	It checks conditions in order and runs the first matching branch.		no06_control_flow/theory/01-if-else-switch.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/flow.html	java::core::control-flow
control-basic-007	Why does order matter in an `else if` chain?	Because broader earlier conditions can prevent later specific conditions from ever being checked.		no06_control_flow/theory/01-if-else-switch.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/flow.html	java::core::control-flow
control-basic-008	What is the dangling `else` rule?	An `else` belongs to the nearest unmatched `if`.		no06_control_flow/theory/01-if-else-switch.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/flow.html	java::core::control-flow java::interview
control-basic-009	What is a guard clause?	An early check that handles a special or invalid case, often by returning early.		no06_control_flow/terms/01-control-flow-terms.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/flow.html	java::core::control-flow java::term
control-basic-010	When is `switch` a good fit?	When one expression is compared against a clear set of known values.		no06_control_flow/theory/01-if-else-switch.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/flow.html	java::core::control-flow
control-basic-011	What is fall-through in a traditional `switch`?	Execution continues from one case into the next because there is no exit such as `break`.		no06_control_flow/terms/01-control-flow-terms.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/flow.html	java::core::control-flow java::term
control-basic-012	What does `break` do in a traditional `switch`?	It exits the switch and prevents fall-through.		no06_control_flow/theory/01-if-else-switch.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/flow.html	java::core::control-flow
control-basic-013	What is a loop?	A control structure that repeats a block of code.		no06_control_flow/theory/02-loops.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/flow.html	java::core::control-flow
control-basic-014	What is an iteration?	One pass through a loop body.		no06_control_flow/terms/01-control-flow-terms.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/flow.html	java::core::control-flow java::term
control-basic-015	When does a `while` loop check its condition?	Before each iteration.		no06_control_flow/theory/02-loops.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/flow.html	java::core::control-flow
control-basic-016	Can a `while` loop run zero times?	Yes, if its condition is false before the first iteration.		no06_control_flow/theory/02-loops.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/flow.html	java::core::control-flow
control-basic-017	When does a `do-while` loop check its condition?	After each iteration.		no06_control_flow/theory/02-loops.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/flow.html	java::core::control-flow
control-basic-018	What is special about `do-while`?	Its body runs at least once.		no06_control_flow/theory/02-loops.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/flow.html	java::core::control-flow
control-basic-019	When is a classic `for` loop usually best?	When you know the counter or index pattern.		no06_control_flow/theory/02-loops.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/flow.html	java::core::control-flow
control-basic-020	When is enhanced `for` usually best?	When you need each element but do not need the index.		no06_control_flow/theory/02-loops.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/flow.html	java::core::control-flow
control-basic-021	What is an infinite loop?	A loop that does not naturally reach a stopping condition.		no06_control_flow/terms/01-control-flow-terms.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/flow.html	java::core::control-flow java::term
control-basic-022	What does `break` exit?	The nearest loop or switch, unless it is a labeled break.		no06_control_flow/theory/03-break-continue-return.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/flow.html	java::core::control-flow
control-basic-023	What does `continue` do?	It skips the rest of the current loop iteration and moves to the next iteration.		no06_control_flow/theory/03-break-continue-return.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/flow.html	java::core::control-flow
control-basic-024	What does `return` exit?	The current method.		no06_control_flow/theory/03-break-continue-return.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/flow.html	java::core::control-flow
control-basic-025	What must `return` provide in a non-void method?	A value compatible with the method return type.		no06_control_flow/theory/03-break-continue-return.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/flow.html	java::core::control-flow
control-basic-026	What is early exit?	Leaving a block, loop, or method before reaching its natural end.		no06_control_flow/terms/01-control-flow-terms.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/flow.html	java::core::control-flow java::term
control-basic-027	What is a switch expression?	A switch form that produces a value.		no06_control_flow/theory/04-switch-expression-labeled-control.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/flow.html	java::core::control-flow
control-basic-028	What is a switch statement?	A switch form that performs actions as statements.		no06_control_flow/theory/04-switch-expression-labeled-control.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/flow.html	java::core::control-flow
control-basic-029	Do arrow switch cases fall through?	No. Arrow cases do not fall through.		no06_control_flow/theory/04-switch-expression-labeled-control.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/flow.html	java::core::control-flow
control-basic-030	What does `yield` do in a switch expression?	It provides a value for the switch expression branch.		no06_control_flow/theory/04-switch-expression-labeled-control.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/flow.html	java::core::control-flow
control-basic-031	Is `yield` the same as `return`?	No. `yield` gives a value to the switch expression; `return` exits the method.		no06_control_flow/theory/04-switch-expression-labeled-control.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/flow.html	java::core::control-flow
control-basic-032	What does exhaustive mean for a switch expression?	The switch covers every possible input value or has a default.		no06_control_flow/terms/01-control-flow-terms.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/flow.html	java::core::control-flow java::term
control-basic-033	What does a labeled `break` do?	It exits the named labeled statement, commonly an outer loop.		no06_control_flow/theory/04-switch-expression-labeled-control.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/flow.html	java::core::control-flow
control-basic-034	What does a labeled `continue` do?	It continues the next iteration of the named labeled loop.		no06_control_flow/theory/04-switch-expression-labeled-control.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/flow.html	java::core::control-flow
control-basic-035	Why should labels be used carefully?	They can make control flow harder to follow if overused.		no06_control_flow/theory/04-switch-expression-labeled-control.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/flow.html	java::core::control-flow
control-basic-036	Why does the dangling-else ambiguity occur in Java?	Because nested `if` statements without block braces can match multiple `if` conditions for a single `else`, which Java resolves by binding the `else` to the nearest unmatched `if`.		no06_control_flow/theory/01-if-else-switch.md | https://docs.oracle.com/javase/specs/jls/se21/html/jls-14.html#jls-14.9.2	java::core::control-flow java::interview
control-basic-037	Why are switch expressions required to be exhaustive?	Because a switch expression produces a value, and the compiler must guarantee that a valid value is produced for all possible execution paths at runtime.		no06_control_flow/theory/04-switch-expression-labeled-control.md | https://docs.oracle.com/javase/specs/jls/se21/html/jls-15.html#jls-15.28	java::core::control-flow java::interview

