ID	Question	Code	Answer	Explanation	Source	Tags
enum-code-001	What is printed?	enum Level { LOW, HIGH }\nSystem.out.println(Level.HIGH.name());	`HIGH`	`name()` returns the exact enum constant name.	16-enum/README.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum java::code
enum-code-002	What should you explain when you see `What is an enum?` in code or an interview prompt?	// Concept: What is an enum?\n// Review task: identify the rule, API, or mistake connected to this concept.\n// Topic: Enum	An enum defines a fixed set of named constants as a type-safe class-like construct.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	16-enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum java::code
enum-code-003	What should you explain when you see `Declare enum` in code or an interview prompt?	// Concept: Declare enum\n// Review task: identify the rule, API, or mistake connected to this concept.\n// Topic: Enum	An enum defines a fixed set of named constants as a type-safe class-like construct.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	16-enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum java::code
enum-code-004	What should you explain when you see `Enum constructor` in code or an interview prompt?	// Concept: Enum constructor\n// Review task: identify the rule, API, or mistake connected to this concept.\n// Topic: Enum	An enum defines a fixed set of named constants as a type-safe class-like construct.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	16-enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum java::code
enum-code-005	What should you explain when you see `Enum field` in code or an interview prompt?	// Concept: Enum field\n// Review task: identify the rule, API, or mistake connected to this concept.\n// Topic: Enum	An enum defines a fixed set of named constants as a type-safe class-like construct.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	16-enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum java::code
enum-code-006	What should you explain when you see `Enum method` in code or an interview prompt?	// Concept: Enum method\n// Review task: identify the rule, API, or mistake connected to this concept.\n// Topic: Enum	An enum defines a fixed set of named constants as a type-safe class-like construct.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	16-enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum java::code
enum-code-007	What should you explain when you see `values()`in code or an interview prompt?	// Concept: values()\n// Review task: identify the rule, API, or mistake connected to this concept.\n// Topic: Enum	values() is a specific concept in Enum; learn its Java rule, valid use cases, and failure mode rather than only its name.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	16-enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum java::code
enum-code-008	What should you explain when you see `valueOf()`in code or an interview prompt?	// Concept: valueOf()\n// Review task: identify the rule, API, or mistake connected to this concept.\n// Topic: Enum	valueOf() is a specific concept in Enum; learn its Java rule, valid use cases, and failure mode rather than only its name.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	16-enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum java::code
enum-code-009	What should you explain when you see `ordinal()`in code or an interview prompt?	// Concept: ordinal()\n// Review task: identify the rule, API, or mistake connected to this concept.\n// Topic: Enum	ordinal() is a specific concept in Enum; learn its Java rule, valid use cases, and failure mode rather than only its name.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	16-enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum java::code
enum-code-010	What should you explain when you see `name()`in code or an interview prompt?	// Concept: name()\n// Review task: identify the rule, API, or mistake connected to this concept.\n// Topic: Enum	name() is a specific concept in Enum; learn its Java rule, valid use cases, and failure mode rather than only its name.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	16-enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum java::code
