ID	Front	Back	Extra	Code	Source	Tags
io-extra-001	Explain `File` deeply enough for review.	An abstract representation of file and directory pathnames on disk, which does not access file content directly.	File objects are immutable path keys. They do not hold open file descriptors. Fails if developers assume constructor creates a physical file; must call createNewFile() or use streams.		no26_io/theory/01-file-concepts.md	java::core::io
io-extra-002	Explain `Create file` deeply enough for review.	Creating a file on disk using `File.createNewFile()` or writing via output streams.	createNewFile() returns true if file was created, false if it existed. Throws IOException if directory path doesn't exist or permissions are missing.		no26_io/theory/01-file-concepts.md	java::core::io
io-extra-003	Explain `Delete file` deeply enough for review.	Deleting a file or directory using `File.delete()`.	Returns boolean indicating success. Fails if the directory is not empty, returning false without throwing an exception. To force delete a non-empty directory, you must recursively delete all of its child files and folders first.		no26_io/theory/01-file-concepts.md	java::core::io
io-extra-004	Explain `Check existence` deeply enough for review.	Checking disk presence using `exists()`, `isFile()`, and `isDirectory()`.	exists() only checks path presence. isFile() and isDirectory() resolve the concrete node type on disk. Always check these properties before opening stream readers to prevent hitting FileNotFoundException at runtime.		no26_io/theory/01-file-concepts.md	java::core::io
io-extra-005	Explain `Read file metadata` deeply enough for review.	Accessing attributes like name, path, length, and read/write permissions.	Methods like length() (size in bytes), getName() (returns simple name), getPath() (returns creation path), and permissions like canRead()/canWrite() operate solely on filesystem metadata. None of these methods open or read the actual file contents directly.		no26_io/theory/01-file-concepts.md	java::core::io
io-extra-006	Explain `Create directory` deeply enough for review.	Creating folders using `mkdir()` or `mkdirs()`.	mkdir() fails if any parent directories in the path are missing. mkdirs() is much safer because it recursively creates all missing parent directories automatically. Both methods return a boolean indicating success.		no26_io/theory/01-file-concepts.md	java::core::io
io-extra-007	Explain `InputStream` deeply enough for review.	The abstract superclass for all byte input streams, reading raw 8-bit binary data.	Its read() method blocks execution until input byte data is available, returning -1 at the end of the stream. It is the base abstract class for all byte-based inputs and must be closed to avoid native resource leaks.		no26_io/theory/01-file-concepts.md	java::core::io
io-extra-008	Explain `OutputStream` deeply enough for review.	The abstract superclass for all byte output streams, writing raw 8-bit binary data.	Subclasses must implement the write(int) method. It requires explicit flushing and closing to guarantee all buffered bytes are fully committed to the destination disk. It is the base abstract class for all byte-based output streams.		no26_io/theory/01-file-concepts.md	java::core::io
io-extra-009	Explain `FileInputStream` deeply enough for review.	A concrete InputStream subclass that reads bytes directly from a file.	Throws FileNotFoundException if the specified file does not exist, lacks permissions, or represents a directory instead of a regular file. Always use it inside a try-with-resources statement to release the file handle automatically.		no26_io/theory/01-file-concepts.md	java::core::io
io-extra-010	Explain `FileOutputStream` deeply enough for review.	A concrete OutputStream subclass that writes bytes directly to a file.	"By default, overwrites existing files. Can append instead by passing true to the constructor: new FileOutputStream(""file.txt"", true). Creating a FileOutputStream will immediately truncate an existing file to 0 bytes if the append flag is false."		no26_io/theory/01-file-concepts.md	java::core::io
io-extra-011	Explain `BufferedInputStream` deeply enough for review.	An InputStream decorator that wraps a stream and buffers bytes in memory.	Reads large chunks (default 8KB) in single disk reads, reducing CPU context switches and OS system calls significantly. Wraps any existing InputStream using the Decorator pattern to provide seamless in-memory caching.		no26_io/theory/02-bufferedinputstream-concepts.md	java::core::io
io-extra-012	Explain `BufferedOutputStream` deeply enough for review.	An OutputStream decorator that wraps a stream and buffers writes in memory.	Stores written bytes in a buffer. Data is only written to the target disk stream when the internal buffer is full, or bos.flush()/bos.close() is called. Failure to flush can lead to partial or missing file outputs.		no26_io/theory/02-bufferedinputstream-concepts.md	java::core::io
io-extra-013	Explain `Reader` deeply enough for review.	The abstract superclass for all character input streams, reading 16-bit char data.	Translates bytes to characters using default or custom character encoding (e.g. UTF-8). Blocks if input is not available. It is the base abstract class for all character input streams and should be closed after use.		no26_io/theory/02-bufferedinputstream-concepts.md	java::core::io
io-extra-014	Explain `Writer` deeply enough for review.	The abstract superclass for all character output streams, writing 16-bit char data.	Translates characters to bytes using character encoding. Must be flushed and closed to commit all text to disk. It is the base abstract class for all character output streams and should be closed after use.		no26_io/theory/02-bufferedinputstream-concepts.md	java::core::io
io-extra-015	Explain `FileReader` deeply enough for review.	A concrete Reader class that reads characters from a file on disk.	Gotcha: Prior to Java 11, it used default system encoding, causing platform bugs. Java 11 added charset constructor parameters to allow defining the encoding explicitly. Always specify the encoding when reading files.		no26_io/theory/02-bufferedinputstream-concepts.md	java::core::io
io-extra-016	Explain `FileWriter` deeply enough for review.	A concrete Writer class that writes characters to a file on disk.	Gotcha: Overwrites by default. Always specify charsets explicitly when writing files to guarantee cross-platform compatibility. Can append to file if instantiated with the append boolean flag set to true.		no26_io/theory/02-bufferedinputstream-concepts.md	java::core::io
io-extra-017	Explain `BufferedReader` deeply enough for review.	A character input stream decorator that buffers characters and supports line-by-line reading.	Provides readLine() which returns a line of text (excluding line termination) or null when EOF is reached. It is highly performant because it buffers the character input and reads data in large blocks.		no26_io/theory/02-bufferedinputstream-concepts.md	java::core::io
io-extra-018	Explain `BufferedWriter` deeply enough for review.	A character output stream decorator that buffers characters and supports writing text lines.	Provides newLine() to write a platform-dependent line break, which is safer than hardcoding \n. Always call flush() or close() to guarantee that the buffered character data is committed to the underlying Writer.		no26_io/theory/02-bufferedinputstream-concepts.md	java::core::io
io-extra-019	Explain `ObjectInputStream` deeply enough for review.	A byte stream class that deserializes serialized byte streams back into objects.	Provides readObject(). Throws ClassNotFoundException if the class definition of the serialized object is missing in the JVM. Used to reconstruct object graphs from byte streams via deserialization.		no26_io/theory/02-bufferedinputstream-concepts.md	java::core::io
io-extra-020	Explain `ObjectOutputStream` deeply enough for review.	A byte stream class that serializes Java objects into byte streams.	Provides writeObject(Object). Target object's class must implement Serializable, otherwise throws NotSerializableException. Used to save active object state graphs to byte streams via serialization.		no26_io/theory/02-bufferedinputstream-concepts.md	java::core::io
io-extra-021	Explain `Serialization` deeply enough for review.	Converting object graphs into binary representations for storage or network transport.	Saves instance fields. Excludes static fields (class state) and fields marked transient. Graph nodes must all be serializable. Non-serializable components throw NotSerializableException at runtime.		no26_io/theory/03-serialization-concepts.md	java::core::io
io-extra-022	Explain `Deserialization` deeply enough for review.	Reconstructing objects from serialized byte streams.	Does not run subclass constructors. Runs the no-arg constructor of the first non-serializable parent class. This allows the non-serializable parent class to initialize its state fields properly.		no26_io/theory/03-serialization-concepts.md	java::core::io
io-extra-023	Explain `Serializable` deeply enough for review.	A marker interface signaling that a class can be serialized.	Has no methods. Implementing it is a declaration of intent; if a class holds non-serializable fields, serialization fails at runtime. It is a marker interface that directs the JVM's default serialization engine.		no26_io/theory/03-serialization-concepts.md	java::core::io
io-extra-024	Explain `serialVersionUID` deeply enough for review.	A unique 64-bit ID verifying compatibility between serialized data and the class version loaded in the JVM.	Mismatch throws InvalidClassException. Compilers generate UIDs if missing, which can change due to small class changes. Explicit declaration is highly recommended to maintain class version compatibility.		no26_io/theory/03-serialization-concepts.md	java::core::io
io-extra-025	What confusion should you avoid with `serialVersionUID`?	Do not rely on compiler-generated serialVersionUID values.	Changes in compiler versions or minor class modifications will alter the generated UID, causing InvalidClassException during deserialization of older files. Always declare it explicitly.		no26_io/theory/03-serialization-concepts.md	java::core::io
io-extra-026	Explain `transient` deeply enough for review.	A keyword marking fields that should be skipped during serialization.	Used for security (passwords) or optimization (cached values). Restored to default values (null, 0, false) during deserialization. Does not save field state when writing to an ObjectOutputStream.		no26_io/theory/03-serialization-concepts.md	java::core::io
io-extra-027	What confusion should you avoid with `transient`?	Do not assume transient fields initialized on declaration retain their values after deserialization.	Java deserialization does not execute field initializers or subclass constructors. Deserialized transient fields always start as null, 0, or false.		no26_io/theory/03-serialization-concepts.md	java::core::io
io-extra-028	Explain `Scanner` deeply enough for review.	A text parsing utility class that parses primitives and strings using regular expressions.	Can parse files, strings, or input streams. Closing a Scanner wrapped around System.in closes System.in itself. This is a common bug, as it makes it impossible to read input from System.in again in the JVM lifetime.		no26_io/theory/03-serialization-concepts.md	java::core::io
io-extra-029	Explain `System.in` deeply enough for review.	The standard input byte stream, wrapping the default input channel (usually keyboard).	It is an instance of InputStream. Closing it makes it impossible to read input again in the JVM lifetime. Representing the standard input channel, it should generally not be closed manually.		no26_io/theory/03-serialization-concepts.md	java::core::io
io-extra-030	Explain `System.out` deeply enough for review.	The standard output byte stream, wrapping the console output.	It is a PrintStream instance. Buffered by default, but flushes on newline characters or explicit print calls. It maps to the standard output of the application and does not throw IOException.		no26_io/theory/03-serialization-concepts.md	java::core::io
io-extra-031	Explain `System.err` deeply enough for review.	The standard error byte stream, wrapping console error output.	It is a PrintStream instance. Typically unbuffered so error outputs are immediately visible on the console, preventing them from being delayed by print stream buffering.		no26_io/theory/03-serialization-concepts.md	java::core::io
