ID	Text	Extra	Code	Source	Tags
modifiers-cloze-001	In Modifiers in Java, {{c1::Access modifier:}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.		10-modifiers/theory/01-access-modifier-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
modifiers-cloze-002	A strong review of {{c1::Access modifier:}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `Access modifier:` change, allow, reject, or clarify?		10-modifiers/theory/01-access-modifier-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
modifiers-cloze-003	In Modifiers in Java, {{c1::public}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.		10-modifiers/theory/01-access-modifier-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
modifiers-cloze-004	A strong review of {{c1::public}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `public` change, allow, reject, or clarify?		10-modifiers/theory/01-access-modifier-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
modifiers-cloze-005	In Modifiers in Java, {{c1::protected}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.		10-modifiers/theory/01-access-modifier-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
modifiers-cloze-006	A strong review of {{c1::protected}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `protected` change, allow, reject, or clarify?		10-modifiers/theory/01-access-modifier-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
modifiers-cloze-007	In Modifiers in Java, {{c1::default}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.		10-modifiers/theory/01-access-modifier-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
modifiers-cloze-008	A strong review of {{c1::default}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `default` change, allow, reject, or clarify?		10-modifiers/theory/01-access-modifier-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
modifiers-cloze-009	In Modifiers in Java, {{c1::private}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.		10-modifiers/theory/01-access-modifier-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
modifiers-cloze-010	A strong review of {{c1::private}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `private` change, allow, reject, or clarify?		10-modifiers/theory/01-access-modifier-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
