ID	Front	Back	Code	Source	Tags
syntax-basic-001	What is the entry point of a standard Java console program?	The `public static void main(String[] args)` method.		02-basic-syntax/README.md | https://docs.oracle.com/javase/tutorial/getStarted/application/	java::core::syntax
syntax-basic-002	What does `public` mean in the `main` method?	It means the JVM can access the method from outside the class.		02-basic-syntax/README.md | https://docs.oracle.com/javase/tutorial/getStarted/application/	java::core::syntax
syntax-basic-003	What does `static` mean in the `main` method?	It means the method belongs to the class and can be called without creating an object.		02-basic-syntax/README.md | https://docs.oracle.com/javase/tutorial/getStarted/application/	java::core::syntax
syntax-basic-004	What does `void` mean in a method declaration?	It means the method does not return a value.		02-basic-syntax/README.md | https://docs.oracle.com/javase/tutorial/getStarted/application/	java::core::syntax
syntax-basic-005	What is a Java statement?	A statement is an instruction executed by the program, usually ending with a semicolon.		02-basic-syntax/README.md | https://docs.oracle.com/javase/tutorial/getStarted/application/	java::core::syntax
syntax-basic-006	What is a Java block?	A block is a group of code enclosed in `{}`.		02-basic-syntax/README.md | https://docs.oracle.com/javase/tutorial/getStarted/application/	java::core::syntax
syntax-basic-007	Is Java case-sensitive?	Yes. Java treats uppercase and lowercase letters as different.		02-basic-syntax/README.md | https://docs.oracle.com/javase/tutorial/getStarted/application/	java::core::syntax
syntax-basic-008	What is a package in Java?	A package groups related classes and helps avoid name conflicts.		02-basic-syntax/README.md | https://docs.oracle.com/javase/tutorial/getStarted/application/	java::core::syntax
syntax-basic-009	What does `import` do in Java?	`import` lets you use a class from another package by its simple name.		02-basic-syntax/README.md | https://docs.oracle.com/javase/tutorial/getStarted/application/	java::core::syntax
syntax-basic-010	What is a Java keyword?	A keyword is a reserved word that cannot be used as an identifier.		02-basic-syntax/README.md | https://docs.oracle.com/javase/tutorial/getStarted/application/	java::core::syntax
syntax-basic-011	What is variable scope?	Scope is the region of code where a variable or name can be accessed.		02-basic-syntax/README.md | https://docs.oracle.com/javase/tutorial/getStarted/application/	java::core::syntax
syntax-basic-012	What naming convention is used for Java class names?	Java class names usually use PascalCase, such as `StudentService`.		02-basic-syntax/README.md | https://docs.oracle.com/javase/tutorial/getStarted/application/	java::core::syntax
syntax-basic-013	What naming convention is used for Java method names?	Java method names usually use camelCase, such as `calculateTotal`.		02-basic-syntax/README.md | https://docs.oracle.com/javase/tutorial/getStarted/application/	java::core::syntax
