ID	Text	Extra	Code	Source	Tags
modern-java-cloze-001	`var` was introduced in Java {{c1::10}} via JEP {{c2::286}}. It performs {{c3::compile-time type inference}} from the {{c4::right-hand side initializer}} and generates bytecode identical to an explicitly typed declaration.	var is NOT dynamic typing — the type is fixed at compile time and cannot change.		no40_modern_java_concepts/theory/01-var-concepts.md | https://openjdk.org/jeps/286	java::core::modern-java
modern-java-cloze-002	`var` cannot be used for {{c1::fields}}, {{c2::method parameters}}, {{c3::return types}}, or {{c4::uninitialized declarations}}. These restrictions preserve type visibility at API boundaries.		// var x;            // COMPILE ERROR\n// var y = null;      // COMPILE ERROR\n// class Foo { var z = 5; } // COMPILE ERROR (field)	no40_modern_java_concepts/theory/01-var-concepts.md | https://openjdk.org/jeps/286	java::core::modern-java java::interview
modern-java-cloze-003	Java Records automatically generate: {{c1::private final fields}}, a {{c2::canonical constructor}}, {{c3::component accessor methods}} (no `get` prefix), {{c4::`equals()`}}, {{c5::`hashCode()`}}, and {{c6::`toString()`}}.	Records are implicitly `final` and implicitly extend `java.lang.Record`.	record Point(int x, int y) {}  // generates x(), y(), equals, hashCode, toString	no40_modern_java_concepts/theory/01-var-concepts.md | https://openjdk.org/jeps/395	java::core::modern-java java::interview
modern-java-cloze-004	In a Record compact constructor, the parameter list is {{c1::omitted (implied)}} and the field assignments are {{c2::auto-inserted by the compiler after the constructor body}}. You can {{c3::modify parameters}} before they are assigned to fields.		public record User(String name) {\n    public User { // no param list\n        name = name.strip(); // modifies param before auto-assignment\n    }\n}	no40_modern_java_concepts/theory/01-var-concepts.md | https://openjdk.org/jeps/395	java::core::modern-java java::interview
modern-java-cloze-005	Sealed classes restrict which classes can extend them using the {{c1::`permits`}} keyword. Permitted subclasses must declare one of: {{c2::`final`}}, {{c3::`sealed`}}, or {{c4::`non-sealed`}}.	Adding `non-sealed` reopens the hierarchy; `sealed` creates a multi-level sealed hierarchy.	sealed class Shape permits Circle, Square {}	no40_modern_java_concepts/theory/01-var-concepts.md | https://openjdk.org/jeps/409	java::core::modern-java java::interview
modern-java-cloze-006	When a sealed class is used in a switch expression and all permitted subtypes are covered, a {{c1::`default` case is NOT required}}. The compiler {{c2::verifies exhaustiveness}} at compile time. Adding a new permitted subtype without updating the switch causes a {{c3::compile error}}.	This is the key safety advantage of sealed types over open class hierarchies.	switch (shape) {\n    case Circle c -> ...\n    case Square s -> ... // exhaustive — no default needed	no40_modern_java_concepts/theory/01-var-concepts.md | https://openjdk.org/jeps/409	java::core::modern-java java::interview
modern-java-cloze-007	In Pattern Matching for Switch, a {{c1::more specific (guarded) pattern}} must appear {{c2::before}} a {{c3::more general (unguarded) pattern}} of the same type. A pattern that can never be reached is {{c4::dominated}} and causes a {{c5::compile error}}.		switch (obj) {\n    case String s when s.length() > 5 -> "long"; // specific first\n    case String s -> "short"; // general after\n}	no40_modern_java_concepts/theory/01-var-concepts.md | https://openjdk.org/jeps/441	java::core::modern-java java::interview
modern-java-cloze-008	Virtual threads were introduced in Java {{c1::21}} via JEP {{c2::444}}. They are {{c3::JVM-managed}} lightweight threads running on a small pool of {{c4::OS carrier threads}}. Blocking a virtual thread on I/O {{c5::unmounts it}} from the carrier thread.	Platform threads each require one OS thread (~1MB stack); virtual threads share carriers via mount/unmount.		no40_modern_java_concepts/theory/01-var-concepts.md | https://openjdk.org/jeps/444	java::core::modern-java
modern-java-cloze-009	Virtual threads are {{c1::pinned}} to their carrier thread when blocking inside {{c2::a `synchronized` block}}. The fix is to use {{c3::ReentrantLock}} instead, which allows the JVM to {{c4::unmount}} the virtual thread from the carrier.	Java 24+ plans to fix synchronized pinning, but ReentrantLock is the current mitigation.		no40_modern_java_concepts/theory/01-var-concepts.md | https://openjdk.org/jeps/444	java::core::modern-java java::interview
modern-java-cloze-010	`SequencedCollection` (Java 21) adds `{{c1::getFirst()}}`, `{{c2::getLast()}}`, `{{c3::addFirst()}}`, `{{c4::addLast()}}`, and `{{c5::reversed()}}` to all ordered collections. `reversed()` returns an {{c6::O(1) view}}, not a copy.		SequencedCollection<String> list = new ArrayList<>(List.of("a","b","c"));\nlist.getFirst(); // "a"\nlist.reversed().getFirst(); // "c" — O(1) view	no40_modern_java_concepts/theory/02-sequenced-collections-concepts.md | https://openjdk.org/jeps/0	java::core::modern-java
modern-java-cloze-011	Switch expressions introduced in Java {{c1::14}} use the `{{c2::->}}` operator which prevents {{c3::fall-through}}. To return a value from a multi-line case block, use the `{{c4::yield}}` keyword.		int score = switch (grade) {\n    case 'A' -> 100;\n    default -> { System.out.println("?"); yield 0; }\n};	no40_modern_java_concepts/theory/01-var-concepts.md | https://openjdk.org/jeps/441	java::core::modern-java
modern-java-cloze-012	Text blocks (`"""..."""`) were introduced in Java {{c1::15}}. The opening `"""` must be followed by a {{c2::newline}}. Leading whitespace is {{c3::stripped relative to the closing `"""`}} position.	The closing `"""` position determines the common indent level stripped from all lines.	String html = """\n    <html>\n    </html>\n    """; // 4-space indent stripped	no40_modern_java_concepts/theory/01-var-concepts.md | https://openjdk.org/jeps/441	java::core::modern-java
