ID	Front	Back	Extra	Code	Source	Tags
multithreading-extra-001	Explain `Process vs Thread` deeply enough for review.	A process is an isolated execution environment with its own dedicated memory space (allocated by the OS). A thread is a lightweight execution path that runs inside a process and shares its memory (heap and method area) with other threads of that process.	Why it matters: Threads share memory to communicate extremely fast without OS-level overhead. However, sharing mutable state makes them vulnerable to race conditions, unlike processes which are strictly isolated. Gotcha: Assuming that thread static variables are private to each thread (they are shared) or that separate processes can access each other's memory directly without IPC.		28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-028	What confusion should you avoid with `Process vs Thread`?	Do not confuse process-level memory isolation with thread-level stack safety. Threads share heap data, but their execution stacks are strictly private.	Concept: Process vs Thread. Detail: Process has separate virtual memory; Thread shares heap/method area but has its own call stack and program counter. Threads are lightweight and communicate directly via shared memory, but require careful synchronization.		28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-002	Explain `Create thread using:` deeply enough for review.	Threads can be created by subclassing `Thread`, implementing `Runnable`, or implementing `Callable` (which returns a result and can throw checked exceptions).	Why it matters: Decouples task logic from thread execution. Implementing interfaces preserves the single class inheritance slot. Gotcha: Calling `.run()` instead of `.start()`, which runs the code synchronously in the calling thread instead of spawning a new OS thread.		28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-029	What confusion should you avoid with `Create thread using:`?	Do not assume implementing `Runnable` or `Callable` allocates a thread on its own. You must pass them to a `Thread` or `ExecutorService` to execute.	Concept: Create thread using:. Detail: Subclassing Thread binds task to runner; implementing Runnable allows loose coupling and lambda expressions. Callable extends this by returning a Future result and allowing checked exceptions.		28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-003	Explain `extends Thread` deeply enough for review.	Inheriting from `java.lang.Thread` and overriding `run()`. The thread is executed by calling its `start()` method.	Why it matters: It is the simplest way to define thread tasks for small applications, though it limits class design options. Gotcha: Subclassing `Thread` when the class already needs to inherit from a base service class (causing a compiler error).		28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-030	What confusion should you avoid with `extends Thread`?	Do not call `super.run()` inside your overridden `run()` method unless you explicitly want the default empty behavior of the `Runnable` task inside `Thread`.	"Concept: extends Thread. Detail: Binds task logic directly to thread execution structure. Example: `class MyThread extends Thread { @Override public void run() { System.out.println(\""MyThread\""); } }`. This limits class design as Java only allows single inheritance."		28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-004	Explain `implements Runnable` deeply enough for review.	Implementing the `java.lang.Runnable` functional interface containing a single `run()` method returning `void` and throwing no checked exceptions.	Why it matters: Decouples task logic from the execution environment. The same `Runnable` instance can be passed to multiple thread runners or thread pools. Gotcha: Trying to throw checked exceptions directly from the `run()` method without catching them.		28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-031	What confusion should you avoid with `implements Runnable`?	Do not confuse `Runnable` (the task) with `Thread` (the worker). `Runnable` does not spawn a thread by itself.	"Concept: implements Runnable. Detail: Allows lambda expressions: `Thread t = new Thread(() -> System.out.println(\""Run\""));`. This is highly flexible, clean, and separates task definition from execution details."		28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-005	Explain `implements Callable` deeply enough for review.	Implementing the `java.util.concurrent.Callable<V>` functional interface, which contains a `call()` method that returns a value of type `V` and can throw checked exceptions.	Why it matters: Enables threads to return results or propagate checked exceptions back to the parent thread. Gotcha: Calling `Future.get()` immediately after submit, which blocks the calling thread and defeats the purpose of asynchronous execution.		28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-032	What confusion should you avoid with `implements Callable`?	Do not try to pass a `Callable` directly to `new Thread()`. It must be wrapped in a `FutureTask` first.	Concept: implements Callable. Detail: Run via `ExecutorService.submit(Callable)` which returns a `Future` containing the computation result. For example, `Future<Integer> f = executor.submit(() -> 42); Integer result = f.get();`.		28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-006	Explain `ExecutorService` deeply enough for review.	A thread pool manager from `java.util.concurrent` that decouples task submission from execution details.	Why it matters: Eliminates the overhead of creating/destroying individual threads manually and prevents system resource exhaustion under load. Gotcha: Forgetting to call `shutdown()` or `shutdownNow()` on the executor, causing the JVM to remain running indefinitely.		28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-033	What confusion should you avoid with `ExecutorService`?	Do not assume `shutdown()` kills running tasks immediately. It only stops accepting new tasks. Use `shutdownNow()` to interrupt running workers.	Concept: ExecutorService. Detail: Uses task queues and worker pools. Submits tasks via `submit()` or `execute()`. Lifecycle must be managed by calling `shutdown()` to prevent background threads from keeping the JVM alive indefinitely.		28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-007	Explain `Lifecycle of Thread:` deeply enough for review.	The lifecycle states defined by the JVM: NEW, RUNNABLE, BLOCKED, WAITING, TIMED_WAITING, and TERMINATED.	Why it matters: Understanding these states is crucial for debugging performance issues, locks, deadlocks, and thread leaks. Gotcha: Thinking a thread can be restarted or moved back to the `NEW` state once it reaches the `TERMINATED` state.		28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-034	What confusion should you avoid with `Lifecycle of Thread:`?	Do not confuse `RUNNABLE` state with actually executing on a CPU. A thread in `RUNNABLE` might be waiting for the scheduler.	Concept: Lifecycle of Thread:. Detail: States transition based on lock acquisition, thread timing, and method calls like `wait()`, `notify()`, and `join()`. Check via `getState()`. A thread can never return to the NEW or RUNNABLE state once TERMINATED.		28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-008	Explain `New` deeply enough for review.	The state of a thread immediately after instantiation, before the `start()` method is called.	Why it matters: Indicates a Java heap object exists but no OS-level thread resources have been allocated yet. Gotcha: Attempting to modify thread properties like `daemon` or `priority` after the thread has already started.		28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-035	What confusion should you avoid with `New`?	Do not think that allocating a `Thread` object immediately spawns an execution path in the operating system.	Concept: New. Detail: Represented by `Thread.State.NEW`. Spawns a thread and transitions to `RUNNABLE` upon calling `.start()`. At this point, the thread exists as a Java object but has no OS thread allocated yet.		28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-009	Explain `Runnable` deeply enough for review.	The thread state representing a thread that is either currently executing in the JVM or ready to execute, waiting for the OS thread scheduler.	Why it matters: Indicates the thread is active and ready to perform work. High counts without progress point to CPU starvation. Gotcha: Assuming `Thread.State.RUNNABLE` guarantees the thread is actively utilizing CPU cores at that exact millisecond.		28-multithreading/theory/02-runnable-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-036	What confusion should you avoid with `Runnable`?	Do not confuse the state `Thread.State.RUNNABLE` with the interface `java.lang.Runnable`.	Concept: Runnable. Detail: Java combines the OS 'Ready' and 'Running' states into one state: `RUNNABLE`. This means the thread is either currently executing on a CPU core or ready in the scheduler's queue waiting for its time slice.		28-multithreading/theory/02-runnable-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-010	Explain `Running` deeply enough for review.	The conceptual sub-state of `RUNNABLE` where a thread's instructions are actively executing on a CPU core.	Why it matters: Indicates the thread is actively making progress on execution. Gotcha: Expecting `thread.getState()` to return a state named `RUNNING` (there is no such state in `Thread.State`).		28-multithreading/theory/02-runnable-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-037	What confusion should you avoid with `Running`?	Do not search for `RUNNING` in thread state dumps; it is grouped under `RUNNABLE`.	Concept: Running. Detail: The JVM maps both ready-to-run and running threads to `Thread.State.RUNNABLE` for OS portability. It does not provide a separate RUNNING state in the Thread.State enum to keep the state machine simple.		28-multithreading/theory/02-runnable-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-011	Explain `Blocked` deeply enough for review.	The state where a thread is waiting to acquire an object monitor lock to enter or re-enter a `synchronized` block/method.	Why it matters: Crucial for identifying lock contention and synchronization bottlenecks. Gotcha: Assuming a thread waiting on a `ReentrantLock` or `java.util.concurrent` lock is in the `BLOCKED` state (it is actually in `WAITING`).		28-multithreading/theory/02-runnable-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-038	What confusion should you avoid with `Blocked`?	Do not confuse `BLOCKED` with `WAITING`. `BLOCKED` is exclusively for waiting on monitor entry.	Concept: Blocked. Detail: Only intrinsic monitor locks (`synchronized`) trigger `Thread.State.BLOCKED`. The thread remains in this state until it acquires the monitor lock. Waiting on ReentrantLock puts it in WAITING state instead.		28-multithreading/theory/02-runnable-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-012	Explain `Waiting` deeply enough for review.	The state where a thread is waiting indefinitely for another thread to perform a specific action (e.g. `Object.wait()`, `Thread.join()`).	Why it matters: Enables coordination between threads, letting threads yield CPU until notified. Gotcha: Calling `wait()` on an object without first acquiring its monitor lock via `synchronized` (throws `IllegalMonitorStateException`).		28-multithreading/theory/02-runnable-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-039	What confusion should you avoid with `Waiting`?	Do not assume `Thread.sleep()` puts a thread in `WAITING` state. It puts it in `TIMED_WAITING`.	Concept: Waiting. Detail: Triggered by `wait()`, `join()`, or `LockSupport.park()`. Ends when notified or unparked. A waiting thread does not consume CPU cycles while waiting for another thread to perform a notification.		28-multithreading/theory/02-runnable-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-013	Explain `Timed Waiting` deeply enough for review.	The state of a thread waiting for a specified period (e.g. `Thread.sleep(long)`, `Object.wait(long)`, `Thread.join(long)`).	Why it matters: Allows threads to execute timed delays, backoff strategies, or timeout-guarded lock acquisitions. Gotcha: Thinking a sleeping thread releases its acquired monitor locks (it keeps them!).		28-multithreading/theory/02-runnable-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-040	What confusion should you avoid with `Timed Waiting`?	Do not assume timed wait blocks cannot be woke up; they are highly sensitive to interrupts.	Concept: Timed Waiting. Detail: Ends when time expires, or when interrupted/notified. Immediately throws `InterruptedException` if interrupted. Triggered by `Thread.sleep(long)`, `Object.wait(long)`, or `Thread.join(long)`.		28-multithreading/theory/02-runnable-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-014	Explain `Terminated` deeply enough for review.	The state of a thread that has completed its execution, either by returning normally from `run()` or by throwing an unhandled exception.	Why it matters: Indicates the thread is dead and its OS-level resources are freed. Gotcha: Attempting to restart a terminated thread by calling `start()` again (throws `IllegalThreadStateException`).		28-multithreading/theory/02-runnable-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-041	What confusion should you avoid with `Terminated`?	Do not assume a crashed thread takes down the JVM automatically. Uncaught exceptions only terminate the throwing thread.	Concept: Terminated. Detail: Represented by `Thread.State.TERMINATED`. Triggered when the thread's run method finishes or throws an uncaught exception. Once a thread is terminated, it cannot be restarted.		28-multithreading/theory/02-runnable-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-015	Explain `start() vs run()` deeply enough for review.	`start()` allocates OS resources and schedules a new thread to run `run()` asynchronously. Calling `run()` directly runs it synchronously in the caller's thread.	Why it matters: Ensures true parallel execution. Using `run()` directly bypasses all concurrency. Gotcha: Calling `run()` inside your concurrency code and wondering why the application blocks or doesn't run concurrently.		28-multithreading/theory/02-runnable-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-042	What confusion should you avoid with `start() vs run()`?	Do not assume calling `start()` instantly runs the thread's instructions. It only marks it as eligible to run.	Concept: start() vs run(). Detail: `start()` is a native JVM method that allocates operating system resources, spawns a new thread, and runs `run()` asynchronously. Calling `run()` directly runs it synchronously on the caller's thread.		28-multithreading/theory/02-runnable-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-016	Explain `sleep` deeply enough for review.	A static method `Thread.sleep(long)` that pauses the current executing thread for a specified duration, yielding the CPU.	Why it matters: Adds delays or pacing without releasing thread monitor locks. Gotcha: Calling `sleep()` inside a synchronized block, which locks out all other threads for the sleep duration.		28-multithreading/theory/02-runnable-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-043	What confusion should you avoid with `sleep`?	Do not call `threadInstance.sleep()` expecting it to make that specific thread sleep. It always sleeps the current executing thread.	Concept: sleep. Detail: Throws checked `InterruptedException` and clears the thread's interrupted flag. The sleeping thread yields CPU resources to the scheduler but continues to hold all monitor locks it has acquired.		28-multithreading/theory/02-runnable-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-017	Explain `join` deeply enough for review.	An instance method `thread.join()` that blocks the current thread until the target thread terminates.	Why it matters: Coordinates dependency ordering, ensuring parent threads wait for worker threads to finish processing. Gotcha: Calling `join()` on a thread that has not been started yet (returns immediately and doesn't wait).		28-multithreading/theory/03-join-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-044	What confusion should you avoid with `join`?	Do not assume calling `join()` starts the thread. You must start it first.	Concept: join. Detail: Internally uses `wait()` on the thread object, which is notified when the thread dies. This allows a parent thread to block until its child threads complete execution and report results.		28-multithreading/theory/03-join-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-018	Explain `yield` deeply enough for review.	A static method `Thread.yield()` that suggests to the OS scheduler that the current thread is willing to yield its current CPU time slice.	Why it matters: Can act as a scheduling optimization to prevent CPU hogging in busy-waiting loops. Gotcha: Relying on `yield()` to coordinate thread order or logic correctness (scheduler is free to ignore it).		28-multithreading/theory/03-join-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-045	What confusion should you avoid with `yield`?	Do not assume `yield()` releases monitor locks. It keeps them all.	Concept: yield. Detail: Behavior is highly platform-dependent and holds no guarantee of actual yielding. It suggests that the CPU scheduler temporarily pause the current thread in favor of other equal priority threads.		28-multithreading/theory/03-join-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-019	Explain `interrupt` deeply enough for review.	A cooperative signal mechanism that sets a thread's interrupt status flag, waking it if it is blocked in sleep/wait/join.	Why it matters: Standard, safe way to cancel a thread's task or wake it from blocked/waiting states. Gotcha: Swallowing `InterruptedException` in a catch block without restoring the flag via `Thread.currentThread().interrupt()`.		28-multithreading/theory/03-join-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-046	What confusion should you avoid with `interrupt`?	Do not think calling `interrupt()` immediately kills the thread. The thread must check its status and stop cooperatively.	Concept: interrupt. Detail: Checks: `isInterrupted()` (does not clear flag) vs static `Thread.interrupted()` (clears status flag). Blocked/sleeping methods immediately throw InterruptedException and clear the flag when interrupted.		28-multithreading/theory/03-join-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-020	Explain `Daemon thread` deeply enough for review.	A background service thread (like GC) that does not prevent the JVM from exiting when all user threads finish.	Why it matters: Ideal for background helper tasks that should stop immediately when the application shuts down. Gotcha: Performing critical I/O operations (like file writes) in daemon threads, as the JVM can exit mid-operation.		28-multithreading/theory/03-join-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-extra-047	What confusion should you avoid with `Daemon thread`?	Do not assume daemon threads automatically stop gracefully. They are terminated abruptly.	Concept: Daemon thread. Detail: Set via `setDaemon(true)` before starting. Inherits daemon status from parent thread. The JVM exits immediately when only daemon threads remain, aborting them without run cleanup.		28-multithreading/theory/03-join-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
