ID	Text	Extra	Source	Tags
comparable_comparator-cloze-001	In Comparable and Comparator, {{c1::Comparable}} defines natural ordering inside the class being compared.	It requires implementing Comparable<T> and overriding compareTo(T o). Objects of this type can then be sorted automatically via Collections.sort(list) or Arrays.sort(arr).	20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-cloze-002	In Comparable and Comparator, {{c1::compareTo}} is the single abstract method in Comparable that defines natural ordering rules.	Returns a negative integer, zero, or a positive integer if this object is less than, equal to, or greater than the specified object.	20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-cloze-003	In Comparable and Comparator, {{c1::Comparator}} defines external custom ordering for objects.	Unlike Comparable, which is embedded inside the class, Comparator allows defining multiple external custom ordering rules.	20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-cloze-004	In Comparable and Comparator, {{c1::compare}} is the abstract method in Comparator used to evaluate two objects.	It takes two arguments o1 and o2 and returns a negative integer, zero, or a positive integer indicating their ordering.	20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-cloze-005	In Comparable and Comparator, {{c1::Natural ordering}} is the default sorting sequence defined inside a class via Comparable.	Strings use lexicographical ordering, numbers use ascending numerical order. Sorting non-Comparable elements throws ClassCastException.	20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-cloze-006	In Comparable and Comparator, {{c1::Custom ordering}} is an alternative sort order defined externally using a Comparator.	It lets you define alternate sort strategies (e.g. sorting strings case-insensitively or by length) or sort third-party classes.	20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-cloze-007	In Comparable and Comparator, {{c1::Sort List object}} is done via Collections.sort(list) or List.sort(comparator).	Java 8's List.sort() is preferred. To sort naturally with List.sort(), pass "null" or "Comparator.naturalOrder()". Sorting immutable lists throws UnsupportedOperationException.	20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-cloze-008	In Comparable and Comparator, {{c1::Sort by multiple criteria}} chains comparators to resolve equality ties.	Java 8 provides static and default methods to chain comparisons. E.g. "Comparator.comparing(Employee::getDept).thenComparingDouble(Employee::getSalary)".	20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-cloze-009	In Comparable and Comparator, {{c1::Comparator.comparing}} is a static factory method that creates a Comparator from a key extractor function.	Primitive variations like "comparingInt" and "comparingDouble" should be used to avoid autoboxing overhead. Key extractor returning null causes NPE.	20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-cloze-010	In Comparable and Comparator, {{c1::thenComparing}} is a default method in Comparator to specify a secondary comparator to resolve ties.	If the primary comparator returns 0, thenComparing is invoked to decide the order of the objects.	20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-cloze-011	In Comparable and Comparator, {{c1::Reverse order}} swaps the direction of sorting.	Use "Comparator.reverseOrder()" to reverse natural ordering of Comparable elements, or "comparator.reversed()" to reverse an existing custom comparator.	20-comparable-comparator/theory/02-reverse-order-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-cloze-012	In Comparable and Comparator, {{c1::Null handling:}} defines how a Comparator orders null values without throwing NullPointerException.	By default, null elements throw NPE during sort. Java 8 introduced "Comparator.nullsFirst" and "nullsLast" decorators to safely handle nulls.	20-comparable-comparator/theory/02-reverse-order-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-cloze-013	In Comparable and Comparator, {{c1::nullsFirst}} wraps a comparator to sort null values before non-null values.	Syntax: "Comparator.nullsFirst(Comparator.naturalOrder())". If both values are non-null, it delegates to the downstream comparator.	20-comparable-comparator/theory/02-reverse-order-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-cloze-014	In Comparable and Comparator, {{c1::nullsLast}} wraps a comparator to sort null values after non-null values.	Syntax: "Comparator.nullsLast(Comparator.naturalOrder())". If a null wrapper is auto-unboxed to a primitive inside the comparator, it throws NPE before nullsLast can intercept it.	20-comparable-comparator/theory/02-reverse-order-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
