ID	Question	Code	Answer	Explanation	Source	Tags
best_practices-code-001	Why prefer the interface type when declaring variables?	List<String> names = new ArrayList<>();	It decouples the code from the concrete implementation.	Code can later switch to another `List` implementation (e.g. `LinkedList` or unmodifiable list) with minimal changes.	41-best-practices/theory/02-do-not-swallow-exceptions-concepts.md | https://dev.java/learn/	java::core::best-practices java::code
best_practices-code-002	Refactor this code to use self-documenting naming conventions.	int d = 86400;\nint s = u.getDays() * d;	Rename `d` to `SECONDS_PER_DAY` and `s` to `totalSeconds`.	Descriptive names explain the intent and units of variables without requiring inline comments.	41-best-practices/theory/01-name-variables-functions-and-classes-clearly-concepts.md | https://dev.java/learn/	java::core::best-practices java::code
best_practices-code-003	What convention violations exist in this constant and class definition?	public class orderProcessor {\n    public static final int max_retries = 3;\n}	Class names should be PascalCase (`OrderProcessor`) and constants should be UPPER_SNAKE_CASE (`MAX_RETRIES`).	Adhering to standard Java style guides keeps naming consistent across packages.	41-best-practices/theory/01-name-variables-functions-and-classes-clearly-concepts.md | https://dev.java/learn/	java::core::best-practices java::code
best_practices-code-004	Why is storing request-scoped user details in a static field an anti-pattern?	public class SecurityContext {\n    public static User currentUser; // static context\n}	It is not thread-safe and can leak data between concurrent requests in a multi-threaded application.	In web servers, multiple threads share the class loader. A static field is shared across all threads, leading to race conditions.	41-best-practices/theory/01-name-variables-functions-and-classes-clearly-concepts.md | https://dev.java/learn/	java::core::best-practices java::code
best_practices-code-005	Why does extending `ArrayList` to create a `CustomStack` class violate encapsulation?	public class CustomStack extends ArrayList<Object> {\n    public void push(Object o) { add(o); }\n}	It exposes all helper methods of `ArrayList` (like `clear()`, `remove(int)`) which bypasses stack safety rules.	Inheritance models an "is-a" relationship, leaking all parent public methods. Use composition instead.	41-best-practices/theory/01-name-variables-functions-and-classes-clearly-concepts.md | https://dev.java/learn/	java::core::best-practices java::code
best_practices-code-006	Refactor this class to use composition instead of inheritance.	public class LoggedList extends ArrayList<String> {\n    @Override\n    public boolean add(String s) {\n        System.out.println("Adding: " + s);\n        return super.add(s);\n    }\n}	Wrap an inner `List` field and delegate method calls to it.	Example:\n`public class LoggedList {`\n`    private final List<String> list = new ArrayList<>();`\n`    public boolean add(String s) { System.out.println("Adding: " + s); return list.add(s); }`\n`}`	41-best-practices/theory/01-name-variables-functions-and-classes-clearly-concepts.md | https://dev.java/learn/	java::core::best-practices java::code
best_practices-code-007	Why is this user entity class buggy when stored in a `HashSet`?	public class User {\n    private String id;\n    @Override\n    public boolean equals(Object o) {\n        return o instanceof User && id.equals(((User)o).id);\n    }\n}	The class overrides `equals()` but fails to override `hashCode()`.	Objects that are equal under `equals()` will generate different hashes, causing lookup failures and duplicate entries in hash-based collections.	41-best-practices/theory/01-name-variables-functions-and-classes-clearly-concepts.md | https://dev.java/learn/	java::core::best-practices java::code
best_practices-code-008	Optimize this loop concatenation code to reduce heap allocations.	String result = "";\nfor (String item : items) {\n    result += item + ",";\n}	Use `StringBuilder` to append strings in-place.	Example:\n`StringBuilder sb = new StringBuilder();`\n`for (String item : items) sb.append(item).append(",");`\n`String result = sb.toString();`	41-best-practices/theory/01-name-variables-functions-and-classes-clearly-concepts.md | https://dev.java/learn/	java::core::best-practices java::code
best_practices-code-009	Why is this monetary initialization incorrect?	BigDecimal price = new BigDecimal(10.99);	It uses a `double` literal, which encodes floating-point rounding errors.	Correct initialization: `new BigDecimal("10.99")`. The string constructor preserves exact decimal scale representation.	41-best-practices/theory/01-name-variables-functions-and-classes-clearly-concepts.md | https://dev.java/learn/	java::core::best-practices java::code
best_practices-code-010	Refactor this resource cleanup block to prevent file descriptor leaks.	FileWriter fw = new FileWriter("log.txt");\nfw.write("event");\nfw.close();	Wrap the resource in a try-with-resources statement.	Example:\n`try (FileWriter fw = new FileWriter("log.txt")) {\n    fw.write("event");\n}`\nThis guarantees closure even if `write()` throws an exception.	41-best-practices/theory/01-name-variables-functions-and-classes-clearly-concepts.md | https://dev.java/learn/	java::core::best-practices java::code
