ID	Text	Extra	Source	Tags
modern_java_concepts-cloze-001	In Modern Java Concepts To Know, {{c1::var}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	40-modern-java-concepts/theory/01-var-concepts.md | https://dev.java/learn/	java::core::modern-java-concepts
modern_java_concepts-cloze-002	In Modern Java Concepts To Know, {{c1::Records}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	40-modern-java-concepts/theory/01-var-concepts.md | https://dev.java/learn/	java::core::modern-java-concepts
modern_java_concepts-cloze-003	In Modern Java Concepts To Know, {{c1::Sealed class}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	40-modern-java-concepts/theory/01-var-concepts.md | https://dev.java/learn/	java::core::modern-java-concepts
modern_java_concepts-cloze-004	In Modern Java Concepts To Know, {{c1::Pattern matching for instanceof}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	40-modern-java-concepts/theory/01-var-concepts.md | https://dev.java/learn/	java::core::modern-java-concepts
modern_java_concepts-cloze-005	In Modern Java Concepts To Know, {{c1::Switch expression}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	40-modern-java-concepts/theory/01-var-concepts.md | https://dev.java/learn/	java::core::modern-java-concepts
modern_java_concepts-cloze-006	In Modern Java Concepts To Know, {{c1::Text blocks}} is a concept you should define, apply, and connect to common mistakes.	It matters because concurrent code can look correct in single-thread tests but fail under timing pressure. A common confusion is assuming visibility, ordering, and atomicity are the same guarantee.	40-modern-java-concepts/theory/01-var-concepts.md | https://dev.java/learn/	java::core::modern-java-concepts
modern_java_concepts-cloze-007	In Modern Java Concepts To Know, {{c1::Enhanced NullPointerException message}} is a concept you should define, apply, and connect to common mistakes.	It matters because exception behavior decides whether failures are handled locally, propagated, or allowed to stop the program. A common confusion is treating every exception the same instead of separating recoverable conditions from programming bugs.	40-modern-java-concepts/theory/01-var-concepts.md | https://dev.java/learn/	java::core::modern-java-concepts
modern_java_concepts-cloze-008	In Modern Java Concepts To Know, {{c1::Virtual Threads}} is a concept you should define, apply, and connect to common mistakes.	It matters because concurrent code can look correct in single-thread tests but fail under timing pressure. A common confusion is assuming visibility, ordering, and atomicity are the same guarantee.	40-modern-java-concepts/theory/01-var-concepts.md | https://dev.java/learn/	java::core::modern-java-concepts
modern_java_concepts-cloze-009	In Modern Java Concepts To Know, {{c1::Basic Structured Concurrency}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	40-modern-java-concepts/theory/01-var-concepts.md | https://dev.java/learn/	java::core::modern-java-concepts
modern_java_concepts-cloze-010	In Modern Java Concepts To Know, {{c1::Pattern matching for switch}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	40-modern-java-concepts/theory/01-var-concepts.md | https://dev.java/learn/	java::core::modern-java-concepts
modern_java_concepts-cloze-011	In Modern Java Concepts To Know, {{c1::Sequenced Collections}} is a concept you should define, apply, and connect to common mistakes.	It matters because choosing the wrong data structure changes correctness, performance, and duplicate-handling behavior. A common confusion is memorizing class names without knowing lookup order, equality rules, or iteration behavior.	40-modern-java-concepts/theory/02-sequenced-collections-concepts.md | https://dev.java/learn/	java::core::modern-java-concepts
modern_java_concepts-cloze-012	In Modern Java Concepts To Know, {{c1::String templates were once preview; currently they should not be used as a stable feature}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	40-modern-java-concepts/theory/02-sequenced-collections-concepts.md | https://dev.java/learn/	java::core::modern-java-concepts
modern-java-concepts-aug-cloze-001	{{c1::var}}: Tiny example or mental model:	Use this cloze for exact recall, then read the source note for examples. Source: /home/fhu_thjen/projects/learning-java/40-modern-java-concepts/theory/01-var-concepts.md	/home/fhu_thjen/projects/learning-java/40-modern-java-concepts/theory/01-var-concepts.md | https://dev.java/learn/	java::core::modern_java_concepts
modern-java-concepts-aug-cloze-002	{{c1::Records}}: A record is a compact Java class for immutable data carriers	Use this cloze for exact recall, then read the source note for examples. Source: /home/fhu_thjen/projects/learning-java/40-modern-java-concepts/theory/01-var-concepts.md	/home/fhu_thjen/projects/learning-java/40-modern-java-concepts/theory/01-var-concepts.md | https://dev.java/learn/	java::core::modern_java_concepts
modern-java-concepts-aug-cloze-003	{{c1::Sealed class}}: A sealed class restricts which classes may extend or implement it	Use this cloze for exact recall, then read the source note for examples. Source: /home/fhu_thjen/projects/learning-java/40-modern-java-concepts/theory/01-var-concepts.md	/home/fhu_thjen/projects/learning-java/40-modern-java-concepts/theory/01-var-concepts.md | https://dev.java/learn/	java::core::modern_java_concepts
modern-java-concepts-aug-cloze-004	{{c1::Pattern matching for instanceof}}: Tiny example or mental model:	Use this cloze for exact recall, then read the source note for examples. Source: /home/fhu_thjen/projects/learning-java/40-modern-java-concepts/theory/01-var-concepts.md	/home/fhu_thjen/projects/learning-java/40-modern-java-concepts/theory/01-var-concepts.md | https://dev.java/learn/	java::core::modern_java_concepts
modern-java-concepts-aug-cloze-005	{{c1::Switch expression}}: Tiny example or mental model:	Use this cloze for exact recall, then read the source note for examples. Source: /home/fhu_thjen/projects/learning-java/40-modern-java-concepts/theory/01-var-concepts.md	/home/fhu_thjen/projects/learning-java/40-modern-java-concepts/theory/01-var-concepts.md | https://dev.java/learn/	java::core::modern_java_concepts
