ID	Text	Extra	Code	Source	Tags
lambda_expression-cloze-001	In Java, the compiler translates lambda expressions using the {{c1::invokedynamic}} bytecode instruction and dynamic bootstrap methods rather than traditional anonymous inner classes.	This runtime generation approach eliminates compile-time static class file generation overhead and JRE class loading footprint.		21-lambda-expression/theory/01-what-is-a-lambda-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/lambdaexpressions.html	java::core::lambda-expression
lambda_expression-cloze-002	Local variables captured by a lambda expression must be {{c1::final}} or {{c2::effectively final}} because local variables reside on the {{c3::stack}} while the lambda instance resides on the {{c4::heap}}.	Enforcing this prevents values from going out of sync when the stack frame is popped.		21-lambda-expression/theory/01-what-is-a-lambda-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/lambdaexpressions.html	java::core::lambda-expression
lambda_expression-cloze-003	For an unbound instance method reference like String::length, the first parameter of the functional interface is treated as the {{c1::receiver object}} (on which the method is called).	Remaining parameters mapped to arguments.		21-lambda-expression/theory/01-what-is-a-lambda-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/lambdaexpressions.html	java::core::lambda-expression
lambda_expression-cloze-004	A lambda expression implementing a standard functional interface cannot throw {{c1::checked exceptions}} unless the interface method explicitly declares them.	Wrapping in try-catch or custom interfaces handles exceptions.		21-lambda-expression/theory/01-what-is-a-lambda-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/lambdaexpressions.html	java::core::lambda-expression
lambda_expression-cloze-005	Unlike anonymous inner classes, lambda expressions do not introduce a new scope; therefore, the {{c1::this}} keyword inside a lambda refers to the {{c2::enclosing class instance}}.	Lexical scoping rules apply inside lambdas.		21-lambda-expression/theory/01-what-is-a-lambda-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/lambdaexpressions.html	java::core::lambda-expression
lambda_expression-cloze-006	A functional interface is defined as an interface that has exactly {{c1::one}} abstract method, excluding any abstract methods overridden from {{c2::java.lang.Object}}.	Object overrides like equals() or toString() are ignored in the count.		21-lambda-expression/theory/01-what-is-a-lambda-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/lambdaexpressions.html	java::core::lambda-expression
lambda_expression-cloze-007	@FunctionalInterface is a(n) {{c1::optional}} annotation that ensures compile-time check that the interface contains exactly one abstract method.	Omitting it does not prevent the interface from being used as a functional interface target.		21-lambda-expression/theory/01-what-is-a-lambda-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/lambdaexpressions.html	java::core::lambda-expression
lambda_expression-cloze-008	In a bound instance method reference like prefix::startsWith, the receiver instance is resolved at {{c1::compile-time}}.	It is bound to that specific reference.		21-lambda-expression/theory/01-what-is-a-lambda-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/lambdaexpressions.html	java::core::lambda-expression
lambda_expression-cloze-009	If a local variable captured by a lambda is reassigned anywhere in the enclosing method, it is no longer {{c1::effectively final}}, causing a compile-time error.	The JLS prevents compilation when reassignment is detected.		21-lambda-expression/theory/01-what-is-a-lambda-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/lambdaexpressions.html	java::core::lambda-expression
lambda_expression-cloze-010	Under the hood, lambda expressions are compiled into private methods in the host class and instantiated at runtime using {{c1::LambdaMetafactory}}.	The dynamic class generated implements the target interface.		21-lambda-expression/theory/01-what-is-a-lambda-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/lambdaexpressions.html	java::core::lambda-expression
lambda_expression-cloze-011	An unmodifiable collection will throw {{c1::UnsupportedOperationException}} at runtime if you call mutating lambda-based methods like removeIf().	Methods like List.of() create unmodifiable collections.		21-lambda-expression/theory/02-lambda-with-collection-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/lambdaexpressions.html	java::core::lambda-expression
lambda_expression-cloze-012	A classic bug when comparing integer values in a custom Comparator is using {{c1::subtraction}}, which can result in {{c2::integer overflow}}.	Always use Integer.compare(x, y) instead.		21-lambda-expression/theory/02-lambda-with-collection-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/lambdaexpressions.html	java::core::lambda-expression
lambda_expression-cloze-013	A method reference of the form ClassName::new is called a {{c1::constructor reference}}.	It maps to a constructor depending on the target parameters.		21-lambda-expression/theory/01-what-is-a-lambda-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/lambdaexpressions.html	java::core::lambda-expression
