ID	Front	Back	Extra	Code	Source	Tags
string-extra-001	Why is String designed to be immutable in Java?	For String Pool memory caching, security (e.g. database URLs), thread safety, and HashCode caching.	Immutability ensures that once a String is validated (like a file path or network port), its value cannot be modified. It also makes Strings naturally thread-safe without locks, and allows the JVM to share the same String object under multiple variables in the String Pool. Finally, since its contents are fixed, the hashCode is calculated once and cached, making String an excellent key in HashMaps.		no08_string/theory/01-string-basics.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string java::interview
string-extra-002	Why is string concatenation using `+` inside a loop considered bad practice?	Because it creates many temporary String objects and copies characters repeatedly.	Each iteration with `s += item` compiles to creating a new StringBuilder (or StringConcatFactory call) and allocating a new String object. This leads to O(N^2) complexity and massive memory churn. You should use `StringBuilder` inside loops.		no08_string/theory/02-string-methods.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string java::interview
string-extra-003	Why is `StringBuilder` almost always preferred over `StringBuffer` in standard application code?	Because most string manipulations occur inside a single thread (local variables).	`StringBuffer` is thread-safe because its methods are synchronized. However, local variables inside a method are confined to the executing thread and cannot be accessed by other threads. Redundant synchronization in `StringBuffer` creates locking overhead. `StringBuilder` removes this synchronization, executing faster.		no08_string/theory/03-stringbuilder-stringbuffer.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string java::interview
string-extra-004	How does the compiler optimize single-line string concatenation like `String s = a + b + c;`?	It uses `StringBuilder` (Java 8-) or `StringConcatFactory` via invokedynamic (Java 9+).	You don't need to manually rewrite single-line concatenations with `StringBuilder` because the Java compiler automatically translates them into optimized bytecodes. The only place you must manually use `StringBuilder` is when concatenating inside a loop.		no08_string/theory/02-string-methods.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string
string-extra-005	How does a Text Block determine and strip incidental indentation?	It strips the common leading whitespace from all lines based on the leftmost character or the position of the closing triple-quotes.	"The JVM looks at the indentations of all lines in the block, finds the minimum indentation length, and strips that amount from each line. If you want to keep leading whitespace, you can adjust the position of the closing `""""""` to the left."		no08_string/theory/02-string-methods.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string
string-extra-006	Why is caching the `hashCode` in String so beneficial for collections?	It makes String lookup in HashMaps and HashSets extremely fast.	String is immutable, so its character sequence never changes. The JVM calculates the `hashCode` on the first call to `hashCode()` and caches it in a private field (`hash`). Subsequent lookups in hash-based collections bypass calculations, running in O(1) time.		no08_string/theory/01-string-basics.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string java::interview
string-extra-007	Why does the mutability of String parameters present a security risk?	It exposes code to Time-Of-Check to Time-Of-Use (TOCTOU) vulnerabilities.	If a method checks if a mutable file path string is safe, another thread could modify that string *after* the security check but *before* the operating system opens the file. Since String is immutable, the verified value is guaranteed to remain unchanged.		no08_string/theory/01-string-basics.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string java::interview
string-extra-008	Where is the String Pool stored, and how does the JVM manage its size?	In the general Heap area; its size is managed via `-XX:StringTableSize`.	Prior to Java 7, the pool was in PermGen (which was fixed and could run out of memory). Moving it to the general Heap allows string pool entries to be garbage collected when no references point to them. The pool is implemented as a hashtable, whose bucket count is governed by the `-XX:StringTableSize` JVM option.		no08_string/theory/01-string-basics.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string
string-extra-009	"What is the ""Turkish Locale Anomaly"" regarding case conversions in Java?"	"Case conversions are locale-sensitive; in Turkish, `""title"".toUpperCase()` becomes `""TİTLE""` instead of `""TITLE""`."	"In Turkish, the letter `i` capitalizes to `İ` (dotted capital I). If your code assumes `""title"".toUpperCase().equals(""TITLE"")`, it will fail in Turkish systems. To prevent this, always specify the locale (e.g., `toLowerCase(Locale.ROOT)`) for system/protocol strings."		no08_string/theory/02-string-methods.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string java::interview
string-extra-010	What is the difference between `replace(CharSequence, CharSequence)` and `replaceAll(String, String)`?	`replace()` performs literal replacement, whereas `replaceAll()` treats the search target as a regular expression.	`replace()` replaces all occurrences just like `replaceAll()`, but does not invoke regex parsing. It is faster and safer when you do not need regex, as characters like `.` or `$` in the search string won't be treated as wildcards.		no08_string/theory/02-string-methods.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string java::interview
string-extra-011	What happens when you call `sb.setLength(newLength)` with a value larger than the current length?	It pads the buffer with null characters (`\u0000`) up to `newLength`.	This method adjusts the length property directly. If you expand the length, the new character slots are initialized with default null characters (`\u0000`), and the internal array is resized if the new length exceeds the current capacity.		no08_string/theory/03-stringbuilder-stringbuffer.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string
string-extra-012	Does the synchronization in `StringBuffer` make compound operations on it thread-safe?	No, compound operations (e.g. check-then-act) still require external synchronization.	While each individual method call (like `.append()`) is synchronized and thread-safe, a sequence of calls (e.g. checking length and then appending) is not atomic. If multiple threads access the same `StringBuffer`, you must synchronize the block externally to prevent race conditions.		no08_string/theory/03-stringbuilder-stringbuffer.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string java::interview
string-extra-013	What is the difference between `%s` and `%S` in format specifiers?	`%s` formats the value as a normal string, whereas `%S` automatically converts the string to uppercase.	"`String.format(""%s %S"", ""java"", ""java"")` will output `""java JAVA""`. This is a quick shortcut for converting output to uppercase."		no08_string/theory/02-string-methods.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string
string-extra-014	Why is it recommended to store sensitive data (like passwords) in `char[]` or `byte[]` rather than `String`?	Strings remain in memory indefinitely until GC runs, whereas arrays can be zeroed out immediately after use.	Because Strings are immutable and cached in the String Pool, they stay in heap memory and cannot be wiped out. A hacker performing a heap dump could read passwords in cleartext. A `char[]` or `byte[]` can be overwritten with dummy values (e.g. `Arrays.fill(pwd, '0')`) as soon as validation is done.		no08_string/theory/01-string-basics.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string java::interview
string-extra-015	What is the internal storage representation of Compact Strings in Java 9+?	A `byte[]` array combined with a single byte `coder` field.	If the string contains only Latin-1 characters, the `coder` is set to 0 and each character takes 1 byte. If it contains characters requiring UTF-16 (like emojis or non-Western scripts), the `coder` is set to 1 and characters take 2 bytes. This happens transparently under the hood.		no08_string/theory/01-string-basics.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string java::interview
