ID	Question	Code	Answer	Explanation	Source	Tags
object_class-code-001	Why should these methods usually be overridden together?	class User {\n    int id;\n    public boolean equals(Object other) { return other instanceof User u && id == u.id; }\n}	`hashCode()` should also be overridden.	Hash-based collections require equal objects to have equal hash codes.	14-object-class/README.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class java::code
object_class-code-002	What is the output of this code if toString() is not overridden?	class User {\n    int id = 42;\n}\n...\nUser u = new User();\nSystem.out.println(u.toString().contains("User@"));	true	The default toString() implementation in Object returns getClass().getName() + "@" + Integer.toHexString(hashCode()).	14-object-class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class java::code
object_class-code-003	What does this code print comparing s1 and s2 by value vs reference?	String s1 = new String("test");\nString s2 = new String("test");\nSystem.out.println(s1 == s2);\nSystem.out.println(s1.equals(s2));	false\ntrue	Reference equality (==) compares memory locations, which are different. Value equality (equals()) compares string content, which is identical.	14-object-class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class java::code
object_class-code-004	What is a common consequence of having hashCode() return a constant like 1?	@Override\npublic int hashCode() {\n    return 1;\n}	It causes O(N) lookup time in hash-based collections.	It forces all elements into the same hash bucket, creating a linked list instead of a hash table, causing search times to degrade to O(N).	14-object-class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class java::code
object_class-code-005	What does this check output for a subclass instance?	class Parent {}\nclass Child extends Parent {}\n...\nParent p = new Child();\nSystem.out.println(p.getClass() == Parent.class);	false	getClass() returns the actual runtime class of the object, which is Child.class, not the declared reference type Parent.class.	14-object-class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class java::code
object_class-code-006	What exception is thrown when clone() is called on an instance of a class that does not implement Cloneable?	class Foo {\n    public Object copy() throws Exception { return this.clone(); }\n}\n...\nnew Foo().copy();	CloneNotSupportedException	The class must implement the Cloneable interface to support cloning, otherwise Object.clone() throws CloneNotSupportedException.	14-object-class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class java::code
object_class-code-007	Why is reliance on finalize() for resource cleanup discouraged?	// finalize() cleanup pattern\n@Override\nprotected void finalize() throws Throwable {\n    file.close();\n}	Its execution timing is non-deterministic and it is deprecated.	The garbage collector makes no guarantees about when (or if) finalize() runs, which can lead to resource exhaustion.	14-object-class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class java::code
object_class-code-008	What exception is thrown if wait() is called outside a synchronized context?	Object lock = new Object();\nlock.wait();	IllegalMonitorStateException	To call wait() or notify()/notifyAll(), a thread must first acquire the lock (monitor) by entering a synchronized block/method on that object.	14-object-class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class java::code
object_class-code-009	Why does this code throw an exception when calling notify()?	Object obj = new Object();\nobj.notify();	IllegalMonitorStateException	notify() requires the thread to hold the lock on obj. It must be called from inside a synchronized(obj) block.	14-object-class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class java::code
object_class-code-010	Why is notifyAll() generally preferred over notify() for coordinating multiple waiting threads?	// Producer/Consumer context\nsynchronized(lock) {\n    lock.notifyAll();\n}	It avoids deadlocks by waking all threads rather than a single, possibly inappropriate, thread.	notify() only wakes one random thread. If that thread cannot progress and goes back to sleep without signaling others, the entire application can deadlock.	14-object-class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class java::code
object_class-code-011	What does this print if Employee overrides equals() but not hashCode()?	Employee e1 = new Employee(1, "Bob");\nEmployee e2 = new Employee(1, "Bob");\nMap<Employee, String> map = new HashMap<>();\nmap.put(e1, "Developer");\nSystem.out.println(map.containsKey(e2));	false	Because e1 and e2 have different hash codes, the HashMap looks for e2 in a different bucket and fails to find it, even though equals() returns true.	14-object-class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class java::code
