ID	Front	Back	Extra	Code	Source	Tags
modern-java-extra-001	Why does the Java compiler reject `var` in fields, method parameters, and return types?	These locations are part of a class's public API surface. Other classes and callers must be able to see and depend on explicit types without inspecting the implementation. Type inference requires the initializer to be visible at the same point of use — which is not possible for API boundaries.	If `var` were allowed in method signatures, the caller could not determine what type to pass or expect without reading the implementation body, breaking separate compilation and interface contracts.		no40_modern_java_concepts/theory/01-var-concepts.md | https://openjdk.org/jeps/286	java::core::modern-java java::interview
modern-java-extra-002	Explain the compiler-generated canonical constructor in a Java Record and how compact constructors work.	The compiler generates a canonical constructor with all component fields as parameters, assigning each to the corresponding final field. A compact constructor uses the same parameter list implicitly — you write the body only, and the compiler auto-inserts assignments after the body executes.	This means in a compact constructor, `name = name.strip()` modifies the incoming parameter before the auto-generated field assignment. You cannot modify fields directly — only the incoming parameter variable.	public record User(String name) {\n    public User { // compact — no params declared\n        name = name.strip(); // modifies param, then field assigned\n    }\n}	no40_modern_java_concepts/theory/01-var-concepts.md | https://openjdk.org/jeps/395	java::core::modern-java java::interview
modern-java-extra-003	Explain how sealed classes interact with sealed switch expressions to achieve compile-time exhaustiveness verification.	When a switch expression patterns over a sealed class, the compiler knows the complete closed set of permitted subtypes. It checks that each permitted subtype is covered by at least one case. If all are covered, no `default` is required. If a new subtype is added to `permits` but the switch is not updated, the compiler issues an error.	This is sometimes called "algebraic data type (ADT) exhaustiveness" — a pattern from Haskell and Scala `sealed` traits. Java adopted it to make type-safe, exhaustive branching possible without runtime `instanceof` chains.		no40_modern_java_concepts/theory/01-var-concepts.md | https://openjdk.org/jeps/409	java::core::modern-java java::interview
modern-java-extra-004	Why does the dominance rule in Pattern Matching for Switch exist, and what compile error does it produce?	The compiler evaluates switch cases top-to-bottom. If a general pattern (e.g., `case String s`) appears before a specific guarded pattern (e.g., `case String s when s.length() > 5`), the specific case can never be reached — the general case captures all matching values first. The compiler detects this and reports a "case label dominated by a preceding case label" error.	This prevents a class of silent bugs where developers write an ordered guard but the ordering is wrong, and the guard condition silently never executes.		no40_modern_java_concepts/theory/01-var-concepts.md | https://openjdk.org/jeps/441	java::core::modern-java java::interview
modern-java-extra-005	Explain the JVM carrier thread model for virtual threads and why synchronized blocks cause pinning.	The JVM maintains a small pool of OS carrier threads (typically equal to CPU cores). Virtual threads are multiplexed onto carriers. When a virtual thread blocks on I/O or a lock, the JVM unmounts it and frees the carrier. However, `synchronized` uses OS monitor locks tied to the native carrier thread, preventing unmounting — the carrier is "pinned" until the synchronized block exits.	Java 24+ is improving this. Until then, replace synchronized with ReentrantLock for code paths that may block inside virtual threads, allowing the carrier to unmount freely.		no40_modern_java_concepts/theory/01-var-concepts.md | https://openjdk.org/jeps/444	java::core::modern-java java::interview
modern-java-extra-006	Why do Java Records use accessor names without the `get` prefix (e.g., `point.x()` instead of `point.getX()`)?	Records model transparent data carriers, not encapsulated objects. The component names are part of the public API contract — a `record Point(int x, int y)` explicitly declares `x` and `y` as its public components. Using `x()` rather than `getX()` makes the accessor name match the component name, reinforcing the data-transparency contract and enabling patterns like deconstruction.	By contrast, JavaBeans use `getX()` to preserve encapsulation — the getter name does not reveal the field name. Records intentionally abandon this encapsulation fiction since they are transparent by design.		no40_modern_java_concepts/theory/01-var-concepts.md | https://openjdk.org/jeps/395	java::core::modern-java java::interview
modern-java-extra-007	Explain the difference between Sequenced Collections' `reversed()` view and a physically copied reversed list.	`reversed()` returns a view backed by the original collection — it is O(1) and performs no element copying. The view reflects future mutations to the original. Modifying the view (e.g., `reversed.addFirst(x)`) mutates the original at the tail. A physically copied reversed list (e.g., `Collections.reverse(new ArrayList<>(list))`) is O(n) and decoupled from the original.	This is the same view-vs-copy distinction as `List.subList()` vs. explicit list copying. The view saves memory and time but can cause unexpected mutations if shared carelessly.		no40_modern_java_concepts/theory/02-sequenced-collections-concepts.md | https://openjdk.org/jeps/0	java::core::modern-java java::interview
modern-java-extra-008	What is the lifecycle of a virtual thread, and why should virtual threads NOT be pooled?	Virtual threads are created instantly (they are cheap objects), mounted on a carrier when scheduled, unmounted when blocking, and discarded after their task completes. Creating a million virtual threads is normal and expected. Pooling virtual threads (e.g., via a fixed thread pool) defeats the purpose — pooled virtual threads block waiting for the pool slot, wasting the very concurrency they provide.	The idiomatic usage is `Executors.newVirtualThreadPerTaskExecutor()` — create one virtual thread per task, discard when done. Think of virtual threads like tasks, not thread pool workers.		no40_modern_java_concepts/theory/01-var-concepts.md | https://openjdk.org/jeps/444	java::core::modern-java java::interview
modern-java-extra-009	Why do switch expressions require exhaustiveness, and what happens if a case is missing?	Switch expressions must always yield a value from some case branch. If the compiler cannot verify that every possible input value is handled, it cannot guarantee the expression always produces a value. An unhandled input at runtime would leave the expression without a result. The compiler rejects non-exhaustive switch expressions with a compile error.	Sealed classes make this even stronger: if all permitted subtypes of a sealed type are covered, no `default` is needed. If an enum is used, all enum constants must be covered.		no40_modern_java_concepts/theory/01-var-concepts.md | https://openjdk.org/jeps/441	java::core::modern-java java::interview
modern-java-extra-010	Why does `var` infer the most specific type from the right-hand side, and what pitfall does this create with anonymous types?	The compiler infers the runtime type of the right-hand side at the point of declaration. For a concrete type like `new ArrayList<>()`, this is `ArrayList<String>`. However, for anonymous classes or intersection types, `var` infers the anonymous type itself — making the variable capable of accessing methods that are not on any named interface, but preventing assignment to that interface type later.	`var x = new Runnable() { public void run() {} public void extra() {} }; x.extra();` is valid — but you cannot write `Runnable r = x;` because `x` is the anonymous subtype.		no40_modern_java_concepts/theory/01-var-concepts.md | https://openjdk.org/jeps/286	java::core::modern-java java::interview
