ID	Front	Back	Extra	Code	Source	Tags
security-extra-001	Explain why SHA-256 collision resistance matters for digital signatures.	Collision resistance ensures that no two different documents can produce the same SHA-256 hash. If collisions were possible, an attacker could swap a signed document for a malicious one with the same hash — making the signature appear valid.	MD5 and SHA-1 are broken precisely because real collision attacks exist: researchers have produced two different PDFs with the same SHA-1 hash. This is why modern systems mandate SHA-256 or stronger.		no36_security_basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/security/MessageDigest.html	java::core::security java::interview
security-extra-002	Explain the security risk when developers confuse Base64 encoding with encryption.	A developer who believes Base64-encoding an API key or password "protects" it will store or transmit that value without actual encryption. Any attacker who obtains the encoded string can decode it instantly using a single Java call or online tool.	This is one of the most common rookie security mistakes. It appears in code reviews as things like: `String encoded = Base64.encode(password)` stored in a config file or JWT payload that is then treated as "secured."		no36_security_basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Base64.html	java::core::security java::interview
security-extra-003	Explain why a LCG-based PRNG (java.util.Random) is cryptographically broken.	Linear Congruential Generators compute `next_state = (a * current_state + c) mod m`. Observing as few as 3 consecutive outputs is enough to solve for the seed via algebraic manipulation. Once the seed is known, all past and future outputs are predictable.	This is catastrophic for encryption: if an attacker can predict the random values used to generate an AES key, they can decrypt all ciphertext without brute-forcing the key.		no36_security_basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/security/SecureRandom.html	java::core::security java::interview
security-extra-004	Why is storing a password in a String field a JVM-level security vulnerability?	Strings in Java are immutable. Once created, the content cannot be cleared by the application. The GC may not collect the object for minutes. During that window, a heap dump captures the plaintext password as a readable ASCII string.	APIs designed for passwords accept `char[]` by contract: `new JPasswordField()`, `PBEKeySpec(char[] password)`, `KeyStore.load(stream, char[] password)`. This is intentional API design to encourage char[] usage.		no36_security_basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security java::interview
security-extra-005	Explain how a deserialization gadget chain achieves Remote Code Execution.	A gadget chain exploits classes already on the classpath whose `readObject()`, `hashCode()`, or `equals()` implementations invoke other methods. The attacker crafts a payload that chains these calls so that the last link in the chain calls `Runtime.exec()` with a malicious command.	Famous real-world examples: Apache Commons Collections gadget chain, Spring gadget chains. The attacker does not need to inject new code — they only reuse existing library code in an unexpected sequence.		no36_security_basic/theory/02-avoid-insecure-deserialization-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/io/ObjectInputFilter.html	java::core::security java::interview
security-extra-006	How does `ObjectInputFilter` stop deserialization gadget chains?	`ObjectInputFilter` intercepts class resolution during stream parsing — before any class is instantiated. If the stream references a class not in the approved whitelist, an `InvalidClassException` is thrown immediately.	The filter is set via `in.setObjectInputFilter(filter)` or globally via `ObjectInputFilter.Config.setSerialFilter(filter)`. The global filter applies to all `ObjectInputStream` instances in the JVM process.	ObjectInputFilter filter = ObjectInputFilter.Config.createFilter("com.example.*;java.base/*;!*");\nin.setObjectInputFilter(filter);	no36_security_basic/theory/02-avoid-insecure-deserialization-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/io/ObjectInputFilter.html	java::core::security java::interview
security-extra-007	Why does SQL injection occur, and how does `PreparedStatement` prevent it structurally?	SQL injection occurs because `Statement.execute(sql)` concatenates user input directly into the SQL string, changing the query structure. `PreparedStatement` pre-compiles the SQL structure first, then substitutes parameterized values as literals — the database engine never interprets user data as SQL syntax.	Example of vulnerable code: `"SELECT * FROM users WHERE name='" + userInput + "'"` — an input of `' OR '1'='1` changes the query's WHERE clause logic completely.	PreparedStatement ps = conn.prepareStatement("SELECT * FROM users WHERE name = ?");\nps.setString(1, userInput); // userInput is treated as a literal, never as SQL	no36_security_basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security java::interview
security-extra-008	Explain why AES-CBC mode requires a unique Initialization Vector (IV) for each encryption.	CBC mode XORs each plaintext block with the previous ciphertext block before encryption. The IV XORs the first block. If the same key and IV are reused, two identical plaintexts produce identical ciphertexts — revealing that the plaintexts are identical. Reusing IV with the same key in stream ciphers is even worse, enabling complete plaintext recovery.	The IV must be random per-encryption (generated with `SecureRandom`) and transmitted alongside the ciphertext (IV is not secret, just must be unique per key-session).	byte[] iv = new byte[16];\nnew SecureRandom().nextBytes(iv);\nIvParameterSpec ivSpec = new IvParameterSpec(iv);	no36_security_basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/javax/crypto/Cipher.html	java::core::security java::interview
security-extra-009	Why is server-side input validation required even when client-side validation exists?	Attackers do not use the UI. They send raw HTTP requests directly to server endpoints using tools like `curl`, Burp Suite, or custom scripts. Any validation performed only in JavaScript or the frontend can be trivially bypassed.	Defense-in-depth requires validating at every trust boundary: frontend (UX only), server-side API (security), and database (schema constraints). Only server-side validation has security meaning.		no36_security_basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security java::interview
security-extra-010	What is the purpose of adding a cryptographic salt to a password before hashing, and what attack does it prevent?	A salt is a random value appended or prepended to the password before hashing. This ensures that even if two users share the same password, their stored hashes will differ. It prevents precomputed hash lookup attacks (rainbow tables) where an attacker has precalculated hashes for millions of common passwords.	Without salt: if two users have password "abc123", both rows in the database store the same hash. An attacker recognizes identical hashes and needs to crack only once.		no36_security_basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/security/MessageDigest.html	java::core::security java::interview
security-extra-011	When is Base64 legitimately useful in Java security contexts?	Base64 is legitimately used to encode binary data for text-based transport: encoding cryptographic public keys in PEM format, encoding binary hash outputs as strings for database storage, encoding JWTs for HTTP header transmission, and base64url encoding in OAuth tokens.	The key distinction: Base64 is used to make binary data text-safe, not to protect it. Any actual secret value must be encrypted, not just encoded, before transmission.		no36_security_basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Base64.html	java::core::security
security-extra-012	Explain what `KeyStore` stores and how it is used in TLS.	`KeyStore` stores private keys, public certificates, and symmetric keys in an encrypted binary file. For TLS, a server's `KeyStore` holds the server's private key and its certificate chain. A `TrustStore` (another KeyStore) holds trusted CA certificates for verifying peer certificates. Java's `SSLContext` is initialized with `KeyManagerFactory` and `TrustManagerFactory` that load these stores.	Tip: PKCS12 format (`.p12`, `.pfx`) is the modern standard. The older JKS format is proprietary to Java and considered legacy.		no36_security_basic/terms/01-key-terms.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/security/KeyStore.html	java::core::security java::interview
