ID	Text	Extra	Code	Source	Tags
enum-cloze-001	Every Java enum type implicitly extends the class {{c1::java.lang.Enum}}, which is why an enum cannot extend any other class.	Java only supports single class inheritance, and since every enum already inherits from `java.lang.Enum`, they cannot have another parent class.		no16_enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum
enum-cloze-002	Unlike standard classes, nested enums are implicitly {{c1::static}}, meaning they do not hold a reference to an outer class instance.	You do not need to (and cannot) declare nested enums with the `static` modifier manually; it is implicitly done by the compiler.		no16_enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum
enum-cloze-003	Java enum constructors must be {{c1::private}}, and trying to declare them as public or protected results in a compile-time error.	Since enums have a fixed set of constants initialized at class-load time, instantiation via `new` from outside is forbidden.		no16_enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum
enum-cloze-004	To maintain the immutability of enum constants, it is highly recommended to declare all enum instance fields as {{c1::final}}.	Mutable instance fields on enum constants can lead to dangerous race conditions and global state contamination since enum constants are JVM-level singletons.		no16_enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum
enum-cloze-005	When an enum defines an {{c1::abstract}} method, each individual enum constant must implement that method in its own constant-specific class body.	This acts as a clean alternative to switch statements for constant-specific behavior, leveraging polymorphism instead.		no16_enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum
enum-cloze-006	The compiler-generated static method {{c1::values()}} returns a cloned array copy of all constants, which can cause GC overhead in hot loops.	Because arrays are mutable, the JVM clones the array on every call to prevent users from modifying the internal enum constants array.		no16_enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum
enum-cloze-007	The static method {{c1::valueOf(String name)}} is case-sensitive and throws an {{c2::IllegalArgumentException}} if no constant matches the given string.	"For example, `Season.valueOf(""spring"")` will throw an exception if the constant is declared as `SPRING`. It also throws `NullPointerException` if the input is null."		no16_enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum
enum-cloze-008	The {{c1::ordinal()}} method returns the zero-based declaration index of an enum constant, which should never be used for database serialization.	If you insert or reorder enum constants, their ordinal indexes will change, causing existing records in database to point to incorrect states.		no16_enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum
enum-cloze-009	Unlike `toString()`, the {{c1::name()}} method is declared {{c2::final}} in `java.lang.Enum`, guaranteeing it always returns the exact declared identifier.	This makes `name()` the safest choice for serialization and database persistence where a predictable, non-overridable string is needed.		no16_enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum
enum-cloze-010	When using an enum inside a switch statement, the case labels must be the {{c1::unqualified}} name of the constant.	For example, use `case RED:` instead of `case Color.RED:`. Also, if the selector enum variable is null, a `NullPointerException` is thrown.		no16_enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum
enum-cloze-011	Although enums cannot extend other classes, they can implement {{c1::interfaces}}, which allows them to participate in polymorphic operations.	Enums can implement interfaces by implementing the methods at the enum class level or by having each constant override the methods individually.		no16_enum/theory/02-enum-implements-interface-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum
enum-cloze-012	A single-element enum is the recommended way to implement a Singleton because the JVM prevents duplicate instances during {{c1::serialization}} and blocks reflection instantiation.	Calling `Constructor.newInstance()` on an enum type throws an `IllegalArgumentException`. Java serialization handles enums uniquely by transmitting only the constant name.		no16_enum/theory/02-enum-implements-interface-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum
enum-cloze-013	Java serialization prevents duplicate instances of an enum Singleton by writing only the constant {{c1::name}} to the stream, rather than the object data.	During deserialization, the JVM uses the name to look up the existing instance using `Enum.valueOf()`, ensuring no duplicate instances are created in memory.		no16_enum/theory/02-enum-implements-interface-concepts.md | https://docs.oracle.com/javase/specs/jls/se21/html/jls-8.html#jls-8.9	java::core::enum
enum-cloze-014	When an enum constant has a constant-specific class body, the compiler generates a separate {{c1::anonymous subclass}} for that specific constant at compile time.	For example, if `Season.SPRING` has a class body, it is compiled as `Season$1.class` extending the base enum class.		no16_enum/theory/02-enum-implements-interface-concepts.md | https://docs.oracle.com/javase/specs/jls/se21/html/jls-8.html#jls-8.9	java::core::enum
