ID	Text	Extra	Code	Source	Tags
object_class-cloze-001	In Object class, {{c1::toString()}} is a concept you should define, apply, and connect to common mistakes.	Overriding it provides a concise but informative representation of the object state, which is crucial for logging and debugging. Make sure not to print sensitive data like passwords.		no14_object_class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-cloze-002	In Object class, {{c1::equals()}} is a concept you should define, apply, and connect to common mistakes.	To compare objects based on field values, override equals(Object obj). If you override equals(), you must also override hashCode() to maintain their joint contract.		no14_object_class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-cloze-003	In Object class, {{c1::hashCode()}} is a concept you should define, apply, and connect to common mistakes.	Equal objects must return the same hash code. Unequal objects do not require distinct hash codes, but distinct hashes reduce bucket collisions, improving lookup performance to O(1).		no14_object_class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-cloze-004	In Object class, {{c1::getClass()}} is a concept you should define, apply, and connect to common mistakes.	Unlike `instanceof` (which checks hierarchy), `getClass() == Other.class` verifies exact class matching. Useful in `equals()` to reject subclasses.		no14_object_class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-cloze-005	In Object class, {{c1::clone()}} is a concept you should define, apply, and connect to common mistakes.	Object.clone() performs a shallow copy by default, copying primitive values and object references (not the referenced objects). Deep copies require manual nested cloning.		no14_object_class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-cloze-006	In Object class, {{c1::finalize() deprecated}} is a concept you should define, apply, and connect to common mistakes.	It is deprecated due to non-deterministic execution, performance overhead, and finalizer attack security risks. Use AutoCloseable with try-with-resources instead.		no14_object_class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-cloze-007	In Object class, {{c1::wait()}} is a concept you should define, apply, and connect to common mistakes.	Must be called from a synchronized context on the same object, otherwise throws IllegalMonitorStateException. Always call in a loop checking the condition.		no14_object_class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-cloze-008	In Object class, {{c1::notify()}} is a concept you should define, apply, and connect to common mistakes.	Must be called from a synchronized context. The awakened thread cannot run until the current thread releases the lock and it successfully re-acquires it.		no14_object_class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-cloze-009	In Object class, {{c1::notifyAll()}} is a concept you should define, apply, and connect to common mistakes.	Preferred over notify() because it avoids deadlocks from waking up threads that cannot progress. All woken threads compete for the object monitor once released.		no14_object_class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-cloze-010	In Object class, {{c1::Why overriding equals() means you should also override hashCode()}} is a concept you should define, apply, and connect to common mistakes.	If equals() is overridden but hashCode() is not, two equal keys will hash to different buckets, making it impossible to retrieve values via map.get(equalKey).		no14_object_class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-cloze-011	In Object class, {{c1::Contract of equals()}} is a concept you should define, apply, and connect to common mistakes.	- Reflexive: x.equals(x)\n- Symmetric: x.equals(y) <=> y.equals(x)\n- Transitive: x.equals(y) && y.equals(z) => x.equals(z)\n- Consistent: output matches if state is unchanged\n- Null-hostile: x.equals(null) is false.		no14_object_class/theory/02-contract-of-equals-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-cloze-012	In Object class, {{c1::Contract of hashCode()}} is a concept you should define, apply, and connect to common mistakes.	Consistent: returns the same int in an execution if fields are unchanged. Equal: a.equals(b) => a.hashCode() == b.hashCode(). Unequal: distinct hashes are recommended for performance.		no14_object_class/theory/02-contract-of-equals-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-cloze-013	In Object class, {{c1::Comparing objects by reference and by value}} is a concept you should define, apply, and connect to common mistakes.	"For example, String s1 = new String(""a""); String s2 = new String(""a""); has s1 != s2 (reference equality fails) but s1.equals(s2) is true (value equality holds)."		no14_object_class/theory/02-contract-of-equals-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-cloze-014	String concatenation and System.out.println() implicitly call {{c1::String.valueOf()}}, which internally invokes the object's {{c2::toString()}} method.	If the object is null, String.valueOf() returns the string "null". If it is not null, it calls toString().		no14_object_class/theory/01-tostring-concepts.md | https://docs.oracle.com/javase/specs/jls/se21/html/jls-15.html#jls-15.18.1	java::core::object-class
object_class-cloze-015	Modern JVMs generate identity hash codes using pseudorandom number generators or thread-local states, caching the value in the object's {{c1::Mark Word::header location}}.	This caching guarantees that the identityHashCode remains stable and consistent even when the Garbage Collector moves the object in physical memory.		no14_object_class/theory/02-contract-of-equals-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/System.html#identityHashCode(java.lang.Object)	java::core::object-class


