ID	Text	Extra	Code	Source	Tags
stream_api-cloze-001	Java streams are {{c1::lazily}} evaluated, meaning intermediate operations do not process elements until a {{c2::terminal}} operation is called.	This lazy pipeline structure is built by wrapping upstream Sink objects in downstream Sinks.		23-stream-api/theory/05-lazy-evaluation-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/package-summary.html	java::core::stream-api
stream_api-cloze-002	Using `peek()` for {{c1::state mutation}} is dangerous because modern JVM optimizations can bypass pipeline traversal when the terminal operation is {{c2::count()}}.	Modern JDKs skip evaluating intermediate steps if they don't affect stream size during count calculations.	long count = list.stream().peek(x -> x.setVal(0)).count();	23-stream-api/theory/03-peek-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/Stream.html#peek(java.util.function.Consumer)	java::core::stream-api java::interview
stream_api-cloze-003	`map()` performs a {{c1::one-to-one}} transformation on elements, whereas `flatMap()` performs a {{c2::one-to-many}} mapping and flattens nested streams.	flatMap merges individual streams into a single downstream stream and automatically closes them.	Stream<String> flat = list.stream().flatMap(Collection::stream);	23-stream-api/theory/02-longstream-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/Stream.html#flatMap(java.util.function.Function)	java::core::stream-api
stream_api-cloze-004	Standard generic streams store {{c1::boxed object references}} on the heap, whereas primitive streams store {{c2::contiguous native values}} to avoid memory overhead.	Specialized primitive streams bypass the high memory layout overhead and garbage collection cycles of wrapper objects.	IntStream.of(1, 2, 3); // Operates on native primitives	23-stream-api/theory/01-what-is-stream-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/IntStream.html	java::core::stream-api
stream_api-cloze-005	Parallel streams distribute tasks to the global {{c1::ForkJoinPool.commonPool()}}, which can lead to starvation if tasks perform {{c2::blocking I/O}}.	Because the common ForkJoinPool is shared JVM-wide, blocking threads inside it degrades the performance of all other parallel operations.		23-stream-api/theory/05-lazy-evaluation-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/concurrent/ForkJoinPool.html	java::core::stream-api java::interview
stream_api-cloze-006	`Collectors.partitioningBy` takes a {{c1::Predicate}} and returns a map with exactly two keys: {{c2::Boolean.TRUE and Boolean.FALSE}}.	Unlike groupingBy, partitioningBy's map always contains both keys, even if the stream is empty or no elements match.	Map<Boolean, List<String>> split = stream.collect(Collectors.partitioningBy(Predicate));	23-stream-api/theory/06-partitioningby-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/Collectors.html#partitioningBy(java.util.function.Predicate)	java::core::stream-api
stream_api-cloze-007	Calling a terminal operation on a consumed stream throws {{c1::IllegalStateException}} because streams cannot be {{c2::reused}}.	Once a terminal operation completes, the stream's pipeline is closed permanently.	Stream<Integer> s = Stream.of(1);\ns.count();\ns.forEach(System.out::println); // Throws exception	23-stream-api/theory/01-what-is-stream-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/package-summary.html	java::core::stream-api
stream_api-cloze-008	Stateful intermediate operations like {{c1::sorted()}} and {{c2::distinct()}} require buffering all stream elements in memory before processing downstream.	This buffering breaks lazy processing streams and will cause infinite loops or OutOfMemory errors on infinite streams.	stream.sorted().map(x -> x * 2); // Blocks here until all elements are read	23-stream-api/theory/02-longstream-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/Stream.html#sorted()	java::core::stream-api
stream_api-cloze-009	Short-circuiting operations like {{c1::limit()}} and {{c2::anyMatch()}} allow streams to process {{c3::infinite}} data sources without hanging.	They stop the iteration process early as soon as size limits or matching predicates are satisfied.	Stream.iterate(0, i -> i + 1).limit(5); // Stops after 5 elements	23-stream-api/theory/05-lazy-evaluation-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/package-summary.html	java::core::stream-api
stream_api-cloze-010	`Collectors.toMap` throws an exception on key collisions unless you provide a third argument called a {{c1::merge function}}.	The merge function resolves collisions by defining which value to keep or how to aggregate them.	Collectors.toMap(String::length, s -> s, (oldVal, newVal) -> oldVal)	23-stream-api/theory/05-lazy-evaluation-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/Collectors.html#toMap(java.util.function.Function,java.util.function.Function)	java::core::stream-api
stream_api-cloze-011	Arrays and `ArrayList` split in {{c1::O(1)}} time using a Spliterator, whereas `LinkedList` requires {{c2::O(N)}} sequential traversal to divide.	ArrayList is highly efficient for parallel streams because it splits indexes instantly. LinkedList destroys parallel gains due to traversal overhead.		23-stream-api/theory/05-lazy-evaluation-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/package-summary.html	java::core::stream-api
stream_api-cloze-012	Primitive streams provide specialized terminal aggregate methods like {{c1::sum()}}, {{c2::average()}}, and {{c3::summaryStatistics()}} which are absent on reference streams.	This allows efficient statistics collection without object boxing wrapper overhead.	IntSummaryStatistics stats = IntStream.of(1, 2).summaryStatistics();	23-stream-api/theory/01-what-is-stream-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/stream/IntStream.html	java::core::stream-api
