ID	Front	Back	Extra	Code	Source	Tags
exception-extra-001	Explain the philosophical design distinction that separates checked and unchecked exceptions in Java.	Checked exceptions model external environment failures (I/O, network, database) where the failure is expected and recoverable — the caller should consciously decide to handle or propagate. Unchecked exceptions model programming bugs (null dereference, wrong index) where forcing a try-catch everywhere would produce unreadably verbose code. Callers should fix bugs, not catch them.	This design is controversial. Checked exceptions are criticized for "exception pollution" where a low-level checked exception forces all callers up the stack to declare it. Many modern frameworks (Spring, Hibernate) wrap checked exceptions in unchecked ones for this reason.		no12_exception_handling/theory/01-what-is-an-exception-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling java::interview
exception-extra-002	Explain the JVM mechanism that guarantees finally executes even when return is reached in try.	The compiler generates bytecode that inserts the `finally` block instructions at every possible exit path from the `try` block: normal completion, exception thrown, `return`, `break`, and `continue`. When `return` is reached, the JVM saves the return value in a temporary register, executes the `finally` block, then resumes with the saved return value.	Anti-pattern: if `finally` itself contains a `return`, it overrides the saved return value from `try` AND silently swallows any exception that was being propagated through the `finally` context. This is why returning from `finally` is a serious bug.		no12_exception_handling/theory/02-finally-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling java::interview
exception-extra-003	Explain why try-with-resources solves a subtle bug in manual finally that causes exception loss.	With manual `finally`, if the `try` body throws an exception AND the `close()` call in `finally` also throws, the `close()` exception replaces the original exception — the original failure cause is silently discarded. Try-with-resources uses exception suppression: the `close()` exception is attached to the original exception as a "suppressed exception" (`e.getSuppressed()`), preserving the original failure cause.	This is a real production issue. In pre-Java 7 code, resources closed in `finally` could mask the actual exception. Developers would see "connection reset" from `close()` instead of the original "SQL syntax error" that caused the problem.		no12_exception_handling/theory/02-finally-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/AutoCloseable.html	java::core::exception-handling java::interview
exception-extra-004	Explain why exception chaining matters for debugging and what e.getCause() traversal reveals.	Exception chaining stores the full original exception as the "cause" of a higher-level exception. When the application crashes or logs the stack trace, the entire cause chain is printed — each layer's exception and stack trace visible in sequence. Without chaining, wrapping a low-level exception in a new high-level exception discards all evidence of the root cause. Developers see only the generic high-level message and have no way to identify the underlying failure.	Production systems often have 4–5 layers of wrapping (driver → DAO → service → controller). A broken cause chain at any layer forces developers to add extra logging and reproduce the issue to find the root cause.		no12_exception_handling/theory/02-finally-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling java::interview
exception-extra-005	Explain the bug masking problem that occurs when catching Exception or Throwable broadly.	A broad catch of `Exception` catches ALL exception types — both the expected ones and completely unrelated ones. If a `NullPointerException` (a programming bug) is thrown inside the try block, it is caught by `catch (Exception e)` and treated as if it was the expected exception (e.g., file not found). The bug is silently misclassified, and the developer investigates the wrong problem. The real bug (null dereference) remains unfixed.	Catching `Throwable` is even worse: it catches `Error` subclasses like `OutOfMemoryError` and `StackOverflowError`, which indicate catastrophic JVM state. After catching `OOM`, the application may continue running in a corrupt state.		no12_exception_handling/theory/01-what-is-an-exception-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling java::interview
exception-extra-006	Why must multiple catch blocks be ordered from most specific to most general exception type?	Java evaluates catch blocks top-to-bottom. If a parent exception type (`IOException`) appears before a child type (`FileNotFoundException`), the parent catches all instances of the child type as well — making the child catch block permanently unreachable. The compiler detects this at compile time and rejects it with "exception already been caught."	This is a type system consistency rule: a subtype IS-A instance of the supertype. `FileNotFoundException` IS-A `IOException`, so an `IOException` catch block catches it. Once a parent catches a child, the child catch is dead code.		no12_exception_handling/theory/01-what-is-an-exception-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling java::interview
exception-extra-007	Explain the exception swallowing anti-pattern and why it is worse than not catching the exception at all.	Exception swallowing catches an exception without logging, handling, or re-throwing it. The failure becomes completely invisible — the application continues as if nothing went wrong, in a potentially corrupted state. Not catching the exception would propagate it up the call stack and eventually print a stack trace, giving the developer evidence of the failure. Swallowing removes even that evidence.	Two swallowing patterns: 1) empty catch block (catches, ignores), 2) `return` or `throw` from `finally` (replaces the propagating exception). Both are considered bugs.		no12_exception_handling/theory/02-finally-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling java::interview
exception-extra-008	Explain when to extend Exception vs RuntimeException when creating a custom exception class.	Extend `Exception` when the failure represents an external condition the caller should explicitly handle: network unavailability, resource not found, data access failure. The compiler will enforce handling, making the API contract visible. Extend `RuntimeException` when the failure represents a programming contract violation (illegal argument, illegal state, unsupported operation). The caller is not expected to recover from these — they indicate misuse of the API.	Many frameworks (Spring, JPA) wrap all checked exceptions in RuntimeExceptions to avoid checked exception propagation through service layers. This is a legitimate design choice for internal APIs where the framework guarantees recovery.		no12_exception_handling/theory/02-finally-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling java::interview
exception-extra-009	Explain what happens to exception propagation when an exception reaches the JVM thread root without being caught.	When no catch block in any frame of the call stack handles the exception, it propagates all the way to the thread's uncaught exception handler. For the main thread, the JVM prints the exception class name, message, and full stack trace to `System.err`, then terminates the thread. For other threads, the exception terminates that thread but not the JVM (unless it's the last thread). An uncaught exception handler can be registered with `Thread.setDefaultUncaughtExceptionHandler()`.	This behavior explains why a single unhandled exception in a background thread does NOT crash a server — the main thread and other worker threads continue running. But the failed thread is dead, which can cause cascading failures if not monitored.		no12_exception_handling/theory/01-what-is-an-exception-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling java::interview
exception-extra-010	Explain what suppressed exceptions are in try-with-resources and how to retrieve them.	When `try-with-resources` automatically calls `close()` on resources, if both the `try` body AND a `close()` call throw exceptions, the `close()` exception is added to the primary exception as a "suppressed exception" using `Throwable.addSuppressed()`. The primary exception is not replaced. Suppressed exceptions can be retrieved with `primaryException.getSuppressed()` — returns an array of suppressed `Throwable` objects.	This was added specifically to fix the pre-Java 7 resource-closing bug where `close()` exceptions replaced the original exception in `finally`. You can also call `addSuppressed()` manually in custom code if you need the same behavior.		no12_exception_handling/theory/02-finally-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/AutoCloseable.html	java::core::exception-handling java::interview
