ID	Front	Back	Code	Source	Tags
collections_framework-basic-001	What is the root interface of the Java Collections hierarchy that allows objects to be traversed using a for-each loop?	Iterable (specifically java.lang.Iterable)		no19_collections_framework/terms/01-key-terms.md	java::core::collections-framework java::term
collections_framework-basic-002	What is the root interface of the collections framework hierarchy (like List, Set, Queue) that represents a group of elements and defines common operations?	Collection (specifically java.util.Collection)		no19_collections_framework/terms/01-key-terms.md	java::core::collections-framework java::term
collections_framework-basic-003	What is the primary sorting/navigation interface that TreeSet and TreeMap rely on, rather than using Object.equals()?	Comparable (or Comparator)		no19_collections_framework/theory/03-treeset-concepts.md	java::core::collections-framework
collections_framework-basic-004	What is a fail-fast iterator?	An iterator that throws ConcurrentModificationException immediately if the backing collection is structurally modified during iteration (via methods other than the iterator's own).		no19_collections_framework/terms/01-key-terms.md	java::core::collections-framework java::term
collections_framework-basic-005	Why does ArrayList resize by 1.5x?	1.5x is a mathematical sweet spot: it bounds resizing frequency (amortizing appends to O(1)) while keeping memory waste reasonable and allowing memory reuse in subsequent allocations.		no19_collections_framework/theory/02-arraylist-concepts.md	java::core::collections-framework java::interview
collections_framework-basic-006	What native method is called under the hood when ArrayList resizes?	System.arraycopy() (via Arrays.copyOf()) which performs a fast native memory transfer of elements to a new array.		no19_collections_framework/theory/02-arraylist-concepts.md	java::core::collections-framework
collections_framework-basic-007	Why is modifying a List directly inside a for-each loop a bug?	A for-each loop uses an iterator internally. Modifying the list directly (e.g. list.remove()) alters modCount but not expectedModCount, causing next() to throw ConcurrentModificationException.		no19_collections_framework/theory/06-fail-fast-iterator-concepts.md	java::core::collections-framework
collections_framework-basic-008	What is the default growth factor for an ArrayList resizing operation?	1.5x (using the formula: newCapacity = oldCapacity + (oldCapacity >> 1)).		no19_collections_framework/theory/02-arraylist-concepts.md	java::core::collections-framework
collections_framework-basic-009	What exception is thrown when a fail-fast iterator detects structural modification of a collection during traversal?	ConcurrentModificationException		no19_collections_framework/terms/01-key-terms.md	java::core::collections-framework java::term
collections_framework-basic-010	How does a fail-safe or weakly-consistent iterator avoid throwing ConcurrentModificationException?	It operates on an independent copy (snapshot) of the backing array or a weakly consistent view, meaning modifications to the live collection do not affect the iteration source.		no19_collections_framework/theory/06-fail-fast-iterator-concepts.md	java::core::collections-framework
collections_framework-basic-011	What structural corruption occurs in HashMap if you override equals() but not hashCode()?	Logical duplicate keys can end up in different bucket indices, making retrieval of existing elements fail (returns null) and causing duplicate key-value entries.		no19_collections_framework/theory/04-linkedlist-as-queue-concepts.md	java::core::collections-framework java::interview
collections_framework-basic-012	Why does TreeSet/TreeMap ignore equals() for duplicate detection?	It relies entirely on comparison results (compareTo() or compare() returning 0) to determine duplicates and position nodes within its Red-Black tree.		no19_collections_framework/theory/03-treeset-concepts.md	java::core::collections-framework
collections_framework-basic-013	What is the runtime complexity of adding an element to TreeSet?	O(log N) because it must traverse the self-balancing Red-Black binary search tree.		no19_collections_framework/theory/03-treeset-concepts.md	java::core::collections-framework
collections_framework-basic-014	Why does ConcurrentHashMap reject null keys and null values?	To avoid ambiguity in concurrent environments: preventing a race condition where calling containsKey() after get() returns null cannot tell if the key has a null value or is absent.		no19_collections_framework/theory/05-concurrenthashmap-concepts.md	java::core::collections-framework java::interview
collections_framework-basic-015	How does ConcurrentHashMap achieve thread safety without locking the entire map for additions?	It uses Compare-And-Swap (CAS) to insert nodes into empty buckets, and synchronizes only on the head node of the target bucket for write collisions.		no19_collections_framework/theory/05-concurrenthashmap-concepts.md	java::core::collections-framework
collections_framework-basic-016	What is the key difference between Collections.unmodifiableList() and List.copyOf()?	unmodifiableList returns a read-only wrapper view pointing to the live backing list, whereas List.copyOf returns a fully isolated, immutable copy.		no19_collections_framework/theory/07-collections-unmodifiablelist-concepts.md	java::core::collections-framework java::interview
