ID	Text	Extra	Code	Source	Tags
collections_framework-cloze-001	ArrayList grows its capacity by {{c1::1.5}}x when it exceeds its size limit.	Growing by 1.5x avoids excessive memory waste and bounds resizing frequency.		no19_collections_framework/theory/02-arraylist-concepts.md	java::core::collections-framework
collections_framework-cloze-002	Under the hood, ArrayList resizing delegates to {{c1::System.arraycopy()}} to move elements to the new array.	This is a native JVM operation that is highly optimized.		no19_collections_framework/theory/02-arraylist-concepts.md	java::core::collections-framework
collections_framework-cloze-003	A HashMap keys contract states: if `a.equals(b)` is true, then `a.hashCode() {{c1::==}} b.hashCode()` must be true.	If this contract is violated, key lookup fails because the map searches in the wrong bucket.		no19_collections_framework/theory/04-linkedlist-as-queue-concepts.md	java::core::collections-framework java::interview
collections_framework-cloze-004	TreeSet and TreeMap rely on {{c1::Comparable}} or {{c2::Comparator}} to detect duplicates and order elements.	TreeSet completely ignores equals() and hashCode() for duplicate detection.		no19_collections_framework/theory/03-treeset-concepts.md	java::core::collections-framework
collections_framework-cloze-005	If `compareTo()` returns {{c1::0}} for two distinct objects in a TreeSet, the second object will be rejected.	A comparison result of 0 is treated by the Red-Black tree as a duplicate entry.		no19_collections_framework/theory/03-treeset-concepts.md	java::core::collections-framework
collections_framework-cloze-006	ConcurrentHashMap uses {{c1::Compare-And-Swap (CAS)}} to write to empty buckets without locking.	If the bucket is not empty, it locks the head node of that bucket using a synchronized block.		no19_collections_framework/theory/05-concurrenthashmap-concepts.md	java::core::collections-framework
collections_framework-cloze-007	ConcurrentHashMap locks only the {{c1::head}} node of a bucket when resolving write collisions.	This bucket-level locking allows other threads to write to different buckets concurrently.		no19_collections_framework/theory/05-concurrenthashmap-concepts.md	java::core::collections-framework
collections_framework-cloze-008	Fail-fast iterators throw {{c1::ConcurrentModificationException}} if structural modifications are detected.	It detects this by comparing the collection's live modCount with the iterator's expectedModCount.		no19_collections_framework/terms/01-key-terms.md	java::core::collections-framework java::term
collections_framework-cloze-009	The iterator for CopyOnWriteArrayList operates on a {{c1::snapshot}} of the array.	This snapshot does not change when elements are added or removed, preventing modification conflicts.		no19_collections_framework/theory/06-fail-fast-iterator-concepts.md	java::core::collections-framework
collections_framework-cloze-010	`Collections.unmodifiableList()` returns an unmodifiable {{c1::view}}, meaning changes to the backing list are still visible through it.	Contrast this with List.copyOf(), which returns a fully isolated immutable list.		no19_collections_framework/theory/07-collections-unmodifiablelist-concepts.md	java::core::collections-framework
collections_framework-cloze-011	`List.copyOf()` returns a fully {{c1::immutable}} collection that does not reference any original backing array.	It creates a new, isolated array structure holding the copied elements.		no19_collections_framework/theory/07-collections-unmodifiablelist-concepts.md	java::core::collections-framework
collections_framework-cloze-012	Standard iterators check for modification by comparing {{c1::modCount}} with {{c2::expectedModCount}}.	Any mismatch triggers a ConcurrentModificationException immediately.		no19_collections_framework/theory/06-fail-fast-iterator-concepts.md	java::core::collections-framework
