ID	Question	Code	Answer	Explanation	Source	Tags
annotation-code-001	Why does this compile-time check help?	"@Override\npublic String toString() {\n    return ""User"";\n}"	The compiler verifies that the method really overrides a superclass method.	`@Override` catches spelling/signature mistakes early.	no17_annotation/README.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation java::code
annotation-code-002	Explain the syntax to declare a custom annotation in Java.	"// Define a custom annotation named MyConfig\npublic @interface MyConfig {\n    String value();\n}"	"public @interface MyConfig { String value(); }"	"Custom annotations are declared using the '@interface' keyword. Element members are defined like parameterless methods."	no17_annotation/theory/02-documented-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation java::code
annotation-code-003	Identify the built-in annotations defined in java.lang that support compiler checks.	"// Name at least three standard built-in annotations used for compiler checks"	"@Override, @Deprecated, @SuppressWarnings, @SafeVarargs, @FunctionalInterface"	"These annotations are processed directly by the compiler to enforce constraints, suppress warnings, or mark obsolete code."	no17_annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation java::code
annotation-code-004	What is the compilation result of subclassing Base and trying to override the private method?	"class Base {\n    private void display() {}\n}\nclass Sub extends Base {\n    @Override\n    public void display() {} \n}"	compile error	"Private methods in a superclass are not visible to subclasses and cannot be overridden. Thus, applying @Override to Sub's display() method results in a compilation error: method does not override or implement a method from a supertype."	no17_annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation java::code
annotation-code-005	What is the compilation result when compiling code that calls a method marked with 'forRemoval = true'?	"class Legacy {\n    @Deprecated(since = ""11"", forRemoval = true)\n    static void oldMethod() {}\n}\nclass Main {\n    public static void main(String[] args) {\n        Legacy.oldMethod();\n    }\n}"	compiles with deprecation warning	"Using a deprecated element compiles but generates a warning. If 'forRemoval = true' is specified, the compiler emits a terminal deprecation warning, alerting the developer that the API is slated to be completely removed in a future release."	no17_annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation java::code
annotation-code-006	How do you suppress compiler warnings for both deprecated method calls and unchecked casts on a single class member?	"// Write the @SuppressWarnings annotation to suppress deprecation and unchecked warnings"	"@SuppressWarnings({""deprecation"", ""unchecked""})"	"@SuppressWarnings accepts an array of strings. Multiple warnings can be suppressed by passing them as a comma-separated list enclosed in curly braces."	no17_annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation java::code
annotation-code-007	What is the compilation result of this @FunctionalInterface definition?	"@FunctionalInterface\ninterface Validator {\n    boolean isValid(String input);\n    default boolean isInvalid(String input) {\n        return !isValid(input);\n    }\n}"	compiles	"A functional interface must have exactly one abstract method. Default methods and static methods are not abstract and do not count against this limit."	no17_annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation java::code
annotation-code-008	What is the compilation result of this non-final instance method annotated with @SafeVarargs?	"class Printer {\n    @SafeVarargs\n    public <T> void printItems(T... items) {}\n}"	compile error	"@SafeVarargs can only be applied to static methods, final instance methods, or private instance methods (since Java 9). Since printItems is a non-final public instance method, it can be overridden, which makes it illegal to annotate with @SafeVarargs."	no17_annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation java::code
annotation-code-009	Explain the concept of meta-annotations and list at least three standard meta-annotations.	"// Define what meta-annotations are and list three examples"	"Meta-annotations are annotations applied to other annotation declarations. Examples: @Retention, @Target, @Documented, @Inherited, @Repeatable."	"Meta-annotations configure the behavior, scope, lifecycle, and inheritance rules of custom annotations."	no17_annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation java::code
annotation-code-010	What is the compilation result of trying to apply @FieldOnly to a local variable?	"import java.lang.annotation.*;\n@Target(ElementType.FIELD)\n@interface FieldOnly {}\n\nclass Test {\n    void run() {\n        @FieldOnly int x = 10;\n    }\n}"	compile error	"The @Target(ElementType.FIELD) meta-annotation limits @FieldOnly application exclusively to fields. Applying it to a local variable triggers a compilation error."	no17_annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation java::code
annotation-code-011	What is the default retention policy if no @Retention meta-annotation is specified?	"@interface Simple {}\n// What is the RetentionPolicy of @Simple?"	"RetentionPolicy.CLASS"	"If @Retention is omitted, the default policy is RetentionPolicy.CLASS. The annotation is recorded in the .class file but discarded by the JVM, making it inaccessible via Reflection at runtime."	no17_annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation java::code
annotation-code-012	How do you ensure a custom annotation @Beta is included in the Javadoc of classes annotated with it?	"// Add the appropriate meta-annotation to include @Beta in generated Javadoc\npublic @interface Beta {}"	"@Documented\npublic @interface Beta {}"	"The @Documented meta-annotation instructs the javadoc tool to document the use of this annotation in public API documentation."	no17_annotation/theory/02-documented-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation java::code
annotation-code-013	What is printed if Parent implements an annotated interface?	"import java.lang.annotation.*;\n@Inherited\n@Retention(RetentionPolicy.RUNTIME)\n@interface MyTag {}\n\n@MyTag interface Custom {}\nclass Parent implements Custom {}\n\npublic class Main {\n    public static void main(String[] args) {\n        System.out.println(Parent.class.isAnnotationPresent(MyTag.class));\n    }\n}"	false	"@Inherited only causes annotations to be inherited from superclasses to subclasses. It does NOT inherit annotations from interfaces to implementing classes."	no17_annotation/theory/02-documented-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation java::code
annotation-code-014	What is the compilation result of this repeatable annotation structure?	"import java.lang.annotation.*;\n@Repeatable(Tags.class)\n@interface Tag {\n    String value();\n}\n@interface Tags {\n    Tag[] value();\n}"	compiles	"To declare a repeatable annotation @Tag, you must associate it with a container annotation @Tags using @Repeatable. The container annotation must define a value() method returning an array of the repeatable type (Tag[])."	no17_annotation/theory/02-documented-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation java::code
annotation-code-015	What is the compilation result of this custom annotation declaring an Integer element?	"@interface Config {\n    Integer count() default 0;\n}"	compile error	"Annotation elements cannot return object wrapper classes (like Integer, Double, or Boolean). They are restricted to primitive types, String, Class, enums, other annotations, and 1D arrays of these types."	no17_annotation/theory/02-documented-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation java::code
annotation-code-016	What is the compilation result of this annotation declaration and its usage?	"@interface Info {\n    String value();\n    int level() default 1;\n}\n\n@Info(""Demo"")\nclass Main {}"	compiles	"Elements with default values do not need to be explicitly specified when the annotation is applied. The element named 'value' is special; if it is the only element without a default value, its name can be omitted when applying the annotation (e.g., @Info(""Demo"") is equivalent to @Info(value=""Demo""))."	no17_annotation/theory/02-documented-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation java::code
annotation-code-017	What is the compilation result of trying to place @ServiceConfig on a method?	"import java.lang.annotation.*;\n\n@Target(ElementType.TYPE)\n@interface ServiceConfig {}\n\nclass Demo {\n    @ServiceConfig\n    void doSomething() {}\n}"	compile error	"The custom annotation @ServiceConfig is annotated with @Target(ElementType.TYPE), which restricts its application to class, interface, enum, or record declarations. Placing it on a method declaration results in a compile-time error."	no17_annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation java::code
annotation-code-018	What is printed by this reflection check?	"import java.lang.annotation.*;\n\n@Inherited\n@Retention(RetentionPolicy.RUNTIME)\n@interface Tx {}\n\n@Tx\ninterface Service {}\n\nclass MyService implements Service {}\n\npublic class Test {\n    public static void main(String[] args) {\n        System.out.println(MyService.class.isAnnotationPresent(Tx.class));\n    }\n}"	false	"@Inherited only causes annotations to be inherited from superclasses to subclasses. It does NOT inherit annotations from interfaces to implementing classes. Since MyService implements the interface Service, the @Tx annotation is not inherited by MyService."	no17_annotation/theory/02-documented-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation java::code
annotation-code-019	What is printed when this program is executed?	"import java.lang.annotation.*;\n\n// No @Retention specified (default is CLASS)\n@interface WebRoute {\n    String path();\n}\n\n@WebRoute(path = ""/home"")\nclass IndexController {}\n\npublic class App {\n    public static void main(String[] args) {\n        System.out.println(IndexController.class.isAnnotationPresent(WebRoute.class));\n    }\n}"	false	"When no @Retention meta-annotation is specified, the default retention policy is RetentionPolicy.CLASS. This means the annotation is recorded in the .class file but discarded by the JVM at runtime. Therefore, it is not available via reflection, and isAnnotationPresent returns false."	no17_annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation java::code
