ID	Text	Extra	Code	Source	Tags
multithreading-cloze-001	In Multithreading, {{c1::Process vs Thread}} refers to: A process is an isolated execution environment with its own dedicated memory space (allocated by the OS). A thread is a lightweight execution path that runs inside a process and shares its memory (heap and method area) with other threads of that process.	Why it matters: Threads share memory to communicate extremely fast without OS-level overhead. However, sharing mutable state makes them vulnerable to race conditions, unlike processes which are strictly isolated. Gotcha: Assuming that thread static variables are private to each thread (they are shared) or that separate processes can access each other's memory directly without IPC.		28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-cloze-028	A strong review of {{c1::Process vs Thread}} should clarify that Do not confuse process-level memory isolation with thread-level stack safety. Threads share heap data, but their execution stacks are strictly private.	More detail: Process has separate virtual memory; Thread shares heap/method area but has its own call stack and program counter. Threads are lightweight and communicate directly via shared memory, but require careful synchronization.		28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-cloze-002	In Multithreading, {{c1::Create thread using:}} refers to: Threads can be created by subclassing `Thread`, implementing `Runnable`, or implementing `Callable` (which returns a result and can throw checked exceptions).	Why it matters: Decouples task logic from thread execution. Implementing interfaces preserves the single class inheritance slot. Gotcha: Calling `.run()` instead of `.start()`, which runs the code synchronously in the calling thread instead of spawning a new OS thread.		28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-cloze-029	A strong review of {{c1::Create thread using:}} should clarify that Do not assume implementing `Runnable` or `Callable` allocates a thread on its own. You must pass them to a `Thread` or `ExecutorService` to execute.	More detail: Subclassing Thread binds task to runner; implementing Runnable allows loose coupling and lambda expressions. Callable extends this by returning a Future result and allowing checked exceptions.		28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-cloze-003	In Multithreading, {{c1::extends Thread}} refers to: Inheriting from `java.lang.Thread` and overriding `run()`. The thread is executed by calling its `start()` method.	Why it matters: It is the simplest way to define thread tasks for small applications, though it limits class design options. Gotcha: Subclassing `Thread` when the class already needs to inherit from a base service class (causing a compiler error).		28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-cloze-030	A strong review of {{c1::extends Thread}} should clarify that Do not call `super.run()` inside your overridden `run()` method unless you explicitly want the default empty behavior of the `Runnable` task inside `Thread`.	"More detail: Binds task logic directly to thread execution structure. Example: `class MyThread extends Thread { @Override public void run() { System.out.println(\""MyThread\""); } }`. This limits class design as Java only allows single inheritance."		28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-cloze-004	In Multithreading, {{c1::implements Runnable}} refers to: Implementing the `java.lang.Runnable` functional interface containing a single `run()` method returning `void` and throwing no checked exceptions.	Why it matters: Decouples task logic from the execution environment. The same `Runnable` instance can be passed to multiple thread runners or thread pools. Gotcha: Trying to throw checked exceptions directly from the `run()` method without catching them.		28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-cloze-031	A strong review of {{c1::implements Runnable}} should clarify that Do not confuse `Runnable` (the task) with `Thread` (the worker). `Runnable` does not spawn a thread by itself.	"More detail: Allows lambda expressions: `Thread t = new Thread(() -> System.out.println(\""Run\""));`. This is highly flexible, clean, and separates task definition from execution details."		28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-cloze-005	In Multithreading, {{c1::implements Callable}} refers to: Implementing the `java.util.concurrent.Callable<V>` functional interface, which contains a `call()` method that returns a value of type `V` and can throw checked exceptions.	Why it matters: Enables threads to return results or propagate checked exceptions back to the parent thread. Gotcha: Calling `Future.get()` immediately after submit, which blocks the calling thread and defeats the purpose of asynchronous execution.		28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-cloze-032	A strong review of {{c1::implements Callable}} should clarify that Do not try to pass a `Callable` directly to `new Thread()`. It must be wrapped in a `FutureTask` first.	More detail: Run via `ExecutorService.submit(Callable)` which returns a `Future` containing the computation result. For example, `Future<Integer> f = executor.submit(() -> 42); Integer result = f.get();`.		28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-cloze-006	In Multithreading, {{c1::ExecutorService}} refers to: A thread pool manager from `java.util.concurrent` that decouples task submission from execution details.	Why it matters: Eliminates the overhead of creating/destroying individual threads manually and prevents system resource exhaustion under load. Gotcha: Forgetting to call `shutdown()` or `shutdownNow()` on the executor, causing the JVM to remain running indefinitely.		28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-cloze-033	A strong review of {{c1::ExecutorService}} should clarify that Do not assume `shutdown()` kills running tasks immediately. It only stops accepting new tasks. Use `shutdownNow()` to interrupt running workers.	More detail: Uses task queues and worker pools. Submits tasks via `submit()` or `execute()`. Lifecycle must be managed by calling `shutdown()` to prevent background threads from keeping the JVM alive indefinitely.		28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-cloze-007	In Multithreading, {{c1::Lifecycle of Thread:}} refers to: The lifecycle states defined by the JVM: NEW, RUNNABLE, BLOCKED, WAITING, TIMED_WAITING, and TERMINATED.	Why it matters: Understanding these states is crucial for debugging performance issues, locks, deadlocks, and thread leaks. Gotcha: Thinking a thread can be restarted or moved back to the `NEW` state once it reaches the `TERMINATED` state.		28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-cloze-034	A strong review of {{c1::Lifecycle of Thread:}} should clarify that Do not confuse `RUNNABLE` state with actually executing on a CPU. A thread in `RUNNABLE` might be waiting for the scheduler.	More detail: States transition based on lock acquisition, thread timing, and method calls like `wait()`, `notify()`, and `join()`. Check via `getState()`. A thread can never return to the NEW or RUNNABLE state once TERMINATED.		28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-cloze-008	In Multithreading, {{c1::New}} refers to: The state of a thread immediately after instantiation, before the `start()` method is called.	Why it matters: Indicates a Java heap object exists but no OS-level thread resources have been allocated yet. Gotcha: Attempting to modify thread properties like `daemon` or `priority` after the thread has already started.		28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-cloze-035	A strong review of {{c1::New}} should clarify that Do not think that allocating a `Thread` object immediately spawns an execution path in the operating system.	More detail: Represented by `Thread.State.NEW`. Spawns a thread and transitions to `RUNNABLE` upon calling `.start()`. At this point, the thread exists as a Java object but has no OS thread allocated yet.		28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-cloze-009	In Multithreading, {{c1::Runnable}} refers to: The thread state representing a thread that is either currently executing in the JVM or ready to execute, waiting for the OS thread scheduler.	Why it matters: Indicates the thread is active and ready to perform work. High counts without progress point to CPU starvation. Gotcha: Assuming `Thread.State.RUNNABLE` guarantees the thread is actively utilizing CPU cores at that exact millisecond.		28-multithreading/theory/02-runnable-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-cloze-036	A strong review of {{c1::Runnable}} should clarify that Do not confuse the state `Thread.State.RUNNABLE` with the interface `java.lang.Runnable`.	More detail: Java combines the OS 'Ready' and 'Running' states into one state: `RUNNABLE`. This means the thread is either currently executing on a CPU core or ready in the scheduler's queue waiting for its time slice.		28-multithreading/theory/02-runnable-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-cloze-010	In Multithreading, {{c1::Running}} refers to: The conceptual sub-state of `RUNNABLE` where a thread's instructions are actively executing on a CPU core.	Why it matters: Indicates the thread is actively making progress on execution. Gotcha: Expecting `thread.getState()` to return a state named `RUNNING` (there is no such state in `Thread.State`).		28-multithreading/theory/02-runnable-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
