ID	Front	Back	Code	Source	Tags
best_practices-basic-001	Why does descriptive naming in Java improve codebase maintainability?	It makes code self-documenting by revealing intent, avoiding disinformation, and providing clear distinctions, which reduces cognitive load when reading and modifying the logic.		no41_best_practices/theory/01-name-variables-functions-and-classes-clearly-concepts.md | https://docs.oracle.com/javase/specs/jls/se21/html/index.html	java::core::best-practices
best_practices-basic-002	What naming anti-patterns are prevented by adopting clean descriptive naming?	It prevents using obscure abbreviations, single-letter variable names (except as loop index counters), and Hungarian notation, all of which degrade readability as software systems scale.		no41_best_practices/theory/01-name-variables-functions-and-classes-clearly-concepts.md | https://docs.oracle.com/javase/specs/jls/se21/html/index.html	java::core::best-practices
best_practices-basic-003	Why does the JVM incur zero performance penalty for using long, descriptive local variable names in Java?	The Java compiler (javac) discards local variable names during compilation and translates them into numeric index offsets in the bytecode, meaning names carry no runtime or memory overhead.		no41_best_practices/theory/01-name-variables-functions-and-classes-clearly-concepts.md | https://docs.oracle.com/javase/specs/jls/se21/html/index.html	java::core::best-practices
best_practices-basic-004	What compile-time optimization does `javac` perform for `public static final` primitive or String constants?	The Java compiler performs constant inlining, substituting the literal constant value directly into the consuming class's bytecode to avoid runtime field lookup instructions.		no41_best_practices/theory/01-name-variables-functions-and-classes-clearly-concepts.md | https://docs.oracle.com/javase/specs/jls/se21/html/index.html	java::core::best-practices
best_practices-basic-005	What is the compilation dependency risk of Java's compile-time constant inlining optimization?	If a public static final constant's value is modified, all dependent classes referencing that constant must be recompiled; otherwise, they will continue using the old inlined bytecode value.		no41_best_practices/theory/01-name-variables-functions-and-classes-clearly-concepts.md | https://docs.oracle.com/javase/specs/jls/se21/html/index.html	java::core::best-practices
best_practices-basic-006	Why does the Return Early or Fail Fast guard-clause pattern reduce cognitive load compared to nested if-else blocks?	It handles validation and edge cases first, exiting immediately so the reader does not have to maintain a mental stack of preconditions while reviewing the main happy path.		no41_best_practices/theory/01-name-variables-functions-and-classes-clearly-concepts.md | https://docs.oracle.com/javase/specs/jls/se21/html/index.html	java::core::best-practices
best_practices-basic-007	How do guard clauses assist JIT compiler optimizations at the JVM level?	By avoiding deeply nested conditional structures, they produce a flatter Control Flow Graph in bytecode, which improves the JIT compiler's branch prediction and method inlining capability.		no41_best_practices/theory/01-name-variables-functions-and-classes-clearly-concepts.md | https://docs.oracle.com/javase/specs/jls/se21/html/index.html	java::core::best-practices
best_practices-basic-008	What is exception swallowing in Java?	Catching a thrown exception block but performing no recovery logic, logging, or propagation, which causes the application to continue running blindly as if nothing went wrong.		no41_best_practices/theory/02-do-not-swallow-exceptions-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::best-practices java::interview
best_practices-basic-009	How does exception swallowing affect the JVM's stack-unwinding mechanism during a runtime failure?	It intercepts the exception object and halts stack unwinding immediately without resolving the failure, discarding the diagnostic stack trace and causing subsequent operations to fail silently.		no41_best_practices/theory/02-do-not-swallow-exceptions-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::best-practices java::interview
best_practices-basic-010	When designing custom exceptions, what is the recovery rationale for extending checked Exception vs RuntimeException?	Extend checked Exception for recoverable business conditions that caller code must handle, and extend RuntimeException (unchecked) for unrecoverable errors like program bugs or invalid API payloads.		no41_best_practices/theory/02-do-not-swallow-exceptions-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::best-practices java::interview
