ID	Front	Back	Extra	Source	Tags
package_access_control-extra-001	Explain `What is a package?` deeply enough for review.	A package groups related classes and gives them a namespace.	Meaning: A package groups related classes and gives them a namespace. Why it matters: Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label. Example: When reading code, ask: what does `What is a package?` change, allow, reject, or clarify?	11-package-access-control/theory/01-what-is-a-package-concepts.md | https://docs.oracle.com/javase/tutorial/java/package/packages.html	java::core::package-access-control
package_access_control-extra-002	Explain `Create package` deeply enough for review.	A package groups related classes and gives them a namespace.	Meaning: A package groups related classes and gives them a namespace. Why it matters: Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label. Example: When reading code, ask: what does `Create package` change, allow, reject, or clarify?	11-package-access-control/theory/01-what-is-a-package-concepts.md | https://docs.oracle.com/javase/tutorial/java/package/packages.html	java::core::package-access-control
package_access_control-extra-003	Explain `Import package` deeply enough for review.	A package groups related classes and gives them a namespace.	Meaning: A package groups related classes and gives them a namespace. Why it matters: Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label. Example: When reading code, ask: what does `Import package` change, allow, reject, or clarify?	11-package-access-control/theory/01-what-is-a-package-concepts.md | https://docs.oracle.com/javase/tutorial/java/package/packages.html	java::core::package-access-control
package_access_control-extra-004	Explain `import static` deeply enough for review.	Static means the member belongs to the class rather than to one particular object.	Meaning: Static means the member belongs to the class rather than to one particular object. Why it matters: Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label. Example: `ClassName.member` accesses a class-level member.	11-package-access-control/theory/01-what-is-a-package-concepts.md | https://docs.oracle.com/javase/tutorial/java/package/packages.html	java::core::package-access-control
package_access_control-extra-005	Explain `Default package` deeply enough for review.	A package groups related classes and gives them a namespace.	Meaning: A package groups related classes and gives them a namespace. Why it matters: Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label. Example: When reading code, ask: what does `Default package` change, allow, reject, or clarify?	11-package-access-control/theory/01-what-is-a-package-concepts.md | https://docs.oracle.com/javase/tutorial/java/package/packages.html	java::core::package-access-control
package_access_control-extra-006	Explain `Package naming convention` deeply enough for review.	A package groups related classes and gives them a namespace.	Meaning: A package groups related classes and gives them a namespace. Why it matters: Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label. Example: When reading code, ask: what does `Package naming convention` change, allow, reject, or clarify?	11-package-access-control/theory/01-what-is-a-package-concepts.md | https://docs.oracle.com/javase/tutorial/java/package/packages.html	java::core::package-access-control
package_access_control-extra-007	Explain `Access between packages` deeply enough for review.	A package groups related classes and gives them a namespace.	Meaning: A package groups related classes and gives them a namespace. Why it matters: Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label. Example: When reading code, ask: what does `Access between packages` change, allow, reject, or clarify?	11-package-access-control/theory/01-what-is-a-package-concepts.md | https://docs.oracle.com/javase/tutorial/java/package/packages.html	java::core::package-access-control
package_access_control-extra-008	Explain `Classpath` deeply enough for review.	Classpath tells the JVM and compiler where to find classes and JARs.	Meaning: Classpath tells the JVM and compiler where to find classes and JARs. Why it matters: Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label. Example: When reading code, ask: what does `Classpath` change, allow, reject, or clarify?	11-package-access-control/theory/01-what-is-a-package-concepts.md | https://docs.oracle.com/javase/tutorial/java/package/packages.html	java::core::package-access-control
package_access_control-extra-009	Explain `Basic module path` deeply enough for review.	Module path is the module-system-aware alternative to classpath for named modules.	Meaning: Module path is the module-system-aware alternative to classpath for named modules. Why it matters: Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label. Example: When reading code, ask: what does `Basic module path` change, allow, reject, or clarify?	11-package-access-control/theory/01-what-is-a-package-concepts.md | https://docs.oracle.com/javase/tutorial/java/package/packages.html	java::core::package-access-control
package-access-control-aug-extra-001	What should you understand deeply about `What is a package?`?	A package groups related classes and gives them a namespace.	Review it as a rule you can apply, not just a term. Ask what code it allows, rejects, or makes easier to reason about. Then connect it to one realistic Java mistake. Source: /home/fhu_thjen/projects/learning-java/11-package-access-control/theory/01-what-is-a-package-concepts.md	/home/fhu_thjen/projects/learning-java/11-package-access-control/theory/01-what-is-a-package-concepts.md | https://docs.oracle.com/javase/tutorial/java/package/packages.html	java::core::package_access_control
