ID	Front	Back	Extra	Code	Source	Tags
optional-extra-001	Explain `What is Optional<T>?` deeply enough for review.	An immutable container object that wraps a single non-null value or represents absence.	Optional provides a type-level representation of presence/absence, forcing developers to explicitly handle empty cases rather than relying on dangerous null references. Example: `Optional<String> opt = Optional.ofNullable(getStringOrNull());`		no24_optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-extra-002	Explain `Avoid NullPointerException` deeply enough for review.	By returning Optional, an API forces the client to check for empty states before accessing the value, preventing accidental NullPointerExceptions.	Instead of returning a direct reference that might be null (leading to NPE if accessed directly), Optional makes the possibility of absence explicit in the type signature. The caller is forced to use methods like `orElse`, `ifPresent`, or `map`.		no24_optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-extra-003	Explain `Optional.of` deeply enough for review.	A static factory method that returns an Optional containing the specified non-null value, throwing NullPointerException if the value is null.	"Use `Optional.of` when you are 100% sure the value cannot be null. If the value is null, it throws NPE at the creation point, which is useful for failing fast. Example: `Optional.of(""valid"");` but `Optional.of(null)` throws NPE."		no24_optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-extra-004	Explain `Optional.ofNullable` deeply enough for review.	A static factory method that returns an Optional describing the specified value if non-null, otherwise returns an empty Optional.	Use `ofNullable` when the value may or may not be null. It will not throw NPE; if null, it safely returns `Optional.empty()`. Example: `Optional.ofNullable(null)` returns `Optional.empty()`.		no24_optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-extra-005	Explain `Optional.empty` deeply enough for review.	A static factory method that returns an empty Optional instance.	It returns a cached, shared empty Optional instance (singleton). Always return `Optional.empty()` instead of returning `null` for an Optional type to prevent NPE on the container itself.		no24_optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-extra-006	Explain `isPresent` deeply enough for review.	A query method that returns true if a non-null value is present, and false if empty.	Calling `isPresent()` followed by `get()` mimics a standard null check and is an anti-pattern. Instead, prefer declarative methods like `orElse`, `ifPresent`, or `map`. Java 11 also introduced `isEmpty()`.		no24_optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-extra-007	Explain `ifPresent` deeply enough for review.	A consumer method that executes the specified Consumer lambda with the value if it is present, doing nothing if empty.	Enables safe, side-effect consumption without manually calling `get()`. Example: `opt.ifPresent(val -> System.out.println(val));` Java 9 introduced `ifPresentOrElse(action, emptyAction)` to handle both branches.		no24_optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-extra-008	Explain `orElse` deeply enough for review.	An unwrapping method that returns the contained value if present, or evaluates and returns the provided default value if empty.	Gotcha: The default value expression is ALWAYS evaluated (e.g. object instantiation, DB queries), regardless of whether the Optional is empty or present. Example: `opt.orElse(new ExpensiveObject())` allocates memory every time.		no24_optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-extra-009	Explain `orElseGet` deeply enough for review.	An unwrapping method that returns the contained value if present, or lazily evaluates and returns the result of the Supplier if empty.	Use `orElseGet` instead of `orElse` when the default value requires expensive computation, new allocations, or side-effects. The supplier lambda is only executed if the Optional is empty. Example: `opt.orElseGet(() -> new ExpensiveObject())`		no24_optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-extra-010	Explain `orElseThrow` deeply enough for review.	An unwrapping method that returns the contained value if present, or throws a NoSuchElementException (or a custom exception) if empty.	"Preferred over `get()`. Calling the no-arg `orElseThrow()` is clearer than `get()` because it explicitly signals that an exception is expected if the value is missing. Custom exception example: `opt.orElseThrow(() -> new EntityNotFoundException(""User not found""))`"		no24_optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-extra-011	Explain `map` deeply enough for review.	An intermediate transformation method that applies a mapper function to the value if present, wrapping the result in a new Optional.	"If the Optional is empty or if the mapping function returns null, `map` returns an empty Optional. The mapping function returns a raw type `U`, which `map` automatically wraps into `Optional<U>`. Example: `Optional.of(""cat"").map(String::toUpperCase)` -> `Optional.of(""CAT"")`"		no24_optional/theory/02-map-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-extra-012	What confusion should you avoid with `map`?	Do not confuse Optional's `map` with Stream's `map` (which transforms collections) or Map data structure (which stores key-value pairs).	Optional's `map` transforms a single potential element. If the mapper function itself returns an Optional, `map` will return a nested `Optional<Optional<T>>`. Use `flatMap` to avoid nesting.		no24_optional/theory/02-map-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-extra-013	Explain `flatMap` deeply enough for review.	An intermediate transformation method that applies a mapper function returning an Optional, and returns the resulting Optional directly (avoiding nesting).	Use `flatMap` when the mapper function itself returns an Optional. Instead of returning `Optional<Optional<U>>`, it flattens the result to `Optional<U>`. Example: if `getUser()` returns `Optional<User>`, and `User.getEmail()` returns `Optional<String>`, `user.flatMap(User::getEmail)` returns `Optional<String>`.		no24_optional/theory/02-map-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-extra-014	What confusion should you avoid with `flatMap`?	Do not confuse `flatMap` with `map` when the mapper function returns an Optional.	If you use `map` with a function returning Optional, the result is `Optional<Optional<T>>`. Calling `flatMap` unwraps the outer Optional layer. If the mapper function returns null, `flatMap` throws `NullPointerException` (unlike `map`, which would return empty).		no24_optional/theory/02-map-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-extra-015	Explain `filter` deeply enough for review.	An intermediate method that returns the Optional if it contains a value matching the predicate, otherwise returns an empty Optional.	"Allows discarding a value if it does not meet a condition. Example: `Optional.of(""apple"").filter(s -> s.startsWith(""a""))` returns `Optional.of(""apple"")`, but `filter(s -> s.startsWith(""b""))` returns `Optional.empty()`."		no24_optional/theory/02-map-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-extra-016	Explain `Do not overuse Optional` deeply enough for review.	Optional is an overhead-heavy wrapper designed specifically to represent missing return values. Do not use it as a general replacement for null check in local variables or fields.	Optional should not be used as method parameters, class fields, or inside collections (like `List<Optional<T>>`). It is not Serializable, increases memory consumption, and degrades performance in high-throughput applications.		no24_optional/theory/02-map-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-extra-017	Explain `Optional in return type` deeply enough for review.	Optional's primary design goal is as a return type for methods that may fail to find a result.	By returning Optional, the API explicitly tells callers that the value might not be present and that they must handle this case. Never return null from a method whose return type is Optional; return `Optional.empty()`.		no24_optional/theory/02-map-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-extra-018	Explain the performance overhead of using `Optional` as class fields.	Each `Optional` wrapper consumes 16 bytes of header/alignment plus a reference pointer on 64-bit JVMs, creating memory pressure when millions of entities are loaded.	In domain classes, use raw nullable fields and return `Optional` dynamically in the getters if client-side check is desired.		no24_optional/theory/02-map-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional java::interview
optional-extra-019	Explain the evaluation difference between `orElse` and `orElseGet` using the vending machine analogy.	`orElse` (eager) is like pouring a backup water cup every time a drink is requested, discarding it if not needed. `orElseGet` (lazy) only pours it when the machine runs out.	Always use `orElseGet` when the default value triggers a constructor, a database lookup, or an expensive calculation. This lazy execution is achieved by passing a Supplier lambda which acts as a deferred execution wrapper; Java will only invoke its get() method if the Optional container is empty, preventing CPU/IO cycles from being wasted on unused fallback values.		no24_optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html#orElseGet(java.util.function.Supplier)	java::core::optional java::interview
optional-extra-020	Explain why `flatMap` throws NPE on null returns while `map` returns `Optional.empty()`.	`map` automatically wraps the result (wrapping null to empty). `flatMap` expects the mapper to return an existing Optional and checks it, throwing NPE if it's null.	Passing a function to `flatMap` that returns `null` violates the functional pipeline design, so Java fails-fast with a NullPointerException.		no24_optional/theory/02-map-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html#flatMap(java.util.function.Function)	java::core::optional java::interview

