ID	Question	Code	Answer	Explanation	Source	Tags
regex-code-001	What is matched by this regex search?	"Pattern.compile("\\d+").matcher("abc123").find();"	A sequence of digits, specifically '123'	The predefined character class \\d matches digits, and the + quantifier matches one or more repetitions.	no30_regex/README.md | https://docs.oracle.com/javase/tutorial/essential/regex/	java::core::regex java::code
regex-code-002	Explain what this regex method achieves.	"boolean matched = "Java17".matches("[a-zA-Z]+\\d+");"	Checks if the entire input starts with letters and ends with digits (returns true)	matches() checks strict full-string matching, returning true only if the entire string satisfies the expression.	no30_regex/theory/01-what-is-regex-concepts.md | https://docs.oracle.com/javase/tutorial/essential/regex/	java::core::regex java::code
regex-code-003	Is this Pattern invocation optimized for performance?	"public boolean check(String val) {\n    return Pattern.compile("\\d+").matcher(val).matches();\n}"	No, compiles the pattern on every invocation	Regex compilation is slow. Cache the compiled Pattern in a static final field for reuse.	no30_regex/theory/01-what-is-regex-concepts.md | https://docs.oracle.com/javase/tutorial/essential/regex/	java::core::regex java::code
regex-code-004	Is this code segment thread-safe?	"class Helper {\n    private final Matcher matcher = Pattern.compile("\\d+").matcher("");\n    public boolean check(String val) {\n        return matcher.reset(val).matches();\n    }\n}"	No, Matcher is stateful and not thread-safe	Matcher instances maintain matching cursor states and should not be shared across threads.	no30_regex/theory/01-what-is-regex-concepts.md | https://docs.oracle.com/javase/tutorial/essential/regex/	java::core::regex java::code
regex-code-005	Predict the output of matches() vs find() on this text.	"Pattern p = Pattern.compile("\\d+");\nMatcher m = p.matcher("123abc456");\nSystem.out.println(m.matches() + " " + m.find());"	false true	matches() requires full-string matching, which fails. find() scans anywhere, returning true for '123'.	no30_regex/theory/01-what-is-regex-concepts.md | https://docs.oracle.com/javase/tutorial/essential/regex/	java::core::regex java::code
regex-code-006	What does the second find() call return?	"Matcher m = Pattern.compile("\\d+").matcher("12abc34");\nm.find();\nSystem.out.println(m.group() + " " + m.find());"	12 true	The first find() matches '12' and advances the cursor. The second find() searches forward and matches '34'.	no30_regex/theory/01-what-is-regex-concepts.md | https://docs.oracle.com/javase/tutorial/essential/regex/	java::core::regex java::code
regex-code-007	Spot the runtime exception in this code.	"Matcher m = Pattern.compile("\\d+").matcher("abc123def");\nString res = m.group();"	IllegalStateException	You must invoke find(), matches(), or lookingAt() and obtain a match before querying group() contents.	no30_regex/theory/01-what-is-regex-concepts.md | https://docs.oracle.com/javase/tutorial/essential/regex/	java::core::regex java::code
regex-code-008	Does the character class [.] match any character?	"System.out.println("a".matches("[.]"));\nSystem.out.println(".".matches("[.]"));"	false true	Inside custom character classes [...], special metacharacters like dot lose their special meaning and behave as literals.	no30_regex/theory/01-what-is-regex-concepts.md | https://docs.oracle.com/javase/tutorial/essential/regex/	java::core::regex java::code
regex-code-009	What is printed by this greedy search?	"Matcher m = Pattern.compile("a.*X").matcher("abcXdefX");\nif (m.find()) System.out.println(m.group());"	abcXdefX	Greedy quantifiers consume as much text as possible first, matching up to the last 'X' in the string.	no30_regex/theory/01-what-is-regex-concepts.md | https://docs.oracle.com/javase/tutorial/essential/regex/	java::core::regex java::code
regex-code-010	What does groupCount() return here?	"Pattern p = Pattern.compile("(a(b))c");\nSystem.out.println(p.matcher("abc").groupCount());"	2	There are two pairs of capturing parentheses: group 1 is (ab) and group 2 is (b).	no30_regex/theory/01-what-is-regex-concepts.md | https://docs.oracle.com/javase/tutorial/essential/regex/	java::core::regex java::code
regex-code-011	What does groupCount() return here?	"Pattern p = Pattern.compile("(?:a(b))c");\nSystem.out.println(p.matcher("abc").groupCount());"	1	The outer group (?:a(b)) is non-capturing, so only the inner group (b) is counted.	no30_regex/theory/01-what-is-regex-concepts.md | https://docs.oracle.com/javase/tutorial/essential/regex/	java::core::regex java::code
