ID	Question	Code	Answer	Explanation	Source	Tags
collections_framework-code-001	What is the output of this code?	List<String> list = new ArrayList<>(List.of("A", "B"));\nlist.add("C");\nSystem.out.println(list.size());	3	ArrayList allows element addition dynamically. List.of returns an immutable list, but wrapping it in new ArrayList<>(...) creates a mutable copy that can be modified.	no19_collections_framework/theory/02-arraylist-concepts.md	java::core::collections-framework
collections_framework-code-002	What is the output of this code?	List<String> list = List.of("A", "B");\ntry {\n    list.add("C");\n} catch (UnsupportedOperationException e) {\n    System.out.println("Exception");\n}	Exception	List.of returns a fully immutable list implementation that does not allow modifications and throws UnsupportedOperationException on add().	no19_collections_framework/theory/07-collections-unmodifiablelist-concepts.md	java::core::collections-framework
collections_framework-code-003	What is the output of this code?	List<String> original = new ArrayList<>();\noriginal.add("A");\nList<String> view = Collections.unmodifiableList(original);\noriginal.add("B");\nSystem.out.println(view.size());	2	Collections.unmodifiableList returns an unmodifiable view of the original list. When the original list is modified, changes are visible in the view.	no19_collections_framework/theory/07-collections-unmodifiablelist-concepts.md	java::core::collections-framework
collections_framework-code-004	What is the output of this code?	List<String> original = new ArrayList<>();\noriginal.add("A");\nList<String> copy = List.copyOf(original);\noriginal.add("B");\nSystem.out.println(copy.size());	1	List.copyOf creates a completely isolated copy of the original list. Modifying the original list has no effect on the copy.	no19_collections_framework/theory/07-collections-unmodifiablelist-concepts.md	java::core::collections-framework
collections_framework-code-005	What is the output of this code?	List<String> list = List.of("X", "Y");\nList<String> copy = List.copyOf(list);\nSystem.out.println(list == copy);	true	List.copyOf checks if the source list is already immutable. As an optimization, it returns the same instance without copying, so the references are identical.	no19_collections_framework/theory/07-collections-unmodifiablelist-concepts.md	java::core::collections-framework
collections_framework-code-006	What exception is thrown by this code?	List<String> list = new ArrayList<>(List.of("A", "B"));\nfor (String s : list) {\n    if (s.equals("A")) list.remove(s);\n}	ConcurrentModificationException	Modifying the backing list directly during a for-each loop triggers a ConcurrentModificationException because the iterator detects a structural change via the modCount mismatch.	no19_collections_framework/theory/06-fail-fast-iterator-concepts.md	java::core::collections-framework
collections_framework-code-007	What is the output of this code?	List<String> list = new ArrayList<>(List.of("A", "B"));\nIterator<String> it = list.iterator();\nwhile (it.hasNext()) {\n    if (it.next().equals("A")) {\n        it.remove();\n    }\n}\nSystem.out.println(list.size());	1	Modifying the collection via the iterator's own remove() method is safe and allowed because it keeps the iterator's expectedModCount and the list's modCount in sync.	no19_collections_framework/theory/06-fail-fast-iterator-concepts.md	java::core::collections-framework
collections_framework-code-008	What is the output of this code?	Set<String> set = new TreeSet<>();\ntry {\n    set.add(null);\n} catch (NullPointerException e) {\n    System.out.println("NPE");\n}	NPE	TreeSet uses natural ordering and calls compareTo() on elements. Inserting null throws a NullPointerException because comparison requires a non-null object.	no19_collections_framework/theory/03-treeset-concepts.md	java::core::collections-framework
collections_framework-code-009	What is the output of this code?	ConcurrentHashMap<String, String> map = new ConcurrentHashMap<>();\ntry {\n    map.put("Key", null);\n} catch (NullPointerException e) {\n    System.out.println("NPE");\n}	NPE	ConcurrentHashMap throws NullPointerException if either key or value is null to avoid ambiguity in concurrent checks.	no19_collections_framework/theory/05-concurrenthashmap-concepts.md	java::core::collections-framework
collections_framework-code-010	What is the output of this code?	String[] arr = {"A", "B"};\nList<String> list = Arrays.asList(arr);\nlist.set(0, "C");\nSystem.out.println(arr[0]);	C	Arrays.asList returns a fixed-size wrapper list backed by the original array. Writes to the list write through directly to the backing array.	no19_collections_framework/theory/07-collections-unmodifiablelist-concepts.md	java::core::collections-framework
collections_framework-code-011	What exception is thrown by this code?	List<String> list = Arrays.asList("A", "B");\nlist.add("C");	UnsupportedOperationException	Arrays.asList returns a fixed-size list. Any attempt to modify its size (add/remove) throws UnsupportedOperationException.	no19_collections_framework/theory/07-collections-unmodifiablelist-concepts.md	java::core::collections-framework
collections_framework-code-012	What is the output of this code?	Queue<String> queue = new LinkedList<>();\nSystem.out.println(queue.peek() + " " + queue.poll());	null null	For an empty queue, both peek() and poll() return null instead of throwing a NoSuchElementException (unlike element() and remove()).	no19_collections_framework/theory/04-linkedlist-as-queue-concepts.md	java::core::collections-framework
