ID	Text	Extra	Source	Tags
jvm_advanced-cloze-001	In Advanced JVM, {{c1::JVM architecture}} is a concept you should define, apply, and connect to common mistakes.	It matters because runtime behavior explains performance, memory errors, startup behavior, and many interview questions. A common confusion is mixing compile-time concepts with JVM runtime services.	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-002	A strong review of {{c1::JVM architecture}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `JVM architecture` change, allow, reject, or clarify?	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-003	In Advanced JVM, {{c1::Class Loader Subsystem}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-004	A strong review of {{c1::Class Loader Subsystem}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `Class Loader Subsystem` change, allow, reject, or clarify?	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-005	In Advanced JVM, {{c1::Runtime Data Areas:}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-006	A strong review of {{c1::Runtime Data Areas:}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `Runtime Data Areas:` change, allow, reject, or clarify?	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-007	In Advanced JVM, {{c1::Heap}} is a concept you should define, apply, and connect to common mistakes.	It matters because runtime behavior explains performance, memory errors, startup behavior, and many interview questions. A common confusion is mixing compile-time concepts with JVM runtime services.	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-008	A strong review of {{c1::Heap}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `Heap` change, allow, reject, or clarify?	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-009	In Advanced JVM, {{c1::Stack}} is a concept you should define, apply, and connect to common mistakes.	It matters because runtime behavior explains performance, memory errors, startup behavior, and many interview questions. A common confusion is mixing compile-time concepts with JVM runtime services.	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-010	A strong review of {{c1::Stack}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `Stack` change, allow, reject, or clarify?	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-011	In Advanced JVM, {{c1::Method Area / Metaspace}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-012	A strong review of {{c1::Method Area / Metaspace}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `Method Area / Metaspace` change, allow, reject, or clarify?	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-013	In Advanced JVM, {{c1::PC Register}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-014	A strong review of {{c1::PC Register}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `PC Register` change, allow, reject, or clarify?	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-015	In Advanced JVM, {{c1::Native Method Stack}} is a concept you should define, apply, and connect to common mistakes.	It matters because runtime behavior explains performance, memory errors, startup behavior, and many interview questions. A common confusion is mixing compile-time concepts with JVM runtime services.	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-016	A strong review of {{c1::Native Method Stack}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `Native Method Stack` change, allow, reject, or clarify?	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-017	In Advanced JVM, {{c1::Execution Engine}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	37-jvm-advanced/theory/02-execution-engine-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-018	A strong review of {{c1::Execution Engine}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `Execution Engine` change, allow, reject, or clarify?	37-jvm-advanced/theory/02-execution-engine-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-019	In Advanced JVM, {{c1::Interpreter}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	37-jvm-advanced/theory/02-execution-engine-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-020	A strong review of {{c1::Interpreter}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `Interpreter` change, allow, reject, or clarify?	37-jvm-advanced/theory/02-execution-engine-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-021	In Advanced JVM, {{c1::JIT Compiler}} is a concept you should define, apply, and connect to common mistakes.	It matters because runtime behavior explains performance, memory errors, startup behavior, and many interview questions. A common confusion is mixing compile-time concepts with JVM runtime services.	37-jvm-advanced/theory/02-execution-engine-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-022	A strong review of {{c1::JIT Compiler}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `JIT Compiler` change, allow, reject, or clarify?	37-jvm-advanced/theory/02-execution-engine-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-023	In Advanced JVM, {{c1::Garbage Collector}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	37-jvm-advanced/theory/02-execution-engine-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-024	A strong review of {{c1::Garbage Collector}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `Garbage Collector` change, allow, reject, or clarify?	37-jvm-advanced/theory/02-execution-engine-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-025	In Advanced JVM, {{c1::Native Interface}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	37-jvm-advanced/theory/02-execution-engine-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-026	A strong review of {{c1::Native Interface}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `Native Interface` change, allow, reject, or clarify?	37-jvm-advanced/theory/02-execution-engine-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-027	In Advanced JVM, {{c1::Heap generation:}} is a concept you should define, apply, and connect to common mistakes.	It matters because runtime behavior explains performance, memory errors, startup behavior, and many interview questions. A common confusion is mixing compile-time concepts with JVM runtime services.	37-jvm-advanced/theory/02-execution-engine-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-028	A strong review of {{c1::Heap generation:}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `Heap generation:` change, allow, reject, or clarify?	37-jvm-advanced/theory/02-execution-engine-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-029	In Advanced JVM, {{c1::Young Generation}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	37-jvm-advanced/theory/02-execution-engine-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-030	A strong review of {{c1::Young Generation}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `Young Generation` change, allow, reject, or clarify?	37-jvm-advanced/theory/02-execution-engine-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-031	In Advanced JVM, {{c1::Eden}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	37-jvm-advanced/theory/02-execution-engine-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-032	A strong review of {{c1::Eden}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `Eden` change, allow, reject, or clarify?	37-jvm-advanced/theory/02-execution-engine-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-033	In Advanced JVM, {{c1::Survivor}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	37-jvm-advanced/theory/03-survivor-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-034	A strong review of {{c1::Survivor}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `Survivor` change, allow, reject, or clarify?	37-jvm-advanced/theory/03-survivor-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-035	In Advanced JVM, {{c1::Old Generation}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	37-jvm-advanced/theory/03-survivor-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-036	A strong review of {{c1::Old Generation}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `Old Generation` change, allow, reject, or clarify?	37-jvm-advanced/theory/03-survivor-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-037	In Advanced JVM, {{c1::GC algorithms:}} is a concept you should define, apply, and connect to common mistakes.	It matters because runtime behavior explains performance, memory errors, startup behavior, and many interview questions. A common confusion is mixing compile-time concepts with JVM runtime services.	37-jvm-advanced/theory/03-survivor-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-038	A strong review of {{c1::GC algorithms:}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `GC algorithms:` change, allow, reject, or clarify?	37-jvm-advanced/theory/03-survivor-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-039	In Advanced JVM, {{c1::Serial GC}} is a concept you should define, apply, and connect to common mistakes.	It matters because runtime behavior explains performance, memory errors, startup behavior, and many interview questions. A common confusion is mixing compile-time concepts with JVM runtime services.	37-jvm-advanced/theory/03-survivor-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-040	A strong review of {{c1::Serial GC}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `Serial GC` change, allow, reject, or clarify?	37-jvm-advanced/theory/03-survivor-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-041	In Advanced JVM, {{c1::Parallel GC}} is a concept you should define, apply, and connect to common mistakes.	It matters because runtime behavior explains performance, memory errors, startup behavior, and many interview questions. A common confusion is mixing compile-time concepts with JVM runtime services.	37-jvm-advanced/theory/03-survivor-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-042	A strong review of {{c1::Parallel GC}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `Parallel GC` change, allow, reject, or clarify?	37-jvm-advanced/theory/03-survivor-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-043	In Advanced JVM, {{c1::old CMS}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	37-jvm-advanced/theory/03-survivor-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-044	A strong review of {{c1::old CMS}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `old CMS` change, allow, reject, or clarify?	37-jvm-advanced/theory/03-survivor-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-045	In Advanced JVM, {{c1::G1 GC}} is a concept you should define, apply, and connect to common mistakes.	It matters because runtime behavior explains performance, memory errors, startup behavior, and many interview questions. A common confusion is mixing compile-time concepts with JVM runtime services.	37-jvm-advanced/theory/03-survivor-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-cloze-046	A strong review of {{c1::G1 GC}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `G1 GC` change, allow, reject, or clarify?	37-jvm-advanced/theory/03-survivor-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
