ID	Text	Extra	Code	Source	Tags
generics-cloze-001	A generic class declares {{c1::one or more type parameters}} in `<>` after the class name, enabling compile-time type safety.	Example: `class Box<T>` — `T` is the type parameter; `new Box<String>()` supplies the concrete type.		18-generics/theory/01-generic-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/types.html	java::core::generics
generics-cloze-002	In a generic method the type parameters are declared {{c1::before the return type}}: `public static <T> T identity(T obj)`.	"The compiler infers `T` from the argument; explicit: `MyUtil.<String>identity(""x"")`."		18-generics/theory/01-generic-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/methods.html	java::core::generics
generics-cloze-003	The standard convention for type parameters is: `T`=type, `E`={{c1::element}}, `K`={{c2::key}}, `V`={{c3::value}}, `R`={{c4::return type}}.	Single-letter names are a convention, not a rule, but they are universally expected in JDK APIs and code reviews.		18-generics/theory/01-generic-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/types.html	java::core::generics
generics-cloze-004	When multiple bounds are specified, the {{c1::class}} must appear before the {{c2::interfaces}}: `<T extends Number & Comparable<T>>`.	Violation — putting the interface first — is a compile error. Example: `<T extends Serializable & Number>` fails.		18-generics/theory/01-generic-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/bounded.html	java::core::generics
generics-cloze-005	An unbounded wildcard `<?>` allows {{c1::reading}} elements as `Object` but {{c2::not adding}} any typed element (except `null`).		"List<?> list = new ArrayList<String>(); list.add(""x""); // COMPILE ERROR"	18-generics/theory/02-topic-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/wildcards.html	java::core::generics
generics-cloze-006	`<? extends T>` is an {{c1::upper}}-bounded wildcard. You can {{c2::read T}} from the collection but {{c3::cannot add}} elements (except null).	A `List<? extends Number>` can be `List<Integer>`, `List<Double>`, etc. Adding `new Integer(1)` would be unsafe if the list is actually `List<Double>`.		18-generics/theory/02-topic-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/upperBounded.html	java::core::generics
generics-cloze-007	`<? super T>` is a {{c1::lower}}-bounded wildcard. You can {{c2::add T values}} but reading returns only {{c3::Object}}.		List<? super Integer> list = new ArrayList<Number>(); list.add(1); Object o = list.get(0);	18-generics/theory/02-topic-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/lowerBounded.html	java::core::generics
generics-cloze-008	PECS: if a generic parameter {{c1::produces}} T values use `{{c2::extends}}`; if it {{c3::consumes}} T values use `{{c4::super}}`.	`Collections.copy(List<? super T> dest, List<? extends T> src)` — dest consumes, src produces.		18-generics/theory/02-topic-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/wildcardGuidelines.html	java::core::generics java::interview
generics-cloze-009	Type erasure replaces unbound type parameters with {{c1::Object}} and bounded parameters with {{c2::their upper bound}}, then inserts {{c3::explicit casts}} at retrieval sites.	`List<String> → List; names.get(0) → (String) names.get(0)` in bytecode.		18-generics/theory/02-topic-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/erasure.html	java::core::generics java::interview
generics-cloze-010	You {{c1::cannot}} check `obj instanceof List<String>` at runtime because {{c2::generic type information is erased}}. The correct form is `obj instanceof {{c3::List<?>}}`.	`instanceof List<String>` is a compile error; `instanceof List<?>` compiles and checks only that `obj` is a `List`.		18-generics/theory/02-topic-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/erasure.html	java::core::generics
generics-cloze-011	A raw type is a generic class used without {{c1::type arguments}}. It disables type safety and triggers {{c2::unchecked warnings}} at compile time.		List rawList = new ArrayList(); rawList.add(42); String s = (String) rawList.get(0); // ClassCastException	18-generics/theory/03-raw-type-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/rawTypes.html	java::core::generics
generics-cloze-012	You {{c1::cannot}} write `new T[10]` because arrays carry their component type at runtime, but `T` is {{c2::erased to Object}} by type erasure.	Work-around: `(T[]) new Object[10]` (unchecked cast) or `Array.newInstance(clazz, 10)` with a `Class<T>` token.		18-generics/theory/03-raw-type-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/restrictions.html	java::core::generics
generics-cloze-013	`List<{{c1::int}}>` is a compile error. Use `List<{{c2::Integer}}>` and rely on {{c3::autoboxing}} to convert between `int` and `Integer`.	Autoboxing: `list.add(1)` → `list.add(Integer.valueOf(1))`. Unboxing: `int n = list.get(0)` → `int n = list.get(0).intValue()`.		18-generics/theory/03-raw-type-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/restrictions.html	java::core::generics
generics-cloze-014	A `static` field of a type parameter — e.g. `static T instance;` — is a {{c1::compile error}} because static members are shared across all {{c2::parameterizations}} of the class.	`Box<String>` and `Box<Integer>` share the same `Box.class`. A static `T` field would mean one field trying to be both `String` and `Integer`.		18-generics/theory/03-raw-type-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/restrictions.html	java::core::generics
generics-cloze-015	Two methods `void m(List<String> l)` and `void m(List<Integer> l)` cause a {{c1::compile error}} because after erasure both have signature {{c2::`void m(List l)`}}.	"This is ""overloading conflict due to type erasure."" Fix: rename one method or merge into `void m(List<?> l)`."		18-generics/theory/03-raw-type-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/restrictions.html	java::core::generics java::interview
generics-cloze-016	To instantiate `T` inside a generic class, receive a {{c1::`Class<T>`}} token and call {{c2::`clazz.getDeclaredConstructor().newInstance()`}}.		class Factory<T> { Factory(Class<T> c){...} T create() throws Exception { return c.getDeclaredConstructor().newInstance(); } }	18-generics/theory/03-raw-type-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/restrictions.html	java::core::generics
generics-cloze-017	`<? extends T>` vs named `<T extends Bound>`: use the {{c1::wildcard}} when the type is only needed once (read-only param); use the {{c2::named parameter}} when the type is referenced in multiple positions.	`void printAll(List<? extends Number> list)` — wildcard fine. `<T extends Number> T clamp(T v, T min, T max)` — named needed because input and output must be the same `T`.		18-generics/theory/01-generic-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/wildcardGuidelines.html	java::core::generics java::interview
generics-cloze-018	The JDK's `Collections.sort(List<T> list)` requires `T extends {{c1::Comparable<? super T>}}`. The `? super T` bound lets a {{c2::Comparator<Number>}} sort a `List<Integer>`.	Without `? super T`, you could only sort with a `Comparator<Integer>` — a `Comparator<Number>` would be rejected even though it is a valid ordering for `Integer` values.		18-generics/theory/02-topic-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/wildcardGuidelines.html	java::core::generics
