ID	Front	Back	Extra	Source	Tags
jvm_advanced-extra-001	Explain `JVM architecture` deeply enough for review.	The JVM executes Java bytecode and manages runtime services such as memory, JIT compilation, and Garbage Collection.	Example: The JVM architecture divides tasks into Class Loader, Runtime Data Areas, and Execution Engine.	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-extra-002	What confusion should you avoid with `JVM architecture`?	Do not treat `JVM architecture` as just a memorized word.	Tip: Java is compiled to bytecode (.class) at compile-time, but it is JVM's execution engine that translates it to machine code at runtime.	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-extra-003	Explain `Class Loader Subsystem` deeply enough for review.	The Class Loader Subsystem dynamically loads, links, and initializes class files (.class) at runtime.	Example: Loading a class using `Class.forName()`.	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-extra-004	What confusion should you avoid with `Class Loader Subsystem`?	Do not treat `Class Loader Subsystem` as just a memorized word.	Tip: Loading happens in three phases: Loading (find byte streams), Linking (Verify, Prepare, Resolve), and Initialization (execute static blocks).	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-extra-005	Explain `Runtime Data Areas:` deeply enough for review.	Runtime Data Areas represent the memory areas allocated by the JVM during application execution.	Example: Heap, Stack, Method Area, PC Registers, and Native Method Stacks.	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-extra-006	What confusion should you avoid with `Runtime Data Areas:`?	Do not treat `Runtime Data Areas:` as just a memorized word.	Tip: Heap and Method Area are shared by all threads; JVM Stack, PC Register, and Native Method Stack are created per thread.	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-extra-007	Explain `Heap` deeply enough for review.	The Heap is the runtime data area from which memory for all class instances and arrays is allocated.	Example: \n```java\nObject obj = new Object(); // obj is allocated on Heap\n```	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-extra-008	What confusion should you avoid with `Heap`?	Do not treat `Heap` as just a memorized word.	Tip: Heap is shared across threads. Objects are reclaimed here only by the Garbage Collector, never manually.	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-extra-009	Explain `Stack` deeply enough for review.	The JVM Stack stores local variables, method frames, and call states. Each thread has its own private stack.	Example: Call stack growing with each method execution.	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
jvm_advanced-extra-010	What confusion should you avoid with `Stack`?	Do not treat `Stack` as just a memorized word.	Tip: Local variables (primitives and references) are allocated on the Stack. Objects themselves reside on the Heap; only their reference variable is on the Stack.	37-jvm-advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/	java::core::jvm-advanced
