ID	Text	Extra	Code	Source	Tags
generics-cloze-001	Java uses {{c1::Type Erasure}} to maintain backwards compatibility, replacing type parameters with their bounds or {{c2::Object}} in bytecode.	This ensures that pre-generic legacy code and new generic code can run together on the same JVM.		no18_generics/theory/02-topic-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/erasure.html	java::core::generics java::interview
generics-cloze-002	Java generics are {{c1::invariant}}, meaning `List<Integer>` is not a subtype of `List<Number>`, which prevents adding {{c2::incompatible types}} at runtime.	To restore API flexibility, wildcards like `? extends T` and `? super T` are used.		no18_generics/theory/02-topic-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/subtyping.html	java::core::generics java::interview
generics-cloze-003	The PECS mnemonic stands for {{c1::Producer Extends, Consumer Super}}, directing the use of wildcards for collection parameters.	`? extends T` is for producing/reading, `? super T` is for consuming/writing.		no18_generics/theory/02-topic-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/wildcardGuidelines.html	java::core::generics java::interview
generics-cloze-004	Raw types bypass compile-time safety checks, causing the JVM to throw a {{c1::ClassCastException}} at runtime during element retrieval.	Raw types should only be used for backward compatibility with pre-Java 5 libraries.		no18_generics/theory/03-raw-type-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/rawTypes.html	java::core::generics java::interview
generics-cloze-005	Generics do not support primitive types because primitives do not inherit from {{c1::Object}} and cannot be stored in reference slots.	The JVM designates reference slots only for object references.		no18_generics/theory/03-raw-type-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/restrictions.html	java::core::generics
generics-cloze-006	Generic array creation is forbidden because arrays are {{c1::reified}} at runtime, whereas generic type parameters are {{c2::erased}}.	The compiler forbids `new T[10]` to prevent bypassing array type checks.		no18_generics/theory/03-raw-type-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/restrictions.html	java::core::generics java::interview
generics-cloze-007	Performing `obj instanceof List<String>` is illegal; you must check using {{c1::List<?>}} or raw {{c2::List}} because generic arguments are erased.	The wildcard check is safer and cleaner than using raw types.		no18_generics/theory/03-raw-type-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/restrictions.html	java::core::generics
generics-cloze-008	In multiple generic bounds, the {{c1::class bound}} must be declared first, followed by {{c2::interface bounds}}: `<T extends Number & Comparable<T>>`.	Placing an interface bound before a class bound results in a compile error.		no18_generics/theory/01-generic-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/bounded.html	java::core::generics
generics-cloze-009	You cannot overload methods that differ only in generic parameters because they erase to the {{c1::same bytecode signature}}.	For example, `void process(List<String> list)` and `void process(List<Integer> list)` both erase to `void process(List list)`.		no18_generics/theory/03-raw-type-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/restrictions.html	java::core::generics java::interview
generics-cloze-010	To instantiate a generic class type parameter `T`, you must pass a {{c1::Class<T>}} token and use {{c2::reflection}}.	Writing `new T()` is a compile error because `T` is erased to Object or its bounds.		no18_generics/theory/03-raw-type-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/restrictions.html	java::core::generics
generics-cloze-011	Adding a typed element (except `null`) to a list with an upper-bounded wildcard `List<? extends Number>` is {{c1::forbidden}} by the compiler.	Because the actual type could be `List<Double>`, adding an `Integer` would cause type unsafety.		no18_generics/theory/02-topic-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/upperBounded.html	java::core::generics java::interview
generics-cloze-012	Static fields of type parameter types are forbidden because static fields are {{c1::shared across all instances}} of the class.	Class instantiations like `Box<String>` and `Box<Integer>` share the same class metadata.		no18_generics/theory/03-raw-type-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/restrictions.html	java::core::generics
