ID	Front	Back	Code	Source	Tags
module_system-basic-001	What is a Java Module, and what does it contain?	A self-describing collection of code (packages) and data (resources), configured via a module descriptor (module-info.class) to control visibility and dependencies.		33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
module_system-basic-002	Why does the Java Module System prohibit split packages (defining the same package in multiple modules)?	To guarantee class-loading determinism and prevent "classpath hell" where the runtime behavior depends on whichever JAR is loaded first.		33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
module_system-basic-003	Why was the flat Classpath insecure regarding encapsulation prior to Java 9?	The public modifier meant "public to the entire JVM". Anyone could compile against or reflectively access JDK internals (e.g., sun.misc.Unsafe) or internal library packages.		33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
module_system-basic-004	How does Java 9's Module System achieve "reliable configuration" during JVM startup?	The JVM resolves the module graph at startup to verify all required modules are present and there are no circular dependencies, failing fast if verification fails.		33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
module_system-basic-005	What is the difference between requires and requires transitive in a module declaration?	"requires" makes a module readable only to the current module. "requires transitive" also makes it readable to any module that depends on the current module (transitive readability).		33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
module_system-basic-006	What is the compile-time difference between requires and requires static in Java Module System?	"requires" enforces dependency at both compile-time and runtime. "requires static" requires it at compile-time but makes it optional at runtime.		33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
module_system-basic-007	What does exports do in a module-info.java file?	Exposes the public types of a package to other modules at both compile-time and runtime. Deep reflection on private fields/methods remains blocked.		33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
module_system-basic-008	What does opens do in a module-info.java file?	Allows other modules runtime reflection (including deep reflection on private members) on the package, while completely blocking compile-time access.		33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
module_system-basic-009	Why is exports insufficient for framework libraries like Spring or Hibernate, requiring opens instead?	Frameworks need deep reflection to inspect and modify private fields/constructors. "exports" only allows access to public members at compile/runtime; deep reflection on private fields throws InaccessibleObjectException unless "opens" is used.		33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
module_system-basic-010	What is the Unnamed Module in Java, and when is it created?	An implicit module containing all classes loaded from the Classpath. It is created to maintain backward compatibility with legacy applications.		33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
module_system-basic-011	What is an Automatic Module in Java, and when is it created?	A named bridge module created when a legacy JAR (lacking module-info.class) is placed on the Module Path.		33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
module_system-basic-012	Why cannot a Named Module directly declare requires on classes in the Unnamed Module?	The Unnamed Module has no name, so it cannot be referenced in a module-info.java descriptor. To depend on it, it must be loaded as an automatic module on the module path.		33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
module_system-basic-013	How does the JVM derive the name of an Automatic Module?	It looks for Automatic-Module-Name in the JAR's MANIFEST.MF. If absent, it derives it from the JAR filename (removing version numbers and replacing non-alphanumeric chars with dots).		33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
module_system-basic-014	What is "strong encapsulation" in the context of the Java Module System?	The mechanism where types in non-exported packages are completely hidden and inaccessible to other modules at both compile-time and runtime, even if they are declared public.		33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
