ID	Front	Back	Extra	Source	Tags
interview_questions-extra-001	How are JVM, JDK, and JRE different?	JDK is the development kit (compiler + JRE), JRE is the runtime environment (libraries + JVM), and JVM executes the compiled bytecode.	JVM is the virtual machine running `.class` files. JRE provides library classes to run them. JDK provides JRE plus compilation tools (`javac`).	45-interview-questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
interview_questions-extra-002	What is the primary JVM component that executes bytecode?	The Execution Engine (containing the Interpreter, JIT Compiler, and Garbage Collector).	Interpreter executes instructions step-by-step; JIT compiler compiles hot paths to native code; GC reclaims dead heap memory.	45-interview-questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
interview_questions-extra-003	Does Java pass object references by reference or by value?	Java is strictly pass-by-value. It passes a copy of the reference (pointer) value, not the reference variable itself.	When passing an object, you pass a copy of the memory address. Both variables point to the same object, allowing mutation of its fields, but reassigning the parameter doesn't affect the caller's variable.	45-interview-questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
interview_questions-extra-004	What happens when you reassign an object reference parameter inside a method in Java?	The local copy of the pointer is updated, but the caller's original reference variable remains unchanged.	Example:\n`void method(User u) { u = new User("Bob"); }`\nThe reassignment only alters the local method parameter copy.	45-interview-questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
interview_questions-extra-005	What is the difference between `==` and `.equals()`?	`==` compares primitive values or reference memory addresses; `.equals()` compares logical content equality.	By default, `Object.equals()` uses `==`. Class overrides (like `String.equals()`) provide semantic value comparison.	45-interview-questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
interview_questions-extra-006	Why does calling `.equals()` on null throw NullPointerException, and how do you avoid it?	Calling `.equals()` on a null reference crashes. Avoid it by putting constants or verified non-nulls on the left side.	Example:\n`"ACTIVE".equals(status);` is safe.\n`status.equals("ACTIVE");` throws NPE if status is null.	45-interview-questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
interview_questions-extra-007	Why is String immutable in Java?	For security, String Pool sharing, thread-safety, and caching hashcodes.	Strings are widely used for system properties, network connection settings, and keys in HashMaps. Immutability ensures their values cannot be tampered with.	45-interview-questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
interview_questions-extra-008	What is the String Pool in Java?	A special storage area in the Heap where the JVM caches unique string literals to optimize memory usage.	Creating two identical string literals will point to the same memory object in the String Pool unless `new String()` is explicitly called.	45-interview-questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
interview_questions-extra-009	How are String, StringBuilder, and StringBuffer different?	String is immutable. StringBuilder is mutable and fast (non-thread-safe). StringBuffer is mutable and thread-safe (synchronized methods).	Use `StringBuilder` for local modifications; use `StringBuffer` only if thread safety is required; use `String` elsewhere.	45-interview-questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
interview_questions-extra-010	Why is StringBuilder faster than StringBuffer?	StringBuilder is not thread-safe and does not use synchronized block overhead on method invocations.	Because it avoids synchronization locks, `StringBuilder` performs significantly faster in single-threaded scenarios.	45-interview-questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
interview_questions-extra-011	How does HashMap work internally in Java?	It uses an array of buckets, hashing keys to find indexes, and chains collisions in linked lists or trees.	HashMap maps the key's hash value to a bucket array index: `index = hash & (capacity - 1)`.	45-interview-questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
interview_questions-extra-012	What index mapping calculation does HashMap use to find a key's bucket?	`index = hash & (capacity - 1)`, where capacity is always a power of two.	Using bitwise AND is extremely fast compared to modulo division.	45-interview-questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
interview_questions-extra-013	What improvement did HashMap have in Java 8 to handle collisions?	Linked lists containing 8 or more entries in a bucket are converted to Red-Black Trees (Treeification).	This reduces the worst-case lookup complexity from O(N) to O(log N) for collided buckets.	45-interview-questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
interview_questions-extra-014	What are the thresholds for HashMap treeification and untreeification?	Treeification threshold is 8; Untreeification threshold (during resizing) is 6.	Minimum table capacity for treeification is 64. If capacity is less, the table is resized instead.	45-interview-questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
interview_questions-extra-015	How are ArrayList and LinkedList different internally?	ArrayList uses a dynamic array (O(1) search); LinkedList uses a doubly-linked list (O(1) insert/remove).	ArrayList is best for read-heavy workloads; LinkedList is best for write-heavy workloads with known node locations.	45-interview-questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
interview_questions-extra-016	What is the default resizing growth factor for ArrayList?	It grows by 1.5 times its current capacity: `newCapacity = oldCapacity + (oldCapacity >> 1)`.	Resizing involves allocating a new array and copying the elements, which is an O(N) operation.	45-interview-questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
interview_questions-extra-017	How does HashSet remove duplicates internally?	It delegates duplicate checking to an internal `HashMap` where the set elements are keys.	Because HashMap key entries must be unique, any duplicate added to a HashSet is automatically rejected.	45-interview-questions/theory/02-how-does-hashset-remove-duplicates-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
interview_questions-extra-018	What is the relationship between HashSet's add() and HashMap's put() methods?	`HashSet.add(e)` calls `map.put(e, PRESENT)` under the hood, returning true if the map returned null.	`PRESENT` is a dummy `java.lang.Object` shared by all entries in the HashSet.	45-interview-questions/theory/02-how-does-hashset-remove-duplicates-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
interview_questions-extra-019	How are final, finally, and finalize() different?	`final` is a access modifier keyword; `finally` is a try-catch cleanup block; `finalize()` is a deprecated object lifecycle hook.	`final` stops reassignments/extensions. `finally` guarantees block execution. `finalize()` is called before GC.	45-interview-questions/theory/02-how-does-hashset-remove-duplicates-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
interview_questions-extra-020	What are the risks of overriding finalize() on a class?	It is slow, unpredictable, lacks execution guarantees, and can cause memory leaks or resource exhaustions.	It is deprecated since Java 9. Use `AutoCloseable` and try-with-resources instead.	45-interview-questions/theory/02-how-does-hashset-remove-duplicates-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
interview_questions-extra-021	What happens when the `final` keyword is applied to a class vs. a method?	A final class cannot be extended; a final method cannot be overridden by subclasses.	Examples:\n`public final class String {}` (no sub-classing)\n`public final void lock() {}` (cannot override)	45-interview-questions/theory/02-how-does-hashset-remove-duplicates-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
interview_questions-extra-022	How do checked and unchecked exceptions differ?	Checked exceptions are checked at compile-time (require throws/try-catch); unchecked exceptions represent runtime bugs.	Checked inherit from `Exception`. Unchecked inherit from `RuntimeException`.	45-interview-questions/theory/02-how-does-hashset-remove-duplicates-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
interview_questions-extra-023	Name three standard subclasses of RuntimeException.	NullPointerException, IllegalArgumentException, and IndexOutOfBoundsException.	These represent programming bugs that should be avoided rather than caught at compile-time.	45-interview-questions/theory/02-how-does-hashset-remove-duplicates-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
interview_questions-extra-024	How are abstract classes and interfaces different in Java 8/9+?	Abstract classes allow single inheritance and instance state; interfaces allow multiple inheritance, constants, and default/static methods.	An abstract class can contain instance fields and state. An interface is stateless, supporting only public static final constants.	45-interview-questions/theory/02-how-does-hashset-remove-duplicates-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
interview_questions-extra-025	Can interfaces have private and static methods in Java 9+?	Yes, static methods are allowed since Java 8, and private methods are allowed since Java 9.	Private methods allow sharing common code helper logic between multiple default methods in the interface.	45-interview-questions/theory/02-how-does-hashset-remove-duplicates-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
