ID	Front	Back	Extra	Code	Source	Tags
operator-extra-001	Why is Java integer division a common beginner trap?	Because the result type is based on the operands, not the variable receiving the result.	If both operands are integer types, Java performs integer division and discards the fractional part. `double x = 10 / 4;` stores `2.0`, not `2.5`, because the expression `10 / 4` already produced the integer value `2`. To get fractional division, make at least one operand floating-point, such as `10 / 4.0` or `(double) 10 / 4`.		05-operators/theory/01-arithmetic-assignment-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators
operator-extra-002	Why is `%` called remainder rather than “percent” in Java arithmetic?	Because `%` returns what remains after division, not a percentage calculation.	`17 % 5` is `2` because `17 = 5 * 3 + 2`. This operator is useful for divisibility checks, cyclic indexes, and simple number decomposition. The word “remainder” matters because beginners sometimes read `%` as percent and expect `50 % 10` to mean “50 percent of 10”; Java does not use it that way.		05-operators/terms/01-operator-terms.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators java::term
operator-extra-003	Why can string concatenation change the meaning of later `+` operators?	Because Java evaluates `+` left-to-right, and once a `String` is involved, `+` concatenates text.	"`""Result: "" + 2 + 3` becomes `""Result: 2"" + 3`, then `""Result: 23""`. The arithmetic addition never happens because the chain has become text concatenation. Parentheses such as `""Result: "" + (2 + 3)` force numeric addition first."		05-operators/theory/01-arithmetic-assignment-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators
operator-extra-004	Why is compound assignment not always identical to writing the long assignment form?	Compound assignment includes an implicit cast back to the left-hand variable type.	`byte b = 1; b += 1;` compiles because Java effectively casts the result back to `byte`. But `b = b + 1;` does not compile because `b + 1` is promoted to `int`. This is important when working with `byte`, `short`, or `char`, because arithmetic on those types often becomes `int`.		05-operators/theory/01-arithmetic-assignment-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators java::interview
operator-extra-005	Why is `==` dangerous for comparing object content?	For objects, `==` compares references, not meaningful content.	Two different `String` objects can contain the same characters but still be different objects. `a == b` asks “are these the exact same object?” while `a.equals(b)` asks “do these objects represent the same value?” For content equality, use `.equals()` when the class defines it meaningfully.		05-operators/theory/02-comparison-logical-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators java::interview
operator-extra-006	"Why is `""yes"".equals(input)` often safer than `input.equals(""yes"")`?"	It avoids a `NullPointerException` when `input` is null.	"If `input` is null, calling `input.equals(""yes"")` tries to call a method on null and fails. Calling `""yes"".equals(input)` is safe because the string literal is a real object, and `.equals(null)` simply returns false."		05-operators/theory/02-comparison-logical-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators
operator-extra-007	Why is short-circuit evaluation useful in null checks?	It lets Java stop before calling a method on null.	In `user != null && user.isActive()`, if `user != null` is false, Java does not evaluate `user.isActive()`. This is not just a performance detail; it prevents a runtime error. Short-circuiting is a control mechanism hidden inside expression evaluation.		05-operators/theory/02-comparison-logical-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators
operator-extra-008	Why can `&` be risky in boolean conditions?	It evaluates both sides even when the left side already decides the result.	With `user != null & user.isActive()`, Java still calls `user.isActive()` when `user` is null, causing a `NullPointerException`. Use `&&` for normal conditional logic. Use boolean `&` only when you intentionally need both sides to run.		05-operators/theory/02-comparison-logical-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators java::interview
operator-extra-009	Why are `i++` and `++i` confusing inside larger expressions?	They both change the variable, but they produce different expression values.	`i++` produces the old value and then increments. `++i` increments first and produces the new value. The term “side effect” is important here: the expression does not merely compute a value; it also changes `i`. Dense expressions with multiple increments are legal but often hard to maintain.		05-operators/theory/03-bitwise-increment-ternary-instanceof.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators
operator-extra-010	Why can side effects inside `&&` or `||` make code misleading?	The side effect may be skipped by short-circuit evaluation.	In `true || x++ > 0`, the increment never happens because the left side already makes the whole expression true. If a condition both checks logic and changes state, readers must reason about two things at once: boolean result and whether code ran. Prefer separating state changes from complex conditions.		05-operators/theory/03-bitwise-increment-ternary-instanceof.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators java::interview
