ID	Front	Back	Code	Source	Tags
utility_apis-basic-001	What should you know about `Math`in Some Common Utility APIs?	Math is a specific concept in Some Common Utility APIs; learn its Java rule, valid use cases, and failure mode rather than only its name.		39-utility-apis/theory/01-math-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/package-summary.html	java::core::utility-apis
utility_apis-basic-002	Why does `Math` matter in Java?	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.		39-utility-apis/theory/01-math-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/package-summary.html	java::core::utility-apis
utility_apis-basic-003	What should you know about `Random`in Some Common Utility APIs?	Random is a specific concept in Some Common Utility APIs; learn its Java rule, valid use cases, and failure mode rather than only its name.		39-utility-apis/theory/01-math-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/package-summary.html	java::core::utility-apis
utility_apis-basic-004	Why does `Random` matter in Java?	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.		39-utility-apis/theory/01-math-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/package-summary.html	java::core::utility-apis
utility_apis-basic-005	What should you know about `BigInteger`in Some Common Utility APIs?	BigInteger is a specific concept in Some Common Utility APIs; learn its Java rule, valid use cases, and failure mode rather than only its name.		39-utility-apis/theory/01-math-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/package-summary.html	java::core::utility-apis
utility_apis-basic-006	Why does `BigInteger` matter in Java?	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.		39-utility-apis/theory/01-math-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/package-summary.html	java::core::utility-apis
utility_apis-basic-007	What should you know about `BigDecimal` in Some Common Utility APIs?	BigDecimal represents decimal numbers precisely and is commonly used for money.		39-utility-apis/theory/01-math-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/package-summary.html	java::core::utility-apis
utility_apis-basic-008	Why does `BigDecimal` matter in Java?	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.		39-utility-apis/theory/01-math-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/package-summary.html	java::core::utility-apis
utility_apis-basic-009	What should you know about `UUID`in Some Common Utility APIs?	UUID is a specific concept in Some Common Utility APIs; learn its Java rule, valid use cases, and failure mode rather than only its name.		39-utility-apis/theory/01-math-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/package-summary.html	java::core::utility-apis
utility_apis-basic-010	Why does `UUID` matter in Java?	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.		39-utility-apis/theory/01-math-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/package-summary.html	java::core::utility-apis
utility_apis-basic-011	What should you know about `Objects`in Some Common Utility APIs?	Objects is a specific concept in Some Common Utility APIs; learn its Java rule, valid use cases, and failure mode rather than only its name.		39-utility-apis/theory/01-math-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/package-summary.html	java::core::utility-apis
utility_apis-basic-012	Why does `Objects` matter in Java?	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.		39-utility-apis/theory/01-math-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/package-summary.html	java::core::utility-apis
utility_apis-basic-013	What should you know about `Optional` in Some Common Utility APIs?	Optional is a container that may or may not hold a non-null value.		39-utility-apis/theory/01-math-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/package-summary.html	java::core::utility-apis
utility_apis-basic-014	Why does `Optional` matter in Java?	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.		39-utility-apis/theory/01-math-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/package-summary.html	java::core::utility-apis
utility_apis-basic-015	What should you know about `System`in Some Common Utility APIs?	System is a specific concept in Some Common Utility APIs; learn its Java rule, valid use cases, and failure mode rather than only its name.		39-utility-apis/theory/01-math-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/package-summary.html	java::core::utility-apis
utility_apis-basic-016	Why does `System` matter in Java?	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.		39-utility-apis/theory/01-math-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/package-summary.html	java::core::utility-apis
utility_apis-basic-017	What should you know about `Runtime`in Some Common Utility APIs?	Runtime is a specific concept in Some Common Utility APIs; learn its Java rule, valid use cases, and failure mode rather than only its name.		39-utility-apis/theory/01-math-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/package-summary.html	java::core::utility-apis
utility_apis-basic-018	Why does `Runtime` matter in Java?	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.		39-utility-apis/theory/01-math-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/package-summary.html	java::core::utility-apis
utility_apis-basic-019	What should you know about `ProcessBuilder`in Some Common Utility APIs?	ProcessBuilder is a specific concept in Some Common Utility APIs; learn its Java rule, valid use cases, and failure mode rather than only its name.		39-utility-apis/theory/01-math-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/package-summary.html	java::core::utility-apis
utility_apis-basic-020	Why does `ProcessBuilder` matter in Java?	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.		39-utility-apis/theory/01-math-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/package-summary.html	java::core::utility-apis
utility_apis-basic-021	What should you know about `Properties`in Some Common Utility APIs?	Properties is a specific concept in Some Common Utility APIs; learn its Java rule, valid use cases, and failure mode rather than only its name.		39-utility-apis/theory/02-properties-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/package-summary.html	java::core::utility-apis
utility_apis-basic-022	Why does `Properties` matter in Java?	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.		39-utility-apis/theory/02-properties-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/package-summary.html	java::core::utility-apis
