ID	Front	Back	Extra	Code	Source	Tags
jdbc-extra-001	Explain `What is JDBC?` deeply enough for review.	JDBC is the Java API for connecting to relational databases.		// Connect using a DataSource\nConnection conn = dataSource.getConnection();	34-jdbc/theory/01-what-is-jdbc-concepts.md | https://docs.oracle.com/javase/tutorial/jdbc/	java::core::jdbc
jdbc-extra-002	Explain `Driver` deeply enough for review.	Driver is a specific concept in JDBC; learn its Java rule, valid use cases, and failure mode rather than only its name.	Example: The database driver (e.g. `com.mysql.cj.jdbc.Driver`) translates Java JDBC calls into database-specific network protocols.		34-jdbc/theory/01-what-is-jdbc-concepts.md | https://docs.oracle.com/javase/tutorial/jdbc/	java::core::jdbc
jdbc-extra-003	Explain `DriverManager` deeply enough for review.	DriverManager is a specific concept in JDBC; learn its Java rule, valid use cases, and failure mode rather than only its name.		// Legacy way to get a connection\nConnection conn = DriverManager.getConnection(url, user, pass);	34-jdbc/theory/01-what-is-jdbc-concepts.md | https://docs.oracle.com/javase/tutorial/jdbc/	java::core::jdbc
jdbc-extra-004	Explain `Connection` deeply enough for review.	Connection represents an active database session used to create statements and manage transactions.		try (Connection conn = ds.getConnection()) { ... }	34-jdbc/theory/01-what-is-jdbc-concepts.md | https://docs.oracle.com/javase/tutorial/jdbc/	java::core::jdbc
jdbc-extra-005	What confusion should you avoid with `Connection`?	Do not treat `Connection` as just a memorized word.	Tip: Always close connections or use try-with-resources to avoid leaking socket/database resources.		34-jdbc/theory/01-what-is-jdbc-concepts.md | https://docs.oracle.com/javase/tutorial/jdbc/	java::core::jdbc
jdbc-extra-006	Explain `Statement` deeply enough for review.	Statement is a specific concept in JDBC; learn its Java rule, valid use cases, and failure mode rather than only its name.		"Statement stmt = conn.createStatement();\nResultSet rs = stmt.executeQuery(""SELECT * FROM roles"");"	34-jdbc/theory/01-what-is-jdbc-concepts.md | https://docs.oracle.com/javase/tutorial/jdbc/	java::core::jdbc
jdbc-extra-007	Explain `PreparedStatement` deeply enough for review.	PreparedStatement precompiles SQL queries with placeholders to prevent SQL injection and improve performance.		"PreparedStatement ps = conn.prepareStatement(""SELECT * FROM users WHERE id = ?"");\nps.setInt(1, 42);"	34-jdbc/theory/01-what-is-jdbc-concepts.md | https://docs.oracle.com/javase/tutorial/jdbc/	java::core::jdbc
jdbc-extra-008	What confusion should you avoid with `PreparedStatement`?	Do not treat `PreparedStatement` as just a memorized word.	Tip: Placeholders (?) start at index 1, not index 0.		34-jdbc/theory/01-what-is-jdbc-concepts.md | https://docs.oracle.com/javase/tutorial/jdbc/	java::core::jdbc
jdbc-extra-009	Explain `CallableStatement` deeply enough for review.	CallableStatement is a specific concept in JDBC; learn its Java rule, valid use cases, and failure mode rather than only its name.		"CallableStatement cs = conn.prepareCall(""{call my_proc(?, ?)}"");"	34-jdbc/theory/01-what-is-jdbc-concepts.md | https://docs.oracle.com/javase/tutorial/jdbc/	java::core::jdbc
jdbc-extra-010	Explain `ResultSet` deeply enough for review.	ResultSet represents a database result set, providing sequential access to retrieved data rows via a cursor.		"while (rs.next()) {\n    String val = rs.getString(""column_name"");\n}"	34-jdbc/theory/01-what-is-jdbc-concepts.md | https://docs.oracle.com/javase/tutorial/jdbc/	java::core::jdbc
jdbc-extra-011	What confusion should you avoid with `ResultSet`?	Do not treat `ResultSet` as just a memorized word.	Tip: You must call `next()` to advance to the first row before reading any values; otherwise, an SQLException is thrown.		34-jdbc/theory/01-what-is-jdbc-concepts.md | https://docs.oracle.com/javase/tutorial/jdbc/	java::core::jdbc
jdbc-extra-012	Explain `Transaction:` deeply enough for review.	Transaction is a group of SQL operations executed as a single atomic unit of work (commit or rollback).	Example: Disabling auto-commit groups statements into a single transaction.		34-jdbc/theory/01-what-is-jdbc-concepts.md | https://docs.oracle.com/javase/tutorial/jdbc/	java::core::jdbc
jdbc-extra-013	Explain `commit` deeply enough for review.	commit makes all changes made since the last commit/rollback permanent in the database.	Example: `conn.commit();`		34-jdbc/theory/01-what-is-jdbc-concepts.md | https://docs.oracle.com/javase/tutorial/jdbc/	java::core::jdbc
jdbc-extra-014	Explain `rollback` deeply enough for review.	rollback discards all changes made since the last commit or rollback operation in the current transaction.	Example: `conn.rollback();` in a catch block.		34-jdbc/theory/02-rollback-concepts.md | https://docs.oracle.com/javase/tutorial/jdbc/	java::core::jdbc
