ID	Front	Back	Code	Source	Tags
lambda_expression-basic-001	How does the Java compiler implement lambda expressions under the hood to avoid generating class files on disk?	It uses the invokedynamic instruction and LambdaMetafactory.metafactory to dynamically link the lambda call site to a JIT-optimizable target at runtime, avoiding the generation of a static .class file.		21-lambda-expression/theory/01-what-is-a-lambda-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/lambdaexpressions.html	java::core::lambda-expression
lambda_expression-basic-002	Why does Java capture local variables by copying their values, and what restriction does this place on the local variables?	Local variables live on the stack and are destroyed when the method exits, but the lambda lives on the heap and can outlive the method. To prevent accessing dead stack frames, Java copies the value, requiring the variable to be final or effectively final so the copy and original never drift out of sync.		21-lambda-expression/theory/01-what-is-a-lambda-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/lambdaexpressions.html	java::core::lambda-expression
lambda_expression-basic-003	Under what condition can a lambda expression omit the return keyword and curly braces?	Only when the lambda body consists of a single expression. If curly braces {} are used, a block of statements is formed, and an explicit return keyword is required if the functional interface method returns a value.		21-lambda-expression/theory/01-what-is-a-lambda-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/lambdaexpressions.html	java::core::lambda-expression
lambda_expression-basic-004	Why can you not declare a parameter inside a lambda body that has the same name as a local variable in the enclosing method?	Because lambda expressions do not introduce a new scope level; they share the lexical scope of the enclosing block. Declaring a parameter with the same name would cause a variable shadowing compiler conflict.		21-lambda-expression/theory/01-what-is-a-lambda-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/lambdaexpressions.html	java::core::lambda-expression
lambda_expression-basic-005	How does the Java compiler count abstract methods in a functional interface when it contains methods overridden from java.lang.Object?	Public abstract methods that override methods from java.lang.Object (such as equals, hashCode, or toString) do not count towards the limit of exactly one abstract method.		21-lambda-expression/theory/01-what-is-a-lambda-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/lambdaexpressions.html	java::core::lambda-expression
lambda_expression-basic-006	Why is a functional interface required as the target type for a lambda expression?	Because lambda expressions do not have their own explicit types; their types are inferred via target typing based on the context where they are used.		21-lambda-expression/theory/01-what-is-a-lambda-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/lambdaexpressions.html	java::core::lambda-expression
lambda_expression-basic-007	Is the @FunctionalInterface annotation mandatory for a functional interface, and what is its primary benefit?	No, it is optional. Its primary benefit is to generate a compile-time error if the annotated interface does not meet the functional interface requirements (e.g., if it has zero or multiple abstract methods).		21-lambda-expression/theory/01-what-is-a-lambda-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/lambdaexpressions.html	java::core::lambda-expression
lambda_expression-basic-008	What compilation error occurs if an interface annotated with @FunctionalInterface declares two abstract methods?	It causes a compile-time error indicating that the interface is not a valid functional interface because it contains multiple non-overriding abstract methods.		21-lambda-expression/theory/01-what-is-a-lambda-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/lambdaexpressions.html	java::core::lambda-expression
lambda_expression-basic-009	What are the four main categories of method references in Java?	1. Static method references (ContainingClass::staticMethod)\n2. Bound instance method references (instance::instanceMethod)\n3. Unbound instance method references (ContainingClass::instanceMethod)\n4. Constructor references (ClassName::new)		21-lambda-expression/theory/01-what-is-a-lambda-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/lambdaexpressions.html	java::core::lambda-expression
lambda_expression-basic-010	How does the JVM handle the receiver object differently in a bound vs. an unbound instance method reference?	In a bound method reference, the receiver instance is fixed at compile-time (e.g., prefix::concat). In an unbound method reference, the receiver instance is passed as the first parameter of the functional interface method (e.g., String::concat).		21-lambda-expression/theory/01-what-is-a-lambda-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/lambdaexpressions.html	java::core::lambda-expression
