ID	Front	Back	Extra	Source	Tags
object_class-extra-001	Explain `toString()` deeply enough for review.	Returns a string representation of the object. By default, it returns `getClass().getName() + '@' + Integer.toHexString(hashCode())`.	Overriding it provides a concise but informative representation of the object state, which is crucial for logging and debugging. Make sure not to print sensitive data like passwords.	14-object-class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-extra-002	Explain `equals()` deeply enough for review.	Defines logical equality between objects. By default, it checks reference identity (`this == obj`).	To compare objects based on field values, override equals(Object obj). If you override equals(), you must also override hashCode() to maintain their joint contract.	14-object-class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-extra-003	Explain `hashCode()` deeply enough for review.	Returns an integer hash value for the object, used by hash-based collections to index elements.	Equal objects must return the same hash code. Unequal objects do not require distinct hash codes, but distinct hashes reduce bucket collisions, improving lookup performance to O(1).	14-object-class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-extra-004	Explain `getClass()` deeply enough for review.	A final method that returns the runtime `Class` object of the instance.	Unlike `instanceof` (which checks hierarchy), `getClass() == Other.class` verifies exact class matching. Useful in `equals()` to reject subclasses.	14-object-class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-extra-005	Explain `clone()` deeply enough for review.	Creates and returns a copy of the object. Requires the class to implement the Cloneable interface.	Object.clone() performs a shallow copy by default, copying primitive values and object references (not the referenced objects). Deep copies require manual nested cloning.	14-object-class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-extra-006	Explain `finalize() deprecated` deeply enough for review.	Deprecated method since Java 9, originally intended for cleaning up resources before garbage collection.	It is deprecated due to non-deterministic execution, performance overhead, and finalizer attack security risks. Use AutoCloseable with try-with-resources instead.	14-object-class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-extra-007	Explain `wait()` deeply enough for review.	Releases the object monitor (lock) and puts the calling thread to sleep until notified or interrupted.	Must be called from a synchronized context on the same object, otherwise throws IllegalMonitorStateException. Always call in a loop checking the condition.	14-object-class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-extra-008	Explain `notify()` deeply enough for review.	Wakes up a single thread that is waiting on the object monitor.	Must be called from a synchronized context. The awakened thread cannot run until the current thread releases the lock and it successfully re-acquires it.	14-object-class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-extra-009	Explain `notifyAll()` deeply enough for review.	Wakes up all threads waiting on the object monitor.	Preferred over notify() because it avoids deadlocks from waking up threads that cannot progress. All woken threads compete for the object monitor once released.	14-object-class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-extra-010	Explain `Why overriding equals() means you should also override hashCode()` deeply enough for review.	Because hash collections determine storage bucket by hashCode() and then verify identity using equals().	If equals() is overridden but hashCode() is not, two equal keys will hash to different buckets, making it impossible to retrieve values via map.get(equalKey).	14-object-class/theory/01-tostring-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-extra-011	Explain `Contract of equals()` deeply enough for review.	Requires the relation to be reflexive, symmetric, transitive, consistent, and null-hostile.	- Reflexive: x.equals(x)\n- Symmetric: x.equals(y) <=> y.equals(x)\n- Transitive: x.equals(y) && y.equals(z) => x.equals(z)\n- Consistent: output matches if state is unchanged\n- Null-hostile: x.equals(null) is false.	14-object-class/theory/02-contract-of-equals-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-extra-012	Explain `Contract of hashCode()` deeply enough for review.	Requires consistency during execution, equal hashes for equal objects, but does not require distinct hashes for unequal objects.	Consistent: returns the same int in an execution if fields are unchanged. Equal: a.equals(b) => a.hashCode() == b.hashCode(). Unequal: distinct hashes are recommended for performance.	14-object-class/theory/02-contract-of-equals-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
object_class-extra-013	Explain `Comparing objects by reference and by value` deeply enough for review.	Reference equality (==) checks if variables point to the same memory location, while value equality (equals()) checks logical equivalence.	For example, String s1 = new String("a"); String s2 = new String("a"); has s1 != s2 (reference equality fails) but s1.equals(s2) is true (value equality holds).	14-object-class/theory/02-contract-of-equals-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Object.html	java::core::object-class
