ID	Front	Back	Code	Source	Tags
string-basic-001	What does it mean that String is immutable in Java?	Once a String object is created, its sequence of characters cannot be changed.		08-string/theory/01-string-basics.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string
string-basic-002	What is the String Pool?	A special storage area in the Heap where the JVM stores unique string literals to save memory.		08-string/terms/01-string-terms.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string
string-basic-003	"Where are strings created with `new String(""hello"")` stored?"	In the normal Heap area, outside the String Pool.		08-string/theory/01-string-basics.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string
string-basic-004	What does the `intern()` method do?	It returns a reference to the string from the String Pool, adding it to the pool first if it is not already present.		08-string/terms/01-string-terms.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string java::interview
string-basic-005	What is the difference between `trim()` and `strip()` in Java 11+?	`trim()` only removes ASCII spaces and control characters (codepoints <= U+0020); `strip()` is Unicode-aware and removes all Unicode whitespace.		08-string/theory/02-string-methods.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string java::interview
string-basic-006	What is the difference between `StringBuilder` and `StringBuffer`?	`StringBuilder` is not synchronized (not thread-safe) and faster; `StringBuffer` is synchronized (thread-safe) and slower due to locking overhead.		08-string/theory/03-stringbuilder-stringbuffer.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string java::interview
string-basic-007	"What optimization was introduced as ""Compact Strings"" in Java 9?"	Strings are stored internally as a `byte[]` array instead of `char[]` to reduce memory usage for Latin-1 text.		08-string/terms/01-string-terms.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string
string-basic-008	What is a Text Block in Java 15+?	"A multi-line string literal enclosed in triple double-quotes `""""""`."		08-string/theory/02-string-methods.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string
string-basic-009	What does the `==` operator compare when used with strings?	It compares the memory addresses (references) of the string objects, not their contents.		08-string/theory/01-string-basics.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string
string-basic-010	What method is used to compare string character sequences (contents) for equality?		.equals()	08-string/theory/01-string-basics.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string
string-basic-011	What does the `.compareTo()` method return when comparing two strings?	`0` if they are equal, a negative integer if the string is alphabetically before the argument, or a positive integer if after.		08-string/theory/01-string-basics.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string java::interview
string-basic-012	What is the difference between `.isEmpty()` and `.isBlank()`?	`.isEmpty()` checks if length is 0; `.isBlank()` checks if the string is empty or contains only Unicode whitespaces.		08-string/theory/02-string-methods.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string java::interview
string-basic-013	What is the difference between `replace()` and `replaceAll()`?	`replace()` performs literal string replacement; `replaceAll()` replaces substrings matching a regular expression.		08-string/theory/02-string-methods.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string java::interview
string-basic-014	What is the purpose of the `limit` parameter in `split(regex, limit)` when it is negative?	It applies the pattern as many times as possible without discarding trailing empty strings.		08-string/theory/02-string-methods.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string java::interview
string-basic-015	What is the default initial capacity of a `StringBuilder`?	16 characters (in addition to the length of the initial string argument).		08-string/theory/03-stringbuilder-stringbuffer.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string
string-basic-016	What is the formula for increasing capacity when `StringBuilder` grows?	`(oldCapacity * 2) + 2`		08-string/theory/03-stringbuilder-stringbuffer.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string
string-basic-017	What is the purpose of the `\` escape sequence at the end of a line in a Text Block?	Line continuation: it prevents a newline character from being added at that position.		08-string/theory/02-string-methods.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string
string-basic-018	What does the `\s` escape sequence do in a Text Block?	Preserves trailing spaces on that line (which are otherwise stripped by default).		08-string/theory/02-string-methods.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string
string-basic-019	How does the Java 9 compiler optimize string concatenations containing variables?	Using `invokedynamic` with `StringConcatFactory` to optimize concatenation dynamically at runtime.		08-string/theory/02-string-methods.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string
string-basic-020	How do you format a floating-point number to exactly two decimal places using `String.format()`?	By using the format specifier `%.2f`.		08-string/theory/02-string-methods.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html	java::core::string
