ID	Text	Extra	Code	Source	Tags
security-cloze-001	SHA-256 produces a {{c1::256-bit}} ({{c2::32-byte}}) fixed-size digest from any input. It is computationally infeasible to reverse due to {{c3::nonlinear bit operations}} that destroy input directionality.	Collision resistance: no two inputs have been found that produce the same SHA-256 hash.		no36_security_basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/security/MessageDigest.html	java::core::security
security-cloze-002	`MessageDigest.getInstance("{{c1::SHA-256}}")` returns a digest engine. Calling {{c2::`.digest(bytes)`}} applies the hash and returns the raw byte array output.		MessageDigest digest = MessageDigest.getInstance("SHA-256");\nbyte[] hash = digest.digest(input.getBytes(StandardCharsets.UTF_8));	no36_security_basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/security/MessageDigest.html	java::core::security
security-cloze-003	Base64 is {{c1::an encoding scheme}}, NOT {{c2::encryption}}. Anyone can {{c3::decode}} a Base64 string without a key. It provides {{c4::zero confidentiality}}.	Base64 encodes binary data as 64-character ASCII text for safe transmission in text-only protocols.		no36_security_basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Base64.html	java::core::security java::interview
security-cloze-004	`java.util.Random` uses a {{c1::Linear Congruential Generator (LCG)}} algorithm that is {{c2::deterministic and predictable}} from observed outputs. Use {{c3::java.security.SecureRandom}} for all cryptographic values.	SecureRandom sources entropy from the OS kernel (/dev/urandom on Linux), making its output cryptographically unpredictable.		no36_security_basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/security/SecureRandom.html	java::core::security java::interview
security-cloze-005	Passwords should be stored in {{c1::char[]}} instead of {{c2::String}} because `char[]` can be explicitly {{c3::zeroed with `Arrays.fill()`}} immediately after use, while `String` is {{c4::immutable and retained in JVM heap}} until GC.		char[] password = getPassword();\n// use password\nArrays.fill(password, '\0'); // immediate clear	no36_security_basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security java::interview
security-cloze-006	SQL injection occurs when user input {{c1::alters the structure}} of a SQL query. The fix is to use {{c2::PreparedStatement}} with {{c3::parameterized placeholders (`?`)}}, which treats user input as a {{c4::literal value, not SQL syntax}}.		PreparedStatement ps = conn.prepareStatement("SELECT * FROM users WHERE name = ?");\nps.setString(1, userInput);	no36_security_basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security java::interview
security-cloze-007	Insecure deserialization is dangerous because `ObjectInputStream.readObject()` {{c1::instantiates classes from the byte stream before validation}}, enabling {{c2::gadget chains}} that invoke {{c3::Runtime.exec()}} — a form of {{c4::Remote Code Execution (RCE)}}.	ObjectInputFilter mitigates this by rejecting classes not in the whitelist before they are instantiated.		no36_security_basic/theory/02-avoid-insecure-deserialization-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/io/ObjectInputFilter.html	java::core::security java::interview
security-cloze-008	`ObjectInputFilter.Config.createFilter("com.example.*;!*")` creates a filter that {{c1::allows only `com.example.*` classes}} and {{c2::rejects all others (`!*`)}} before {{c3::instantiation occurs}} during deserialization.		in.setObjectInputFilter(filter);	no36_security_basic/theory/02-avoid-insecure-deserialization-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/io/ObjectInputFilter.html	java::core::security
security-cloze-009	AES encryption uses {{c1::Cipher.getInstance("AES/CBC/PKCS5Padding")}}. A {{c2::unique random IV}} must be generated with {{c3::SecureRandom}} per encryption to prevent ciphertext repetition with the same key.		byte[] iv = new byte[16]; new SecureRandom().nextBytes(iv);	no36_security_basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/javax/crypto/Cipher.html	java::core::security
security-cloze-010	A cryptographic {{c1::salt}} is a {{c2::random value}} added to a password before hashing. It prevents {{c3::rainbow table}} attacks by ensuring that two users with the same password have {{c4::different stored hashes}}.	Generated with: `byte[] salt = new byte[16]; new SecureRandom().nextBytes(salt);`		no36_security_basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/security/MessageDigest.html	java::core::security java::interview
security-cloze-011	MD5 and SHA-1 are {{c1::broken}} for cryptographic use because {{c2::real collision attacks}} have been demonstrated. Java applications should use at minimum {{c3::SHA-256}} for integrity and hashing.	SHA-1 collision: Google's "SHAttered" attack (2017) demonstrated two PDFs with identical SHA-1 hashes.		no36_security_basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security java::interview
security-cloze-012	`KeyStore` is Java's {{c1::encrypted container}} for {{c2::cryptographic keys and certificates}}. It is initialized with `KeyStore.getInstance("{{c3::PKCS12}}")` and protected by a {{c4::password}}.		KeyStore ks = KeyStore.getInstance("PKCS12");\nks.load(new FileInputStream("keystore.p12"), password);	no36_security_basic/terms/01-key-terms.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/security/KeyStore.html	java::core::security
