ID	Front	Back	Extra	Code	Source	Tags
multithreading-extra-101	Explain why thread communication is faster than inter-process communication (IPC).	Threads share the same Heap and Metaspace regions within the parent process, allowing them to communicate by directly reading and writing shared variables.	OS processes are isolated and require heavy mechanisms like sockets, pipes, or shared memory segments, which incur context switching and kernel transitions overhead.		no28_multithreading/theory/01-process-vs-thread-concepts.md	java::core::multithreading java::interview
multithreading-extra-102	Why does subclassing Thread violate the Single Responsibility Principle?	It combines task description (what to run) and execution mechanism (how to run and control the thread) into a single class.	Separating them via Runnable/Callable allows the task to be processed by thread pools (ExecutorService), schedule queues, or run synchronously without code changes.		no28_multithreading/theory/02-runnable-concepts.md	java::core::multithreading
multithreading-extra-103	Explain what happens if you call start() twice on the same Thread object.	The second invocation immediately throws an IllegalThreadStateException at runtime.	A Java thread cannot be restarted once it is already running or has terminated. Its internal state machine prevents transition back to the NEW state.		no28_multithreading/theory/01-process-vs-thread-concepts.md	java::core::multithreading
multithreading-extra-104	Why does Thread.sleep() inside a synchronized block cause severe performance bottlenecks?	A sleeping thread goes into the TIMED_WAITING state but retains all its monitor locks.	Any other thread trying to acquire those locks is forced into the BLOCKED state, cascading delays across the entire system. Never sleep while holding locks!		no28_multithreading/theory/02-runnable-concepts.md	java::core::multithreading
multithreading-extra-105	Explain the difference between the thread states BLOCKED and WAITING.	BLOCKED means the thread is waiting to acquire a monitor lock. WAITING means the thread is waiting indefinitely for another thread to perform a signaling action (e.g. notifyAll()).	A thread enters BLOCKED when trying to enter a synchronized block that is already locked. It enters WAITING after calling Object.wait() or Thread.join().		no28_multithreading/theory/02-runnable-concepts.md	java::core::multithreading
multithreading-extra-106	Why does an ExecutorService thread pool keep the JVM running even after the main method completes?	The worker threads created inside the pool are user threads by default, not daemon threads.	The JVM will not shut down as long as there is at least one active user thread. You must call shutdown() or configure daemon threads in a custom ThreadFactory.		no28_multithreading/theory/01-process-vs-thread-concepts.md	java::core::multithreading
multithreading-extra-107	Explain how threadB.join() behaves if Thread B is already terminated.	The join method returns immediately, and the calling thread does not block.	Under the hood, threadB.isAlive() evaluates to false, so the loop checking thread status exits immediately without calling wait().		no28_multithreading/theory/03-join-concepts.md	java::core::multithreading
multithreading-extra-108	Explain why Thread.yield() or thread priorities should not be relied on for code correctness.	Thread scheduling is highly operating system dependent.	The JVM specification makes no guarantees about how priorities map to OS priorities, or whether yield() actually relinquishes the CPU. Synchronization primitives should be used instead.		no28_multithreading/theory/03-join-concepts.md	java::core::multithreading
multithreading-extra-109	Why is defensive copying essential when designing an immutable class with mutable fields?	If you store the reference directly, the caller can modify the internal state of the immutable object through the original reference.	You must create a new copy (e.g., new ArrayList<>(list)) during construction and wrap it (e.g., Collections.unmodifiableList(list)) when returning it.		no28_multithreading/theory/04-thread-safety-concepts.md	java::core::multithreading
multithreading-extra-110	What is the main difference between the volatile keyword and synchronized blocks?	Volatile only guarantees visibility and ordering for a single variable, whereas synchronized guarantees visibility, ordering, AND mutual exclusion (atomicity) for a code block.	Volatile is a lightweight, lock-free mechanism that prevents threads from caching variables locally, but it does not prevent concurrent execution of compound steps on shared state.		no28_multithreading/theory/04-thread-safety-concepts.md	java::core::multithreading java::interview
multithreading-extra-111	Why is a read-modify-write operation (like i++) not atomic?	It requires three separate CPU instructions: reading the value from memory, modifying it in a CPU register, and writing it back to memory.	Multiple threads can read the same initial value before any of them write back their modified value, leading to lost updates.		no28_multithreading/theory/04-thread-safety-concepts.md	java::core::multithreading
multithreading-extra-112	Explain the role of the Program Counter (PC) Register in multithreaded JVM execution.	The PC Register tracks the memory address of the JVM instruction currently being executed by a thread.	Because CPU scheduling is time-sliced, threads are constantly paused and resumed. A thread-private PC register allows a thread to resume execution exactly where it left off.		no28_multithreading/theory/01-process-vs-thread-concepts.md	java::core::multithreading
