ID	Front	Back	Code	Source	Tags
networking-basic-001	What is a socket in Java networking?	A socket is a software endpoint that binds an IP address and port, enabling bidirectional communication between two hosts.		35-networking/terms/01-key-terms.md | https://docs.oracle.com/javase/tutorial/networking/sockets/index.html	java::core::networking
networking-basic-002	What is the role of `ServerSocket` vs `Socket` in TCP?	`ServerSocket` listens for incoming connections (server side). `Socket` represents an established connection used for communication (both server and client side).		35-networking/theory/01-socket-programming-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/net/ServerSocket.html	java::core::networking
networking-basic-003	What transport protocol does `Socket`/`ServerSocket` use?	TCP — a connection-oriented, reliable, ordered byte-stream protocol.		35-networking/terms/01-key-terms.md | https://docs.oracle.com/javase/tutorial/networking/sockets/index.html	java::core::networking
networking-basic-004	What transport protocol does `DatagramSocket` use?	UDP — a connectionless, unreliable, packet-based protocol.		35-networking/terms/01-key-terms.md | https://docs.oracle.com/javase/tutorial/networking/datagrams/index.html	java::core::networking
networking-basic-005	Why does TCP require a handshake but UDP does not?	TCP must synchronize sequence numbers and allocate OS buffers to guarantee ordered, reliable delivery. UDP sends independent packets without any session state.		35-networking/theory/01-socket-programming-concepts.md | https://docs.oracle.com/javase/tutorial/networking/	java::core::networking
networking-basic-006	Why must blocking socket operations (`accept()`, `read()`) NOT run on the main thread?	They suspend the entire thread until data arrives. Blocking the main thread freezes the application and prevents accepting additional clients.		35-networking/theory/01-socket-programming-concepts.md | https://docs.oracle.com/javase/tutorial/networking/sockets/index.html	java::core::networking java::interview
networking-basic-007	What happens if a `Socket` or `ServerSocket` is not closed after use?	The OS retains the file descriptor (FD) allocation and port binding. This causes FD leaks, and eventually `SocketException: Too many open files` or `BindException: Address already in use`.		35-networking/theory/01-socket-programming-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/net/Socket.html	java::core::networking java::interview
networking-basic-008	Why was `new URL(String)` deprecated in Java 20?	The `URL` constructor triggers DNS resolution at construction time, causing blocking network calls and potential failures in simple operations like equality checks.		35-networking/theory/01-socket-programming-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/net/URI.html	java::core::networking
networking-basic-009	What is the recommended Java 20+ pattern to create a URL from a string?	`URI.create("https://example.com").toURL()` — URI parses syntax only without DNS, then converts to URL only when network access is needed.		35-networking/theory/01-socket-programming-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/net/URI.html	java::core::networking
networking-basic-010	What is the key difference between `URI` and `URL`?	`URI` identifies a resource by string syntax only (no network lookup). `URL` specifies how to locate a resource over a network.		35-networking/terms/01-key-terms.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/net/URI.html	java::core::networking
networking-basic-011	What are the four main limitations of `HttpURLConnection`?	1) Blocking API, 2) Infinite default timeouts, 3) Complex manual resource management, 4) No HTTP/2 support.		35-networking/theory/02-httpurlconnection-concepts.md | https://openjdk.org/jeps/321	java::core::networking java::interview
networking-basic-012	What Java version introduced `HttpClient` and which JEP defines it?	Java 11, defined by JEP 321.		35-networking/theory/02-httpurlconnection-concepts.md | https://openjdk.org/jeps/321	java::core::networking
networking-basic-013	What HTTP versions does Java 11 `HttpClient` support?	HTTP/1.1 and HTTP/2 (with automatic fallback to HTTP/1.1 when the server does not support HTTP/2).		35-networking/theory/02-httpurlconnection-concepts.md | https://openjdk.org/jeps/321	java::core::networking
networking-basic-014	How does `HttpClient.sendAsync()` differ from `HttpClient.send()`?	`send()` blocks the calling thread until the response is received. `sendAsync()` returns a `CompletableFuture` immediately without blocking.		35-networking/theory/02-httpurlconnection-concepts.md | https://openjdk.org/jeps/321	java::core::networking
networking-basic-015	Why should `HttpClient` be shared across the application (not recreated per request)?	Each `HttpClient` manages its own thread pool and connection pool. Creating one per request wastes OS resources and eliminates connection reuse.		35-networking/theory/02-httpurlconnection-concepts.md | https://openjdk.org/jeps/321	java::core::networking java::interview
networking-basic-016	What Java class represents a TCP server listener?	`java.net.ServerSocket`	ServerSocket server = new ServerSocket(8080);	35-networking/theory/01-socket-programming-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/net/ServerSocket.html	java::core::networking
networking-basic-017	What Java class represents a UDP datagram sender/receiver?	`java.net.DatagramSocket`, used with `java.net.DatagramPacket`.		35-networking/theory/01-socket-programming-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/net/DatagramSocket.html	java::core::networking
networking-basic-018	What does `InetAddress.getByName("hostname")` do?	Performs a DNS lookup to resolve the hostname to an IP address and returns an `InetAddress` representing that address.		35-networking/theory/01-socket-programming-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/net/InetAddress.html	java::core::networking
networking-basic-019	In the client-server model, which side initiates the connection?	The client always initiates the connection; the server listens and responds to requests.		35-networking/theory/02-httpurlconnection-concepts.md | https://docs.oracle.com/javase/tutorial/networking/	java::core::networking
networking-basic-020	What exception is thrown when a socket read/write times out?	`java.net.SocketTimeoutException`		35-networking/theory/02-httpurlconnection-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/net/SocketTimeoutException.html	java::core::networking
