ID	Text	Extra	Code	Source	Tags
array-cloze-001	Arrays in Java have a {{c1::fixed::fixed or dynamic}} size after creation.	Once instantiated, you cannot expand or shrink a Java array.		07-arrays/theory/01-array-basics.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/arrays.html	java::core::arrays
array-cloze-002	To find the size of an array, use the public field {{c1::length}}, whereas for a String, use the method {{c2::length()}}.	Notice that `length` for arrays is a field (no parentheses), while `length()` for String is a method call.		07-arrays/theory/01-array-basics.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/arrays.html	java::core::arrays
array-cloze-003	In Java, a multidimensional array is actually an {{c1::array of arrays}}.	This allows nested arrays to have different lengths (ragged arrays).		07-arrays/theory/01-array-basics.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/arrays.html	java::core::arrays
array-cloze-004	A runtime exception thrown when accessing index 5 on an array of length 5 is {{c1::ArrayIndexOutOfBoundsException}}.	Indices range from 0 to 4.		07-arrays/terms/01-array-terms.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/arrays.html	java::core::arrays
array-cloze-005	To copy a portion of an array natively and efficiently, use the {{c1::System.arraycopy()}} method.	This is a native method that operates directly on memory.		07-arrays/theory/02-array-operations.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/arrays.html	java::core::arrays
array-cloze-006	Under the hood, `Arrays.sort()` uses the {{c1::Dual-Pivot Quicksort}} algorithm for primitive arrays.	This algorithm provides average O(N log N) performance but is unstable.		07-arrays/theory/02-array-operations.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/arrays.html	java::core::arrays
array-cloze-007	For object arrays, `Arrays.sort()` uses the stable {{c1::Timsort}} algorithm.	Timsort is a hybrid of Merge Sort and Insertion Sort.		07-arrays/theory/02-array-operations.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/arrays.html	java::core::arrays
array-cloze-008	Calling the `clone()` method on a multidimensional array performs a {{c1::shallow}} copy of the references.	The row references are copied, but they still point to the same sub-arrays.		07-arrays/theory/01-array-basics.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/arrays.html	java::core::arrays
array-cloze-009	To print a multidimensional array as a readable String, you must use {{c1::Arrays.deepToString()}}.	`Arrays.toString()` on a 2D array will only print class name hashcode representations for the inner arrays.		07-arrays/theory/01-array-basics.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/arrays.html	java::core::arrays
array-cloze-010	The default value for primitive `boolean` array elements is {{c1::false}}.	Numeric elements initialize to 0 or 0.0.		07-arrays/theory/01-array-basics.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/arrays.html	java::core::arrays
array-cloze-011	To print a one-dimensional array cleanly as a String, use the method {{c1::Arrays.toString()}}.	Prints elements separated by commas inside square brackets.		07-arrays/theory/01-array-basics.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/arrays.html	java::core::arrays
array-cloze-012	The default value initialized for all reference type elements in a newly allocated object array is {{c1::null}}.	You must instantiate each object index separately before usage.		07-arrays/theory/01-array-basics.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/arrays.html	java::core::arrays
array-cloze-013	If `binarySearch()` cannot find a key, it returns a negative value calculated as {{c1::-(insertionPoint) - 1}}.	This encodes where the element should be placed to preserve order.		07-arrays/theory/02-array-operations.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/arrays.html	java::core::arrays java::interview
array-cloze-014	Declaring an anonymous array on the fly (e.g. passing to a method) requires the {{c1::new int[]}} syntax.	For example: `print(new int[]{1, 2});`.		07-arrays/theory/01-array-basics.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/arrays.html	java::core::arrays
array-cloze-015	Arrays are objects stored in the {{c1::Heap}} memory, and their references are stored in the {{c2::Stack}} memory.	This is standard behavior for all reference types in Java.		07-arrays/theory/01-array-basics.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/arrays.html	java::core::arrays
